cpu-bind=MASK - bp1-compute159, task 4294967295 4294967295 [0]: mask 0xf3f9f0f0f3f9f0f set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 30.296795 secs
Exciton, frame 44387 ran in:  14.728506326675415
Exciton, frame 44388 ran in:  14.565205812454224
Exciton, frame 44389 ran in:  14.278733968734741
Exciton, frame 44390 ran in:  14.178439378738403
Exciton, frame 44391 ran in:  14.32235312461853
Exciton, frame 44392 ran in:  14.576459646224976
Exciton, frame 44393 ran in:  14.613877773284912
Exciton, frame 44394 ran in:  14.456766605377197
Exciton, frame 44395 ran in:  14.383987188339233
Exciton, frame 44396 ran in:  15.071842908859253
Exciton, frame 44397 ran in:  14.41277551651001
Exciton, frame 44398 ran in:  14.396937608718872
Exciton, frame 44399 ran in:  14.277495861053467
Exciton, frame 44400 ran in:  14.079279661178589
Exciton, frame 44401 ran in:  14.786695718765259
Exciton, frame 44402 ran in:  14.252307653427124
Exciton, frame 44403 ran in:  14.78158450126648
Exciton, frame 44404 ran in:  14.358039379119873
Exciton, frame 44405 ran in:  14.353423833847046
Exciton, frame 44406 ran in:  14.133278846740723
Exciton, frame 44407 ran in:  14.508751630783081
Exciton, frame 44408 ran in:  14.836103200912476
Exciton, frame 44409 ran in:  13.975777626037598
Exciton, frame 44410 ran in:  14.233715295791626
Exciton, frame 44411 ran in:  14.690085411071777
Exciton, frame 44412 ran in:  14.445682764053345
Exciton, frame 44413 ran in:  14.448314666748047
Exciton, frame 44414 ran in:  14.731157779693604
Exciton, frame 44415 ran in:  14.45054292678833
Exciton, frame 44416 ran in:  14.612963914871216
Exciton, frame 44417 ran in:  14.662451028823853
Exciton, frame 44418 ran in:  14.995292901992798
Exciton, frame 44419 ran in:  14.571799039840698
Exciton, frame 44420 ran in:  14.610724925994873
Exciton, frame 44421 ran in:  14.349340677261353
Exciton, frame 44422 ran in:  14.727036476135254
Exciton, frame 44423 ran in:  14.54364800453186
Exciton, frame 44424 ran in:  14.075934171676636
Exciton, frame 44425 ran in:  14.239327430725098
Exciton, frame 44426 ran in:  14.51003098487854
Exciton, frame 44427 ran in:  13.843740940093994
Exciton, frame 44428 ran in:  14.477773189544678
Exciton, frame 44429 ran in:  14.196650743484497
Exciton, frame 44430 ran in:  14.19575309753418
Exciton, frame 44431 ran in:  14.532788276672363
