cpu-bind=MASK - bp1-compute215, task 4294967295 4294967295 [0]: mask 0x1fefff001fefff0 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 30.168294 secs
Exciton, frame 80263 ran in:  11.989010334014893
Exciton, frame 80264 ran in:  11.932312965393066
Exciton, frame 80265 ran in:  12.202590703964233
Exciton, frame 80266 ran in:  11.861904859542847
Exciton, frame 80267 ran in:  11.990694046020508
Exciton, frame 80268 ran in:  12.690478563308716
Exciton, frame 80269 ran in:  12.716060400009155
Exciton, frame 80270 ran in:  12.650288105010986
Exciton, frame 80271 ran in:  12.120526313781738
Exciton, frame 80272 ran in:  11.956287384033203
Exciton, frame 80273 ran in:  11.802642107009888
Exciton, frame 80274 ran in:  12.706040859222412
Exciton, frame 80275 ran in:  12.639683485031128
Exciton, frame 80276 ran in:  12.985316753387451
Exciton, frame 80277 ran in:  12.977054119110107
Exciton, frame 80278 ran in:  12.818714618682861
Exciton, frame 80279 ran in:  12.228824615478516
Exciton, frame 80280 ran in:  13.04735279083252
Exciton, frame 80281 ran in:  12.821828126907349
Exciton, frame 80282 ran in:  11.728543996810913
Exciton, frame 80283 ran in:  12.992988109588623
Exciton, frame 80284 ran in:  11.515643119812012
Exciton, frame 80285 ran in:  11.712477445602417
Exciton, frame 80286 ran in:  13.123013734817505
Exciton, frame 80287 ran in:  12.923057556152344
Exciton, frame 80288 ran in:  12.146502494812012
Exciton, frame 80289 ran in:  12.83140230178833
Exciton, frame 80290 ran in:  12.468470335006714
Exciton, frame 80291 ran in:  12.507230758666992
Exciton, frame 80292 ran in:  12.30986738204956
Exciton, frame 80293 ran in:  12.069159746170044
Exciton, frame 80294 ran in:  12.94591760635376
Exciton, frame 80295 ran in:  13.009838581085205
Exciton, frame 80296 ran in:  12.974065065383911
Exciton, frame 80297 ran in:  12.462961196899414
Exciton, frame 80298 ran in:  12.70376968383789
Exciton, frame 80299 ran in:  12.029182434082031
Exciton, frame 80300 ran in:  12.464665412902832
Exciton, frame 80301 ran in:  11.7538321018219
Exciton, frame 80302 ran in:  12.646898031234741
Exciton, frame 80303 ran in:  11.85287880897522
Exciton, frame 80304 ran in:  11.476215839385986
Exciton, frame 80305 ran in:  12.053525924682617
Exciton, frame 80306 ran in:  12.266355037689209
Exciton, frame 80307 ran in:  11.815293312072754
Exciton, frame 80308 ran in:  12.374525308609009
Exciton, frame 80309 ran in:  12.154593467712402
Exciton, frame 80310 ran in:  12.18810486793518
Exciton, frame 80311 ran in:  11.740545749664307
Exciton, frame 80312 ran in:  12.282090187072754
Exciton, frame 80313 ran in:  11.758115768432617
Exciton, frame 80314 ran in:  11.426938533782959
Exciton, frame 80315 ran in:  12.671995162963867
Exciton, frame 80316 ran in:  11.437885761260986
Exciton, frame 80317 ran in:  12.47031307220459
Exciton, frame 80318 ran in:  12.342353820800781
Exciton, frame 80319 ran in:  11.388147115707397
Exciton, frame 80320 ran in:  12.95725417137146
Exciton, frame 80321 ran in:  11.833747148513794
Exciton, frame 80322 ran in:  11.464552402496338
Exciton, frame 80323 ran in:  12.754452228546143
Exciton, frame 80324 ran in:  12.39030647277832
Exciton, frame 80325 ran in:  12.492684364318848
Exciton, frame 80326 ran in:  12.214306592941284
Exciton, frame 80327 ran in:  12.492868900299072
Exciton, frame 80328 ran in:  12.371174097061157
Exciton, frame 80329 ran in:  11.794919729232788
Exciton, frame 80330 ran in:  12.101288318634033
Exciton, frame 80331 ran in:  12.292324542999268
Exciton, frame 80332 ran in:  12.146977186203003
Exciton, frame 80333 ran in:  11.680571794509888
Exciton, frame 80334 ran in:  11.593613862991333
Exciton, frame 80335 ran in:  12.041845560073853
Exciton, frame 80336 ran in:  11.846302509307861
Exciton, frame 80337 ran in:  12.458101272583008
Exciton, frame 80338 ran in:  12.078040361404419
Exciton, frame 80339 ran in:  12.10721755027771
Exciton, frame 80340 ran in:  12.099052667617798
Exciton, frame 80341 ran in:  11.91164779663086
Exciton, frame 80342 ran in:  11.59424877166748
Exciton, frame 80343 ran in:  12.228102445602417
Exciton, frame 80344 ran in:  12.11356496810913
Exciton, frame 80345 ran in:  11.886143922805786
Exciton, frame 80346 ran in:  12.210728645324707
Exciton, frame 80347 ran in:  11.977181911468506
Exciton, frame 80348 ran in:  11.696351289749146
Exciton, frame 80349 ran in:  11.557697296142578
Exciton, frame 80350 ran in:  12.085833311080933
Exciton, frame 80351 ran in:  12.0719313621521
Exciton, frame 80352 ran in:  11.913867473602295
Exciton, frame 80353 ran in:  12.085478782653809
Exciton, frame 80354 ran in:  11.950931549072266
Exciton, frame 80355 ran in:  11.850994110107422
Exciton, frame 80356 ran in:  12.004781484603882
Exciton, frame 80357 ran in:  12.100281476974487
Exciton, frame 80358 ran in:  11.99197244644165
Exciton, frame 80359 ran in:  13.323919773101807
Exciton, frame 80360 ran in:  11.751093864440918
Exciton, frame 80361 ran in:  11.89405107498169
Exciton, frame 80362 ran in:  11.897857189178467
Exciton, frame 80363 ran in:  11.659842729568481
Exciton, frame 80364 ran in:  13.212879419326782
Exciton, frame 80365 ran in:  12.345211267471313
Exciton, frame 80366 ran in:  13.105439186096191
Exciton, frame 80367 ran in:  12.926041603088379
Exciton, frame 80368 ran in:  12.609478950500488
Exciton, frame 80369 ran in:  12.197478771209717
Exciton, frame 80370 ran in:  12.1065673828125
Exciton, frame 80371 ran in:  12.693277359008789
Exciton, frame 80372 ran in:  12.477016687393188
Exciton, frame 80373 ran in:  12.221909523010254
Exciton, frame 80374 ran in:  12.063903093338013
Exciton, frame 80375 ran in:  11.995713233947754
Exciton, frame 80376 ran in:  11.729240894317627
Exciton, frame 80377 ran in:  11.626381635665894
Exciton, frame 80378 ran in:  11.945801496505737
Exciton, frame 80379 ran in:  12.16612982749939
Exciton, frame 80380 ran in:  11.81169080734253
Exciton, frame 80381 ran in:  12.208507776260376
Exciton, frame 80382 ran in:  12.038265228271484
Exciton, frame 80383 ran in:  11.848653316497803
Exciton, frame 80384 ran in:  11.74233365058899
Exciton, frame 80385 ran in:  11.924951553344727
Exciton, frame 80386 ran in:  11.887983322143555
Exciton, frame 80387 ran in:  12.184453010559082
Exciton, frame 80388 ran in:  12.22369647026062
Exciton, frame 80389 ran in:  11.945706367492676
Exciton, frame 80390 ran in:  11.618533372879028
Exciton, frame 80391 ran in:  11.42863941192627
Exciton, frame 80392 ran in:  11.571046352386475
Exciton, frame 80393 ran in:  11.620988130569458
Exciton, frame 80394 ran in:  11.913861751556396
Exciton, frame 80395 ran in:  12.092142820358276
Exciton, frame 80396 ran in:  11.958915710449219
Exciton, frame 80397 ran in:  11.742082118988037
Exciton, frame 80398 ran in:  11.890408277511597
Exciton, frame 80399 ran in:  11.586440563201904
Exciton, frame 80400 ran in:  11.900287866592407
Exciton, frame 80401 ran in:  11.786592960357666
Exciton, frame 80402 ran in:  11.961016654968262
Exciton, frame 80403 ran in:  11.99559760093689
Exciton, frame 80404 ran in:  11.95603060722351
Exciton, frame 80405 ran in:  11.988059997558594
Exciton, frame 80406 ran in:  11.935366153717041
Exciton, frame 80407 ran in:  12.064072608947754
Exciton, frame 80408 ran in:  11.646671533584595
Exciton, frame 80409 ran in:  11.763259649276733
Exciton, frame 80410 ran in:  11.734774112701416
Exciton, frame 80411 ran in:  11.918909072875977
Exciton, frame 80412 ran in:  11.912477016448975
Exciton, frame 80413 ran in:  11.604462623596191
Exciton, frame 80414 ran in:  11.999594688415527
Exciton, frame 80415 ran in:  11.667486190795898
Exciton, frame 80416 ran in:  12.084521055221558
Exciton, frame 80417 ran in:  11.264359474182129
Exciton, frame 80418 ran in:  11.942659616470337
Exciton, frame 80419 ran in:  11.609983444213867
Exciton, frame 80420 ran in:  11.926474332809448
Exciton, frame 80421 ran in:  11.632811307907104
Exciton, frame 80422 ran in:  11.40847396850586
Exciton, frame 80423 ran in:  11.839629650115967
Exciton, frame 80424 ran in:  11.76048469543457
Exciton, frame 80425 ran in:  11.90033221244812
Exciton, frame 80426 ran in:  11.891477108001709
Exciton, frame 80427 ran in:  12.062538623809814
Exciton, frame 80428 ran in:  11.661368131637573
Exciton, frame 80429 ran in:  11.64766788482666
Exciton, frame 80430 ran in:  11.902787208557129
Exciton, frame 80431 ran in:  11.593516111373901
Exciton, frame 80432 ran in:  12.09467339515686
Exciton, frame 80433 ran in:  11.703378677368164
Exciton, frame 80434 ran in:  11.808874368667603
Exciton, frame 80435 ran in:  11.647409439086914
Exciton, frame 80436 ran in:  12.011998414993286
Exciton, frame 80437 ran in:  12.015133380889893
Exciton, frame 80438 ran in:  11.725790739059448
Exciton, frame 80439 ran in:  11.746175765991211
Exciton, frame 80440 ran in:  11.910926342010498
Exciton, frame 80441 ran in:  12.157258987426758
Exciton, frame 80442 ran in:  11.698418378829956
Exciton, frame 80443 ran in:  11.989207029342651
Exciton, frame 80444 ran in:  12.088974475860596
Exciton, frame 80445 ran in:  12.016602516174316
Exciton, frame 80446 ran in:  11.879097938537598
Exciton, frame 80447 ran in:  12.016314029693604
Exciton, frame 80448 ran in:  12.036795139312744
Exciton, frame 80449 ran in:  11.966373920440674
Exciton, frame 80450 ran in:  12.116607189178467
Exciton, frame 80451 ran in:  12.059244871139526
Exciton, frame 80452 ran in:  11.950630903244019
Exciton, frame 80453 ran in:  11.51180624961853
Exciton, frame 80454 ran in:  11.959811210632324
Exciton, frame 80455 ran in:  11.732118606567383
Exciton, frame 80456 ran in:  11.426190614700317
Exciton, frame 80457 ran in:  12.069012641906738
Exciton, frame 80458 ran in:  11.65713357925415
Exciton, frame 80459 ran in:  12.021629810333252
Exciton, frame 80460 ran in:  12.037460327148438
Exciton, frame 80461 ran in:  12.100796937942505
Exciton, frame 80462 ran in:  12.039100170135498
Exciton, frame 80463 ran in:  11.674311876296997
Exciton, frame 80464 ran in:  11.8475501537323
Exciton, frame 80465 ran in:  11.600354433059692
Exciton, frame 80466 ran in:  11.96879529953003
Exciton, frame 80467 ran in:  12.076933860778809
Exciton, frame 80468 ran in:  11.195034265518188
Exciton, frame 80469 ran in:  12.003918647766113
Exciton, frame 80470 ran in:  11.846229076385498
Exciton, frame 80471 ran in:  12.040975570678711
Exciton, frame 80472 ran in:  12.014187812805176
Exciton, frame 80473 ran in:  11.722836256027222
Exciton, frame 80474 ran in:  11.463513851165771
Exciton, frame 80475 ran in:  11.95958161354065
Exciton, frame 80476 ran in:  11.959405422210693
Exciton, frame 80477 ran in:  11.501119613647461
Exciton, frame 80478 ran in:  11.909465789794922
Exciton, frame 80479 ran in:  11.815255165100098
Exciton, frame 80480 ran in:  11.6684730052948
Exciton, frame 80481 ran in:  11.928298234939575
Exciton, frame 80482 ran in:  11.94596242904663
Exciton, frame 80483 ran in:  11.91981315612793
Exciton, frame 80484 ran in:  11.739727020263672
Exciton, frame 80485 ran in:  11.647743701934814
Exciton, frame 80486 ran in:  12.080236434936523
Exciton, frame 80487 ran in:  12.06520414352417
Exciton, frame 80488 ran in:  12.184826850891113
Exciton, frame 80489 ran in:  11.80708360671997
Exciton, frame 80490 ran in:  11.915527820587158
Exciton, frame 80491 ran in:  12.217825889587402
Exciton, frame 80492 ran in:  11.995144128799438
Exciton, frame 80493 ran in:  11.584353685379028
Exciton, frame 80494 ran in:  12.036207675933838
Exciton, frame 80495 ran in:  12.041395902633667
Exciton, frame 80496 ran in:  12.03406548500061
Exciton, frame 80497 ran in:  11.907660245895386
Exciton, frame 80498 ran in:  11.549577951431274
Exciton, frame 80499 ran in:  11.639338254928589
Exciton, frame 80500 ran in:  12.04325270652771
Exciton, frame 80501 ran in:  12.0592942237854
Exciton, frame 80502 ran in:  12.046130180358887
Exciton, frame 80503 ran in:  11.856566190719604
Exciton, frame 80504 ran in:  12.19470500946045
Exciton, frame 80505 ran in:  11.983598232269287
Exciton, frame 80506 ran in:  12.208731174468994
Exciton, frame 80507 ran in:  12.072297096252441
Exciton, frame 80508 ran in:  12.1215181350708
Exciton, frame 80509 ran in:  11.787054538726807
Exciton, frame 80510 ran in:  12.104656457901001
Exciton, frame 80511 ran in:  11.496973991394043
Exciton, frame 80512 ran in:  12.249829530715942
Exciton, frame 80513 ran in:  11.741497039794922
Exciton, frame 80514 ran in:  12.063806533813477
Exciton, frame 80515 ran in:  12.133214950561523
Exciton, frame 80516 ran in:  11.987918615341187
Exciton, frame 80517 ran in:  12.027143955230713
Exciton, frame 80518 ran in:  11.99491810798645
Exciton, frame 80519 ran in:  11.791057348251343
Exciton, frame 80520 ran in:  11.455412149429321
Exciton, frame 80521 ran in:  11.648928880691528
