cpu-bind=MASK - bp1-compute213, task 4294967295 4294967295 [0]: mask 0x1e01feff1e01feff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 30.447200 secs
Exciton, frame 4421 ran in:  11.681318283081055
Exciton, frame 4422 ran in:  11.331386089324951
Exciton, frame 4423 ran in:  11.662406921386719
Exciton, frame 4424 ran in:  11.424625396728516
Exciton, frame 4425 ran in:  11.435370922088623
Exciton, frame 4426 ran in:  11.362444639205933
Exciton, frame 4427 ran in:  11.3772714138031
Exciton, frame 4428 ran in:  11.567559957504272
Exciton, frame 4429 ran in:  11.556113719940186
Exciton, frame 4430 ran in:  11.508562803268433
Exciton, frame 4431 ran in:  11.538102626800537
Exciton, frame 4432 ran in:  11.552683353424072
Exciton, frame 4433 ran in:  11.505502462387085
Exciton, frame 4434 ran in:  11.42521595954895
Exciton, frame 4435 ran in:  11.28187894821167
Exciton, frame 4436 ran in:  11.575736284255981
Exciton, frame 4437 ran in:  11.456752300262451
Exciton, frame 4438 ran in:  11.581248760223389
Exciton, frame 4439 ran in:  11.451155185699463
Exciton, frame 4440 ran in:  11.359023809432983
Exciton, frame 4441 ran in:  11.625530242919922
Exciton, frame 4442 ran in:  11.573810577392578
Exciton, frame 4443 ran in:  11.361388444900513
Exciton, frame 4444 ran in:  11.429409503936768
Exciton, frame 4445 ran in:  11.72411036491394
Exciton, frame 4446 ran in:  11.54121732711792
Exciton, frame 4447 ran in:  11.402933835983276
Exciton, frame 4448 ran in:  12.00217890739441
Exciton, frame 4449 ran in:  11.052732706069946
Exciton, frame 4450 ran in:  11.451218128204346
Exciton, frame 4451 ran in:  11.59261441230774
Exciton, frame 4452 ran in:  11.432986497879028
Exciton, frame 4453 ran in:  11.576715230941772
Exciton, frame 4454 ran in:  11.305574655532837
Exciton, frame 4455 ran in:  11.583936929702759
Exciton, frame 4456 ran in:  11.51487946510315
Exciton, frame 4457 ran in:  11.394658088684082
Exciton, frame 4458 ran in:  11.675641059875488
Exciton, frame 4459 ran in:  11.255117654800415
Exciton, frame 4460 ran in:  11.398513078689575
Exciton, frame 4461 ran in:  11.50038766860962
Exciton, frame 4462 ran in:  11.470870018005371
Exciton, frame 4463 ran in:  11.666332006454468
Exciton, frame 4464 ran in:  11.611636400222778
Exciton, frame 4465 ran in:  11.685014963150024
Exciton, frame 4466 ran in:  11.218068599700928
Exciton, frame 4467 ran in:  11.258837699890137
Exciton, frame 4468 ran in:  11.543761491775513
Exciton, frame 4469 ran in:  11.017979145050049
Exciton, frame 4470 ran in:  11.707577466964722
Exciton, frame 4471 ran in:  11.505221605300903
Exciton, frame 4472 ran in:  11.543124198913574
Exciton, frame 4473 ran in:  11.574556827545166
Exciton, frame 4474 ran in:  11.504859447479248
Exciton, frame 4475 ran in:  11.326341152191162
Exciton, frame 4476 ran in:  11.520957231521606
Exciton, frame 4477 ran in:  11.580936431884766
Exciton, frame 4478 ran in:  11.452763080596924
Exciton, frame 4479 ran in:  11.180068731307983
Exciton, frame 4480 ran in:  11.221710681915283
Exciton, frame 4481 ran in:  11.560830116271973
Exciton, frame 4482 ran in:  11.254028558731079
Exciton, frame 4483 ran in:  11.288217306137085
Exciton, frame 4484 ran in:  11.496025800704956
Exciton, frame 4485 ran in:  11.36636757850647
Exciton, frame 4486 ran in:  11.044262647628784
Exciton, frame 4487 ran in:  11.532148599624634
Exciton, frame 4488 ran in:  11.517872095108032
Exciton, frame 4489 ran in:  11.485355854034424
Exciton, frame 4490 ran in:  11.231064796447754
Exciton, frame 4491 ran in:  11.355208396911621
Exciton, frame 4492 ran in:  11.524268627166748
Exciton, frame 4493 ran in:  11.627627849578857
Exciton, frame 4494 ran in:  11.438159704208374
Exciton, frame 4495 ran in:  11.470107793807983
Exciton, frame 4496 ran in:  11.405195474624634
Exciton, frame 4497 ran in:  11.431020021438599
Exciton, frame 4498 ran in:  11.313055515289307
Exciton, frame 4499 ran in:  11.497425079345703
Exciton, frame 4500 ran in:  11.388711929321289
Exciton, frame 4501 ran in:  11.623449087142944
Exciton, frame 4502 ran in:  11.50589394569397
Exciton, frame 4503 ran in:  11.335026502609253
Exciton, frame 4504 ran in:  10.963292598724365
Exciton, frame 4505 ran in:  11.552040815353394
Exciton, frame 4506 ran in:  11.506137609481812
Exciton, frame 4507 ran in:  11.672292232513428
Exciton, frame 4508 ran in:  11.13224196434021
Exciton, frame 4509 ran in:  11.160349369049072
Exciton, frame 4510 ran in:  11.383415222167969
Exciton, frame 4511 ran in:  11.509558916091919
Exciton, frame 4512 ran in:  11.300839185714722
Exciton, frame 4513 ran in:  11.409903049468994
Exciton, frame 4514 ran in:  11.402857780456543
Exciton, frame 4515 ran in:  11.47674298286438
Exciton, frame 4516 ran in:  11.424900531768799
Exciton, frame 4517 ran in:  11.58522367477417
Exciton, frame 4518 ran in:  11.4658522605896
Exciton, frame 4519 ran in:  11.567127466201782
Exciton, frame 4520 ran in:  11.768119812011719
Exciton, frame 4521 ran in:  11.763797283172607
Exciton, frame 4522 ran in:  11.098358392715454
Exciton, frame 4523 ran in:  10.542364358901978
Exciton, frame 4524 ran in:  10.776100397109985
Exciton, frame 4525 ran in:  11.478008270263672
Exciton, frame 4526 ran in:  10.758144855499268
Exciton, frame 4527 ran in:  10.632320880889893
Exciton, frame 4528 ran in:  10.86089277267456
Exciton, frame 4529 ran in:  10.708978652954102
Exciton, frame 4530 ran in:  11.017422199249268
Exciton, frame 4531 ran in:  10.821269035339355
Exciton, frame 4532 ran in:  11.065160751342773
Exciton, frame 4533 ran in:  10.358660459518433
Exciton, frame 4534 ran in:  10.922236204147339
Exciton, frame 4535 ran in:  11.466016054153442
Exciton, frame 4536 ran in:  10.692110538482666
Exciton, frame 4537 ran in:  10.584644794464111
Exciton, frame 4538 ran in:  11.102940559387207
Exciton, frame 4539 ran in:  11.481844186782837
Exciton, frame 4540 ran in:  12.1328604221344
Exciton, frame 4541 ran in:  12.178354740142822
Exciton, frame 4542 ran in:  11.782337665557861
Exciton, frame 4543 ran in:  11.930957317352295
Exciton, frame 4544 ran in:  12.260905504226685
Exciton, frame 4545 ran in:  10.612813711166382
Exciton, frame 4546 ran in:  12.627558708190918
Exciton, frame 4547 ran in:  11.780509233474731
Exciton, frame 4548 ran in:  12.6971435546875
Exciton, frame 4549 ran in:  12.25356411933899
Exciton, frame 4550 ran in:  12.139880895614624
Exciton, frame 4551 ran in:  12.185213565826416
Exciton, frame 4552 ran in:  11.59681248664856
Exciton, frame 4553 ran in:  10.727588176727295
Exciton, frame 4554 ran in:  12.147542953491211
Exciton, frame 4555 ran in:  10.89414095878601
Exciton, frame 4556 ran in:  11.949010372161865
Exciton, frame 4557 ran in:  12.342087984085083
Exciton, frame 4558 ran in:  12.001454830169678
Exciton, frame 4559 ran in:  12.314511060714722
Exciton, frame 4560 ran in:  11.98715877532959
Exciton, frame 4561 ran in:  12.018741607666016
Exciton, frame 4562 ran in:  10.8450288772583
Exciton, frame 4563 ran in:  12.156548976898193
