cpu-bind=MASK - bp1-compute212, task 4294967295 4294967295 [0]: mask 0xffff3210ffff3210 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 53.755255 secs
Exciton, frame 32402 ran in:  10.964726209640503
Exciton, frame 32403 ran in:  12.363802194595337
Exciton, frame 32404 ran in:  12.304962158203125
Exciton, frame 32405 ran in:  12.307084798812866
Exciton, frame 32406 ran in:  12.047799825668335
Exciton, frame 32407 ran in:  12.20408844947815
Exciton, frame 32408 ran in:  12.336345672607422
Exciton, frame 32409 ran in:  12.275310039520264
Exciton, frame 32410 ran in:  12.117920398712158
Exciton, frame 32411 ran in:  12.477375268936157
Exciton, frame 32412 ran in:  12.143260478973389
Exciton, frame 32413 ran in:  12.429644107818604
Exciton, frame 32414 ran in:  12.313599348068237
Exciton, frame 32415 ran in:  12.14750862121582
Exciton, frame 32416 ran in:  12.401192665100098
Exciton, frame 32417 ran in:  12.178486585617065
Exciton, frame 32418 ran in:  12.479878902435303
Exciton, frame 32419 ran in:  12.424525260925293
Exciton, frame 32420 ran in:  11.949799060821533
Exciton, frame 32421 ran in:  12.207293510437012
Exciton, frame 32422 ran in:  12.14237904548645
Exciton, frame 32423 ran in:  12.380438804626465
Exciton, frame 32424 ran in:  12.464986801147461
Exciton, frame 32425 ran in:  12.231521368026733
Exciton, frame 32426 ran in:  12.132709980010986
Exciton, frame 32427 ran in:  12.503392696380615
Exciton, frame 32428 ran in:  11.651883125305176
Exciton, frame 32429 ran in:  12.21785569190979
Exciton, frame 32430 ran in:  12.255709409713745
Exciton, frame 32431 ran in:  12.012847185134888
Exciton, frame 32432 ran in:  11.928514003753662
Exciton, frame 32433 ran in:  12.289214134216309
Exciton, frame 32434 ran in:  11.812182903289795
Exciton, frame 32435 ran in:  12.036237001419067
Exciton, frame 32436 ran in:  12.408244371414185
Exciton, frame 32437 ran in:  11.86708664894104
Exciton, frame 32438 ran in:  11.88059115409851
Exciton, frame 32439 ran in:  12.097161054611206
Exciton, frame 32440 ran in:  12.292029619216919
Exciton, frame 32441 ran in:  12.32689619064331
Exciton, frame 32442 ran in:  12.39542269706726
Exciton, frame 32443 ran in:  12.169019937515259
Exciton, frame 32444 ran in:  12.224446058273315
Exciton, frame 32445 ran in:  12.314374208450317
Exciton, frame 32446 ran in:  12.306289434432983
Exciton, frame 32447 ran in:  12.201403141021729
Exciton, frame 32448 ran in:  12.168760538101196
Exciton, frame 32449 ran in:  11.890652179718018
Exciton, frame 32450 ran in:  12.309564113616943
Exciton, frame 32451 ran in:  12.293423414230347
Exciton, frame 32452 ran in:  12.106196641921997
Exciton, frame 32453 ran in:  12.260677337646484
Exciton, frame 32454 ran in:  12.374064207077026
Exciton, frame 32455 ran in:  12.261391639709473
Exciton, frame 32456 ran in:  12.348584413528442
Exciton, frame 32457 ran in:  12.430862665176392
Exciton, frame 32458 ran in:  12.047860383987427
Exciton, frame 32459 ran in:  12.255281448364258
Exciton, frame 32460 ran in:  12.306546449661255
Exciton, frame 32461 ran in:  12.197234630584717
Exciton, frame 32462 ran in:  12.248408079147339
Exciton, frame 32463 ran in:  12.406145095825195
Exciton, frame 32464 ran in:  12.22970700263977
Exciton, frame 32465 ran in:  12.490079641342163
Exciton, frame 32466 ran in:  12.336135864257812
Exciton, frame 32467 ran in:  12.01232647895813
Exciton, frame 32468 ran in:  12.22613787651062
Exciton, frame 32469 ran in:  12.321466207504272
Exciton, frame 32470 ran in:  12.450932025909424
Exciton, frame 32471 ran in:  12.280872821807861
Exciton, frame 32472 ran in:  12.484319925308228
Exciton, frame 32473 ran in:  12.19890832901001
Exciton, frame 32474 ran in:  12.106585502624512
Exciton, frame 32475 ran in:  12.275100708007812
Exciton, frame 32476 ran in:  12.320852041244507
Exciton, frame 32477 ran in:  12.177550315856934
Exciton, frame 32478 ran in:  12.28771448135376
Exciton, frame 32479 ran in:  11.957935094833374
Exciton, frame 32480 ran in:  11.919305801391602
Exciton, frame 32481 ran in:  11.910094976425171
Exciton, frame 32482 ran in:  12.10660433769226
Exciton, frame 32483 ran in:  12.273788928985596
Exciton, frame 32484 ran in:  12.475591897964478
Exciton, frame 32485 ran in:  12.212554454803467
Exciton, frame 32486 ran in:  12.154406070709229
Exciton, frame 32487 ran in:  12.424735307693481
Exciton, frame 32488 ran in:  12.242343425750732
Exciton, frame 32489 ran in:  12.618360757827759
Exciton, frame 32490 ran in:  12.410630226135254
Exciton, frame 32491 ran in:  12.215747117996216
Exciton, frame 32492 ran in:  12.349440097808838
Exciton, frame 32493 ran in:  12.010308265686035
Exciton, frame 32494 ran in:  12.4063241481781
Exciton, frame 32495 ran in:  12.21565294265747
Exciton, frame 32496 ran in:  12.145101070404053
Exciton, frame 32497 ran in:  12.281798124313354
Exciton, frame 32498 ran in:  11.968424558639526
Exciton, frame 32499 ran in:  12.014330625534058
Exciton, frame 32500 ran in:  12.101762771606445
Exciton, frame 32501 ran in:  12.279505491256714
Exciton, frame 32502 ran in:  12.401689291000366
Exciton, frame 32503 ran in:  12.203592538833618
Exciton, frame 32504 ran in:  12.20575475692749
