cpu-bind=MASK - bp1-compute130, task 4294967295 4294967295 [0]: mask 0x3bfe01fe3bfe01fe set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 38.550530 secs
Exciton, frame 76312 ran in:  13.036075115203857
Exciton, frame 76313 ran in:  14.21708631515503
Exciton, frame 76314 ran in:  13.454876899719238
Exciton, frame 76315 ran in:  13.978499412536621
Exciton, frame 76316 ran in:  13.265305757522583
Exciton, frame 76317 ran in:  13.360034465789795
Exciton, frame 76318 ran in:  13.821320295333862
Exciton, frame 76319 ran in:  13.13779592514038
Exciton, frame 76320 ran in:  12.98299503326416
Exciton, frame 76321 ran in:  13.236339569091797
Exciton, frame 76322 ran in:  13.324150323867798
Exciton, frame 76323 ran in:  13.526516437530518
Exciton, frame 76324 ran in:  13.559237480163574
Exciton, frame 76325 ran in:  13.386869430541992
Exciton, frame 76326 ran in:  13.76791524887085
Exciton, frame 76327 ran in:  13.849798679351807
Exciton, frame 76328 ran in:  13.658746004104614
Exciton, frame 76329 ran in:  14.15003514289856
Exciton, frame 76330 ran in:  13.142093658447266
Exciton, frame 76331 ran in:  13.955751895904541
Exciton, frame 76332 ran in:  13.82818341255188
Exciton, frame 76333 ran in:  13.191332817077637
Exciton, frame 76334 ran in:  13.234771490097046
Exciton, frame 76335 ran in:  13.317354202270508
Exciton, frame 76336 ran in:  13.33112621307373
Exciton, frame 76337 ran in:  13.35582971572876
Exciton, frame 76338 ran in:  13.317811250686646
Exciton, frame 76339 ran in:  13.30413269996643
Exciton, frame 76340 ran in:  13.933226108551025
Exciton, frame 76341 ran in:  13.390856266021729
Exciton, frame 76342 ran in:  13.353927850723267
Exciton, frame 76343 ran in:  13.807821273803711
Exciton, frame 76344 ran in:  13.840765953063965
Exciton, frame 76345 ran in:  13.508771896362305
Exciton, frame 76346 ran in:  13.206517219543457
Exciton, frame 76347 ran in:  13.424423217773438
Exciton, frame 76348 ran in:  13.87500262260437
