cpu-bind=MASK - bp1-compute164, task 4294967295 4294967295 [0]: mask 0xa7fb00ffa7fb00ff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 45.056077 secs
Exciton, frame 88346 ran in:  13.876413106918335
Exciton, frame 88347 ran in:  13.581537961959839
Exciton, frame 88348 ran in:  13.650006294250488
Exciton, frame 88349 ran in:  13.261361598968506
Exciton, frame 88350 ran in:  13.447363376617432
Exciton, frame 88351 ran in:  13.534367799758911
Exciton, frame 88352 ran in:  12.96780276298523
Exciton, frame 88353 ran in:  13.45619535446167
Exciton, frame 88354 ran in:  13.4992835521698
Exciton, frame 88355 ran in:  13.256330966949463
Exciton, frame 88356 ran in:  13.336890459060669
Exciton, frame 88357 ran in:  13.51217246055603
Exciton, frame 88358 ran in:  13.436941862106323
Exciton, frame 88359 ran in:  13.707299947738647
Exciton, frame 88360 ran in:  13.727031230926514
Exciton, frame 88361 ran in:  13.34506368637085
Exciton, frame 88362 ran in:  13.112213134765625
Exciton, frame 88363 ran in:  13.424321413040161
Exciton, frame 88364 ran in:  13.544156551361084
Exciton, frame 88365 ran in:  13.387459754943848
Exciton, frame 88366 ran in:  13.539064407348633
Exciton, frame 88367 ran in:  13.615242958068848
Exciton, frame 88368 ran in:  13.62229299545288
Exciton, frame 88369 ran in:  13.49881386756897
Exciton, frame 88370 ran in:  13.310610294342041
Exciton, frame 88371 ran in:  13.680423498153687
Exciton, frame 88372 ran in:  13.307223081588745
Exciton, frame 88373 ran in:  13.77407717704773
Exciton, frame 88374 ran in:  13.176066160202026
Exciton, frame 88375 ran in:  13.28527021408081
Exciton, frame 88376 ran in:  13.455877304077148
Exciton, frame 88377 ran in:  13.491562366485596
Exciton, frame 88378 ran in:  12.883789300918579
Exciton, frame 88379 ran in:  13.429784536361694
Exciton, frame 88380 ran in:  13.585142374038696
Exciton, frame 88381 ran in:  13.183749198913574
Exciton, frame 88382 ran in:  13.726476907730103
Exciton, frame 88383 ran in:  13.856008768081665
Exciton, frame 88384 ran in:  13.699804306030273
Exciton, frame 88385 ran in:  14.139143228530884
Exciton, frame 88386 ran in:  13.199108362197876
Exciton, frame 88387 ran in:  13.359732151031494
Exciton, frame 88388 ran in:  13.245416641235352
Exciton, frame 88389 ran in:  13.464137554168701
Exciton, frame 88390 ran in:  13.147002696990967
Exciton, frame 88391 ran in:  13.415586471557617
Exciton, frame 88392 ran in:  13.328308820724487
Exciton, frame 88393 ran in:  13.323022365570068
Exciton, frame 88394 ran in:  13.86129903793335
Exciton, frame 88395 ran in:  13.826262950897217
Exciton, frame 88396 ran in:  13.78705906867981
Exciton, frame 88397 ran in:  13.977907419204712
Exciton, frame 88398 ran in:  13.29784893989563
Exciton, frame 88399 ran in:  13.137420654296875
Exciton, frame 88400 ran in:  12.820289134979248
Exciton, frame 88401 ran in:  13.261551141738892
Exciton, frame 88402 ran in:  13.218112707138062
Exciton, frame 88403 ran in:  13.38569164276123
Exciton, frame 88404 ran in:  13.202877283096313
Exciton, frame 88405 ran in:  12.81625771522522
Exciton, frame 88406 ran in:  13.146960020065308
Exciton, frame 88407 ran in:  13.327285051345825
Exciton, frame 88408 ran in:  13.0664222240448
Exciton, frame 88409 ran in:  13.364905595779419
Exciton, frame 88410 ran in:  13.279298782348633
Exciton, frame 88411 ran in:  13.891433477401733
Exciton, frame 88412 ran in:  13.433481931686401
Exciton, frame 88413 ran in:  13.466865301132202
Exciton, frame 88414 ran in:  13.359601020812988
Exciton, frame 88415 ran in:  13.387738943099976
Exciton, frame 88416 ran in:  13.27615475654602
Exciton, frame 88417 ran in:  13.309234619140625
Exciton, frame 88418 ran in:  13.57523775100708
Exciton, frame 88419 ran in:  13.127700328826904
Exciton, frame 88420 ran in:  13.272386074066162
Exciton, frame 88421 ran in:  12.99658465385437
Exciton, frame 88422 ran in:  13.35647177696228
Exciton, frame 88423 ran in:  13.418055534362793
Exciton, frame 88424 ran in:  13.155419826507568
Exciton, frame 88425 ran in:  13.093138217926025
Exciton, frame 88426 ran in:  13.244639873504639
Exciton, frame 88427 ran in:  13.316023826599121
Exciton, frame 88428 ran in:  13.323308229446411
Exciton, frame 88429 ran in:  13.105337142944336
Exciton, frame 88430 ran in:  13.347841024398804
Exciton, frame 88431 ran in:  13.346526145935059
Exciton, frame 88432 ran in:  13.326858043670654
Exciton, frame 88433 ran in:  13.242167234420776
Exciton, frame 88434 ran in:  13.369039058685303
Exciton, frame 88435 ran in:  13.225717544555664
Exciton, frame 88436 ran in:  13.046716690063477
Exciton, frame 88437 ran in:  13.074608564376831
Exciton, frame 88438 ran in:  13.43396544456482
Exciton, frame 88439 ran in:  13.143503904342651
Exciton, frame 88440 ran in:  13.065874814987183
Exciton, frame 88441 ran in:  13.384247303009033
Exciton, frame 88442 ran in:  13.477844476699829
Exciton, frame 88443 ran in:  13.269731521606445
Exciton, frame 88444 ran in:  13.211431741714478
Exciton, frame 88445 ran in:  13.387141942977905
Exciton, frame 88446 ran in:  13.370181798934937
Exciton, frame 88447 ran in:  14.294664859771729
Exciton, frame 88448 ran in:  13.341780185699463
Exciton, frame 88449 ran in:  13.253671884536743
