cpu-bind=MASK - bp1-compute131, task 4294967295 4294967295 [0]: mask 0x1fefff001fefff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 47.700942 secs
Exciton, frame 16246 ran in:  13.77492380142212
Exciton, frame 16247 ran in:  13.75250244140625
Exciton, frame 16248 ran in:  13.325788021087646
Exciton, frame 16249 ran in:  12.932190179824829
Exciton, frame 16250 ran in:  13.863918542861938
Exciton, frame 16251 ran in:  13.874966144561768
Exciton, frame 16252 ran in:  12.668856859207153
Exciton, frame 16253 ran in:  14.112043380737305
Exciton, frame 16254 ran in:  14.015174865722656
Exciton, frame 16255 ran in:  13.743966579437256
Exciton, frame 16256 ran in:  12.539050579071045
Exciton, frame 16257 ran in:  13.154093742370605
Exciton, frame 16258 ran in:  13.582815408706665
Exciton, frame 16259 ran in:  13.870558977127075
Exciton, frame 16260 ran in:  13.83164381980896
Exciton, frame 16261 ran in:  13.963062524795532
Exciton, frame 16262 ran in:  13.93928599357605
Exciton, frame 16263 ran in:  13.938130140304565
Exciton, frame 16264 ran in:  13.97419548034668
Exciton, frame 16265 ran in:  13.89914846420288
Exciton, frame 16266 ran in:  13.922863006591797
Exciton, frame 16267 ran in:  13.926007270812988
Exciton, frame 16268 ran in:  13.97478699684143
Exciton, frame 16269 ran in:  12.435337781906128
Exciton, frame 16270 ran in:  13.512789726257324
Exciton, frame 16271 ran in:  13.705837488174438
Exciton, frame 16272 ran in:  13.61535096168518
Exciton, frame 16273 ran in:  14.026120901107788
Exciton, frame 16274 ran in:  13.938154935836792
Exciton, frame 16275 ran in:  14.083755731582642
Exciton, frame 16276 ran in:  13.881917715072632
Exciton, frame 16277 ran in:  12.605943441390991
Exciton, frame 16278 ran in:  13.441783428192139
Exciton, frame 16279 ran in:  12.577380657196045
Exciton, frame 16280 ran in:  13.84848165512085
Exciton, frame 16281 ran in:  13.839540004730225
Exciton, frame 16282 ran in:  13.304445028305054
Exciton, frame 16283 ran in:  12.647904396057129
Exciton, frame 16284 ran in:  12.772136211395264
Exciton, frame 16285 ran in:  13.970879793167114
Exciton, frame 16286 ran in:  14.118618249893188
Exciton, frame 16287 ran in:  14.18120789527893
Exciton, frame 16288 ran in:  13.955545663833618
Exciton, frame 16289 ran in:  13.85154676437378
Exciton, frame 16290 ran in:  13.815130472183228
Exciton, frame 16291 ran in:  14.102485656738281
Exciton, frame 16292 ran in:  14.248471736907959
Exciton, frame 16293 ran in:  14.053329229354858
Exciton, frame 16294 ran in:  13.908765316009521
Exciton, frame 16295 ran in:  13.93335485458374
Exciton, frame 16296 ran in:  12.988268613815308
Exciton, frame 16297 ran in:  13.64385199546814
Exciton, frame 16298 ran in:  13.598843097686768
Exciton, frame 16299 ran in:  13.773419618606567
Exciton, frame 16300 ran in:  12.804176330566406
Exciton, frame 16301 ran in:  13.897385597229004
