cpu-bind=MASK - bp1-compute168, task 4294967295 4294967295 [0]: mask 0x2ffd30bb2ffd30bb set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 32.759545 secs
Exciton, frame 12332 ran in:  13.807253122329712
Exciton, frame 12333 ran in:  13.243144273757935
Exciton, frame 12334 ran in:  13.708014965057373
Exciton, frame 12335 ran in:  13.70673656463623
Exciton, frame 12336 ran in:  13.517974853515625
Exciton, frame 12337 ran in:  14.26156735420227
Exciton, frame 12338 ran in:  13.689617395401001
Exciton, frame 12339 ran in:  13.640236377716064
Exciton, frame 12340 ran in:  14.09906268119812
Exciton, frame 12341 ran in:  13.250918865203857
Exciton, frame 12342 ran in:  13.830803394317627
Exciton, frame 12343 ran in:  13.505385160446167
Exciton, frame 12344 ran in:  14.455303430557251
Exciton, frame 12345 ran in:  13.911795377731323
Exciton, frame 12346 ran in:  13.812204599380493
Exciton, frame 12347 ran in:  13.496696472167969
Exciton, frame 12348 ran in:  14.146013736724854
Exciton, frame 12349 ran in:  14.403449773788452
Exciton, frame 12350 ran in:  13.548204183578491
Exciton, frame 12351 ran in:  13.996407747268677
Exciton, frame 12352 ran in:  13.695444107055664
Exciton, frame 12353 ran in:  13.631348848342896
Exciton, frame 12354 ran in:  14.109313249588013
Exciton, frame 12355 ran in:  13.967133522033691
Exciton, frame 12356 ran in:  14.008187770843506
Exciton, frame 12357 ran in:  13.341350317001343
Exciton, frame 12358 ran in:  13.333142757415771
Exciton, frame 12359 ran in:  14.08589243888855
Exciton, frame 12360 ran in:  13.418394565582275
Exciton, frame 12361 ran in:  13.262798309326172
Exciton, frame 12362 ran in:  13.833359241485596
Exciton, frame 12363 ran in:  13.86797046661377
Exciton, frame 12364 ran in:  13.753346920013428
Exciton, frame 12365 ran in:  14.124132871627808
Exciton, frame 12366 ran in:  13.904253005981445
Exciton, frame 12367 ran in:  13.874086856842041
Exciton, frame 12368 ran in:  13.919910192489624
Exciton, frame 12369 ran in:  13.35470962524414
Exciton, frame 12370 ran in:  13.692079544067383
Exciton, frame 12371 ran in:  13.541045904159546
Exciton, frame 12372 ran in:  13.889573097229004
Exciton, frame 12373 ran in:  13.58525276184082
Exciton, frame 12374 ran in:  14.077891111373901
Exciton, frame 12375 ran in:  13.934370756149292
Exciton, frame 12376 ran in:  14.483532667160034
Exciton, frame 12377 ran in:  13.345950603485107
Exciton, frame 12378 ran in:  13.657395839691162
Exciton, frame 12379 ran in:  13.760912656784058
Exciton, frame 12380 ran in:  14.023514986038208
Exciton, frame 12381 ran in:  13.210547685623169
Exciton, frame 12382 ran in:  13.897069692611694
Exciton, frame 12383 ran in:  13.782768249511719
Exciton, frame 12384 ran in:  13.530032396316528
Exciton, frame 12385 ran in:  14.085960865020752
Exciton, frame 12386 ran in:  14.206919193267822
Exciton, frame 12387 ran in:  14.014113187789917
Exciton, frame 12388 ran in:  13.726555109024048
Exciton, frame 12389 ran in:  13.61717677116394
Exciton, frame 12390 ran in:  13.767375230789185
Exciton, frame 12391 ran in:  14.098644733428955
Exciton, frame 12392 ran in:  14.28299355506897
Exciton, frame 12393 ran in:  13.90476655960083
Exciton, frame 12394 ran in:  13.349769353866577
Exciton, frame 12395 ran in:  13.569613218307495
Exciton, frame 12396 ran in:  13.972203254699707
Exciton, frame 12397 ran in:  14.765886306762695
Exciton, frame 12398 ran in:  14.181480407714844
Exciton, frame 12399 ran in:  13.5410795211792
Exciton, frame 12400 ran in:  13.750768184661865
Exciton, frame 12401 ran in:  13.899537801742554
Exciton, frame 12402 ran in:  13.445854902267456
Exciton, frame 12403 ran in:  13.493030786514282
Exciton, frame 12404 ran in:  14.133848905563354
Exciton, frame 12405 ran in:  14.388953447341919
Exciton, frame 12406 ran in:  13.635246753692627
Exciton, frame 12407 ran in:  14.032333850860596
Exciton, frame 12408 ran in:  13.292850494384766
Exciton, frame 12409 ran in:  13.636847734451294
Exciton, frame 12410 ran in:  13.417710781097412
Exciton, frame 12411 ran in:  14.232015132904053
Exciton, frame 12412 ran in:  13.29667353630066
