cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0xffff00f0000000000000000000000000ffff00f000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 23.857804 secs
Exciton, frame 7422 ran in:  17.042746543884277
Exciton, frame 7423 ran in:  23.418078899383545
Exciton, frame 7424 ran in:  16.87773585319519
Exciton, frame 7425 ran in:  16.716269969940186
Exciton, frame 7426 ran in:  16.282368183135986
Exciton, frame 7427 ran in:  14.683626413345337
Exciton, frame 7428 ran in:  15.49232292175293
Exciton, frame 7429 ran in:  14.577763557434082
Exciton, frame 7430 ran in:  16.533803462982178
Exciton, frame 7431 ran in:  16.937017679214478
Exciton, frame 7432 ran in:  17.02468705177307
Exciton, frame 7433 ran in:  17.745830059051514
Exciton, frame 7434 ran in:  17.10713505744934
Exciton, frame 7435 ran in:  16.592957496643066
Exciton, frame 7436 ran in:  16.81417155265808
Exciton, frame 7437 ran in:  16.68641686439514
Exciton, frame 7438 ran in:  16.325539588928223
Exciton, frame 7439 ran in:  16.542353630065918
Exciton, frame 7440 ran in:  16.760838747024536
Exciton, frame 7441 ran in:  16.99812626838684
Exciton, frame 7442 ran in:  16.403658390045166
Exciton, frame 7443 ran in:  24.137572288513184
Exciton, frame 7444 ran in:  15.565777778625488
Exciton, frame 7445 ran in:  16.104944467544556
Exciton, frame 7446 ran in:  15.823975801467896
Exciton, frame 7447 ran in:  15.503173351287842
Exciton, frame 7448 ran in:  15.069686651229858
Exciton, frame 7449 ran in:  14.68517804145813
Exciton, frame 7450 ran in:  14.905961275100708
Exciton, frame 7451 ran in:  15.087379932403564
Exciton, frame 7452 ran in:  16.509966611862183
Exciton, frame 7453 ran in:  25.807339191436768
Exciton, frame 7454 ran in:  17.519898414611816
Exciton, frame 7455 ran in:  16.578739643096924
Exciton, frame 7456 ran in:  16.524948835372925
Exciton, frame 7457 ran in:  16.87693476676941
Exciton, frame 7458 ran in:  17.170673847198486
Exciton, frame 7459 ran in:  16.974079370498657
Exciton, frame 7460 ran in:  16.61580228805542
Exciton, frame 7461 ran in:  16.642208099365234
Exciton, frame 7462 ran in:  16.000316858291626
Exciton, frame 7463 ran in:  27.449955463409424
Exciton, frame 7464 ran in:  16.60426115989685
Exciton, frame 7465 ran in:  16.576096534729004
Exciton, frame 7466 ran in:  14.88686752319336
Exciton, frame 7467 ran in:  17.584351301193237
Exciton, frame 7468 ran in:  17.798988103866577
Exciton, frame 7469 ran in:  17.206639766693115
Exciton, frame 7470 ran in:  17.250483751296997
Exciton, frame 7471 ran in:  21.071061372756958
Exciton, frame 7472 ran in:  16.41981601715088
Exciton, frame 7473 ran in:  27.37169647216797
Exciton, frame 7474 ran in:  18.99511170387268
Exciton, frame 7475 ran in:  27.628700733184814
Exciton, frame 7476 ran in:  15.437918186187744
Exciton, frame 7477 ran in:  15.568062543869019
Exciton, frame 7478 ran in:  15.500231266021729
Exciton, frame 7479 ran in:  15.096692323684692
Exciton, frame 7480 ran in:  16.725874662399292
Exciton, frame 7481 ran in:  14.945858001708984
Exciton, frame 7482 ran in:  14.71857213973999
Exciton, frame 7483 ran in:  27.524834394454956
Exciton, frame 7484 ran in:  27.972962379455566
Exciton, frame 7485 ran in:  15.147058010101318
Exciton, frame 7486 ran in:  27.08590006828308
Exciton, frame 7487 ran in:  27.600061893463135
Exciton, frame 7488 ran in:  15.951451063156128
Exciton, frame 7489 ran in:  15.44916844367981
Exciton, frame 7490 ran in:  15.347094297409058
Exciton, frame 7491 ran in:  14.493727445602417
Exciton, frame 7492 ran in:  15.08916187286377
Exciton, frame 7493 ran in:  26.973918676376343
Exciton, frame 7494 ran in:  15.523950099945068
Exciton, frame 7495 ran in:  27.549428701400757
Exciton, frame 7496 ran in:  15.074742317199707
Exciton, frame 7497 ran in:  15.485244750976562
Exciton, frame 7498 ran in:  14.80741000175476
Exciton, frame 7499 ran in:  15.752687215805054
Exciton, frame 7500 ran in:  14.640668630599976
Exciton, frame 7501 ran in:  14.263509273529053
Exciton, frame 7502 ran in:  27.757922649383545
Exciton, frame 7503 ran in:  15.29213571548462
Exciton, frame 7504 ran in:  16.064844369888306
Exciton, frame 7505 ran in:  15.473878860473633
Exciton, frame 7506 ran in:  14.831719636917114
Exciton, frame 7507 ran in:  14.772814273834229
Exciton, frame 7508 ran in:  15.220135927200317
Exciton, frame 7509 ran in:  15.091006517410278
Exciton, frame 7510 ran in:  15.657399892807007
Exciton, frame 7511 ran in:  15.450797319412231
Exciton, frame 7512 ran in:  15.105408430099487
Exciton, frame 7513 ran in:  14.779447555541992
Exciton, frame 7514 ran in:  15.072025299072266
Exciton, frame 7515 ran in:  15.65348196029663
Exciton, frame 7516 ran in:  14.829761266708374
Exciton, frame 7517 ran in:  14.653155088424683
Exciton, frame 7518 ran in:  15.235682010650635
Exciton, frame 7519 ran in:  15.38708209991455
Exciton, frame 7520 ran in:  14.984703302383423
Exciton, frame 7521 ran in:  15.080966711044312
Exciton, frame 7522 ran in:  15.208609342575073
Exciton, frame 7523 ran in:  14.813061237335205
Exciton, frame 7524 ran in:  15.743530511856079
Exciton, frame 7525 ran in:  14.286688089370728
Exciton, frame 7526 ran in:  15.998495101928711
Exciton, frame 7527 ran in:  15.570664644241333
Exciton, frame 7528 ran in:  20.104085206985474
Exciton, frame 7529 ran in:  21.897958517074585
Exciton, frame 7530 ran in:  15.700240850448608
Exciton, frame 7531 ran in:  14.729349374771118
Exciton, frame 7532 ran in:  27.709977626800537
Exciton, frame 7533 ran in:  28.0140221118927
Exciton, frame 7534 ran in:  26.951512098312378
Exciton, frame 7535 ran in:  28.043485403060913
Exciton, frame 7536 ran in:  15.564980745315552
Exciton, frame 7537 ran in:  14.788343667984009
Exciton, frame 7538 ran in:  15.347479820251465
Exciton, frame 7539 ran in:  16.131850481033325
Exciton, frame 7540 ran in:  28.169703245162964
Exciton, frame 7541 ran in:  14.920176982879639
Exciton, frame 7542 ran in:  16.416715145111084
Exciton, frame 7543 ran in:  15.638737440109253
Exciton, frame 7544 ran in:  15.430103540420532
Exciton, frame 7545 ran in:  14.485323905944824
Exciton, frame 7546 ran in:  15.53577446937561
Exciton, frame 7547 ran in:  16.172722339630127
Exciton, frame 7548 ran in:  15.032908916473389
Exciton, frame 7549 ran in:  15.211977243423462
Exciton, frame 7550 ran in:  15.300595998764038
Exciton, frame 7551 ran in:  28.135477781295776
Exciton, frame 7552 ran in:  15.042585372924805
Exciton, frame 7553 ran in:  28.43680453300476
Exciton, frame 7554 ran in:  15.602588653564453
Exciton, frame 7555 ran in:  15.628464460372925
Exciton, frame 7556 ran in:  28.464037656784058
Exciton, frame 7557 ran in:  27.027690410614014
Exciton, frame 7558 ran in:  14.839624881744385
