cpu-bind=MASK - bp1-compute130, task 4294967295 4294967295 [0]: mask 0x3bfdff003bfdff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 58.239989 secs
Exciton, frame 4318 ran in:  12.380540370941162
Exciton, frame 4319 ran in:  12.53105354309082
Exciton, frame 4320 ran in:  12.705948114395142
Exciton, frame 4321 ran in:  12.732276439666748
Exciton, frame 4322 ran in:  12.72154188156128
Exciton, frame 4323 ran in:  13.081215143203735
Exciton, frame 4324 ran in:  12.604485273361206
Exciton, frame 4325 ran in:  12.59300947189331
Exciton, frame 4326 ran in:  12.680983781814575
Exciton, frame 4327 ran in:  12.757108688354492
Exciton, frame 4328 ran in:  12.714648008346558
Exciton, frame 4329 ran in:  12.878102779388428
Exciton, frame 4330 ran in:  12.720605611801147
Exciton, frame 4331 ran in:  12.707451105117798
Exciton, frame 4332 ran in:  12.75807499885559
Exciton, frame 4333 ran in:  12.582119226455688
Exciton, frame 4334 ran in:  12.779573202133179
Exciton, frame 4335 ran in:  12.302687883377075
Exciton, frame 4336 ran in:  12.451950073242188
Exciton, frame 4337 ran in:  12.103477716445923
Exciton, frame 4338 ran in:  12.716379642486572
Exciton, frame 4339 ran in:  12.836545705795288
Exciton, frame 4340 ran in:  13.156141519546509
Exciton, frame 4341 ran in:  12.537182092666626
Exciton, frame 4342 ran in:  12.17954969406128
Exciton, frame 4343 ran in:  12.675848007202148
Exciton, frame 4344 ran in:  12.709656715393066
Exciton, frame 4345 ran in:  12.968581914901733
Exciton, frame 4346 ran in:  12.776547908782959
Exciton, frame 4347 ran in:  12.242884397506714
Exciton, frame 4348 ran in:  12.541490077972412
Exciton, frame 4349 ran in:  12.594553709030151
Exciton, frame 4350 ran in:  12.418681383132935
Exciton, frame 4351 ran in:  12.665518283843994
Exciton, frame 4352 ran in:  13.635622024536133
Exciton, frame 4353 ran in:  12.733946084976196
Exciton, frame 4354 ran in:  12.550869226455688
Exciton, frame 4355 ran in:  12.39836311340332
Exciton, frame 4356 ran in:  12.617958545684814
Exciton, frame 4357 ran in:  12.513731002807617
Exciton, frame 4358 ran in:  13.199042081832886
Exciton, frame 4359 ran in:  12.733586072921753
Exciton, frame 4360 ran in:  12.867955923080444
Exciton, frame 4361 ran in:  13.11638069152832
Exciton, frame 4362 ran in:  12.70460844039917
Exciton, frame 4363 ran in:  12.510604858398438
Exciton, frame 4364 ran in:  13.807193994522095
Exciton, frame 4365 ran in:  12.929241418838501
Exciton, frame 4366 ran in:  12.881650924682617
Exciton, frame 4367 ran in:  12.876858711242676
Exciton, frame 4368 ran in:  12.439224481582642
Exciton, frame 4369 ran in:  12.227604866027832
Exciton, frame 4370 ran in:  12.615270137786865
Exciton, frame 4371 ran in:  12.560437440872192
Exciton, frame 4372 ran in:  13.055567502975464
Exciton, frame 4373 ran in:  13.025261163711548
Exciton, frame 4374 ran in:  12.344128370285034
Exciton, frame 4375 ran in:  12.70201063156128
Exciton, frame 4376 ran in:  12.657758474349976
Exciton, frame 4377 ran in:  12.473804712295532
Exciton, frame 4378 ran in:  12.745413064956665
Exciton, frame 4379 ran in:  12.543302536010742
Exciton, frame 4380 ran in:  12.41960620880127
Exciton, frame 4381 ran in:  12.660022020339966
Exciton, frame 4382 ran in:  12.47671890258789
Exciton, frame 4383 ran in:  12.414202690124512
Exciton, frame 4384 ran in:  12.559641122817993
Exciton, frame 4385 ran in:  12.984407663345337
Exciton, frame 4386 ran in:  13.354116439819336
Exciton, frame 4387 ran in:  12.783237218856812
Exciton, frame 4388 ran in:  12.503040075302124
Exciton, frame 4389 ran in:  13.008393287658691
Exciton, frame 4390 ran in:  12.744173526763916
Exciton, frame 4391 ran in:  12.868521928787231
Exciton, frame 4392 ran in:  13.209949731826782
Exciton, frame 4393 ran in:  12.518533945083618
Exciton, frame 4394 ran in:  12.774186134338379
Exciton, frame 4395 ran in:  12.709093570709229
Exciton, frame 4396 ran in:  12.537869215011597
Exciton, frame 4397 ran in:  12.725641012191772
Exciton, frame 4398 ran in:  12.896183252334595
Exciton, frame 4399 ran in:  12.550832033157349
Exciton, frame 4400 ran in:  12.89655327796936
Exciton, frame 4401 ran in:  12.745124340057373
Exciton, frame 4402 ran in:  13.908869981765747
Exciton, frame 4403 ran in:  13.118448734283447
Exciton, frame 4404 ran in:  12.620718479156494
Exciton, frame 4405 ran in:  12.681619882583618
