cpu-bind=MASK - bp1-compute132, task 4294967295 4294967295 [0]: mask 0xdbb6ddb0dbb6ddb set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 79.654321 secs
Exciton, frame 1404 ran in:  14.043275356292725
Exciton, frame 1405 ran in:  14.013698816299438
Exciton, frame 1406 ran in:  13.523208141326904
Exciton, frame 1407 ran in:  13.800787448883057
Exciton, frame 1408 ran in:  14.350467205047607
Exciton, frame 1409 ran in:  13.695604085922241
Exciton, frame 1410 ran in:  13.626482248306274
Exciton, frame 1411 ran in:  13.925407648086548
Exciton, frame 1412 ran in:  14.247766256332397
Exciton, frame 1413 ran in:  13.974794149398804
Exciton, frame 1414 ran in:  13.837990522384644
Exciton, frame 1415 ran in:  14.14790940284729
Exciton, frame 1416 ran in:  14.12911581993103
Exciton, frame 1417 ran in:  13.703197956085205
Exciton, frame 1418 ran in:  14.043591022491455
Exciton, frame 1419 ran in:  13.891780138015747
Exciton, frame 1420 ran in:  14.075880765914917
Exciton, frame 1421 ran in:  14.08910059928894
Exciton, frame 1422 ran in:  13.890480518341064
Exciton, frame 1423 ran in:  14.04557490348816
Exciton, frame 1424 ran in:  14.168199062347412
Exciton, frame 1425 ran in:  14.074787855148315
Exciton, frame 1426 ran in:  13.776687622070312
Exciton, frame 1427 ran in:  14.071341037750244
Exciton, frame 1428 ran in:  14.119876861572266
Exciton, frame 1429 ran in:  14.092638731002808
Exciton, frame 1430 ran in:  14.00204610824585
Exciton, frame 1431 ran in:  13.884337425231934
Exciton, frame 1432 ran in:  13.915358304977417
Exciton, frame 1433 ran in:  13.919094800949097
Exciton, frame 1434 ran in:  14.323349714279175
Exciton, frame 1435 ran in:  13.94994044303894
Exciton, frame 1436 ran in:  14.134264945983887
Exciton, frame 1437 ran in:  14.185198307037354
Exciton, frame 1438 ran in:  14.201043367385864
Exciton, frame 1439 ran in:  14.047961473464966
Exciton, frame 1440 ran in:  14.109297513961792
Exciton, frame 1441 ran in:  14.011863231658936
Exciton, frame 1442 ran in:  14.120722770690918
Exciton, frame 1443 ran in:  13.812210083007812
