#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
46.8%	234	-2871565.2086872123	300.3978483629715	0.0771
47.0%	235	-2870986.2086872123	300.22596900150285	0.0771
47.2%	236	-2871083.2086872123	300.08768947214304	0.0771
47.4%	237	-2871970.2086872123	300.3611627615215	0.0771
47.6%	238	-2872891.2086872123	300.757708011832	0.0771
47.8%	239	-2873203.2086872123	301.1233680068927	0.0771
48.0%	240	-2872391.2086872123	300.9498699964522	0.0771
48.2%	241	-2871213.2086872123	300.52975824928023	0.0771
48.4%	242	-2870576.2086872123	300.1548306305035	0.0771
48.6%	243	-2870699.2086872123	300.05296810497487	0.0771
48.8%	244	-2871531.2086872123	300.22833504341156	0.0771
49.0%	245	-2872085.2086872123	300.6288362461014	0.0771
49.2%	246	-2871827.2086872123	300.69318173065693	0.0771
49.4%	247	-2870981.2086872123	300.41158459540407	0.0771
49.6%	248	-2869510.2086872123	299.9613441300655	0.0771
49.8%	249	-2868330.2086872123	299.38499238810374	0.0771
50.0%	250	-2867732.936361961	299.0442410893366	0.0771
50.2%	251	-2867813.936361961	298.8536307846918	0.0771
50.4%	252	-2868723.936361961	299.1796662060939	0.0771
50.6%	253	-2869509.936361961	299.6285231177592	0.0771
50.8%	254	-2870264.936361961	299.8561591931974	0.0771
51.0%	255	-2870936.936361961	300.25089926587344	0.0771
51.2%	256	-2871043.936361961	300.3646478848307	0.0771
51.4%	257	-2871109.936361961	300.38050993417744	0.0771
51.6%	258	-2870925.936361961	300.33151633889497	0.0771
51.8%	259	-2870657.936361961	300.170847515912	0.0771
52.0%	260	-2870915.936361961	300.1650184325123	0.0771
52.2%	261	-2870830.936361961	300.2851575263629	0.0771
52.4%	262	-2870814.936361961	300.1539307588376	0.0771
52.6%	263	-2870771.936361961	300.23515350931973	0.0771
52.8%	264	-2870687.936361961	300.22615779009425	0.0771
53.0%	265	-2871010.936361961	300.2808121969206	0.0771
53.2%	266	-2870921.936361961	300.35431442116413	0.0771
53.4%	267	-2870210.936361961	300.20894004409416	0.0771
53.6%	268	-2869534.936361961	299.93187034328355	0.0771
53.8%	269	-2868829.936361961	299.6163812373718	0.0771
54.0%	270	-2869042.936361961	299.55173235142644	0.0771
54.2%	271	-2869832.936361961	299.815782142073	0.0771
54.4%	272	-2870779.936361961	300.1120685885012	0.0771
54.6%	273	-2871478.936361961	300.43918469071485	0.0771
54.8%	274	-2871317.936361961	300.6025790272776	0.0771
55.0%	275	-2870910.162237648	300.4238362906083	0.0771
55.2%	276	-2870670.162237648	300.2675747018559	0.0771
55.4%	277	-2870450.162237648	300.2386871201978	0.0771
55.6%	278	-2870311.162237648	300.24099376785347	0.0771
55.8%	279	-2870129.162237648	300.1707294422067	0.0771
56.0%	280	-2870314.162237648	300.19755280669233	0.0771
56.2%	281	-2871028.162237648	300.4500386064451	0.0771
56.4%	282	-2871472.162237648	300.73575624580565	0.0771
56.6%	283	-2871228.162237648	300.7433945159876	0.0771
56.8%	284	-2870519.162237648	300.42720514203927	0.0771
57.0%	285	-2870364.162237648	300.2732114657104	0.0771
57.2%	286	-2871052.162237648	300.31625677294306	0.077
57.4%	287	-2872046.162237648	300.7047640487456	0.077
57.6%	288	-2872493.162237648	300.99315183541097	0.0771
57.8%	289	-2872096.162237648	301.0951905643919	0.0771
58.0%	290	-2871234.162237648	300.80305896788764	0.0771
58.2%	291	-2870862.162237648	300.5311903061665	0.0771
58.4%	292	-2871073.162237648	300.5906502687086	0.0771
58.6%	293	-2871528.162237648	300.7488499313212	0.0771
58.8%	294	-2871192.162237648	300.85211305365345	0.077
59.0%	295	-2870296.162237648	300.59182460555724	0.0771
59.2%	296	-2869701.162237648	300.24311910794137	0.0771
