cpu-bind=MASK - bp1-compute117, task 4294967295 4294967295 [0]: mask 0x3f6fff3f6fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 31.458374 secs
Exciton, frame 3361 ran in:  11.761101961135864
Exciton, frame 3362 ran in:  11.456883668899536
Exciton, frame 3363 ran in:  11.731984615325928
Exciton, frame 3364 ran in:  11.539979696273804
Exciton, frame 3365 ran in:  11.803090333938599
Exciton, frame 3366 ran in:  11.631176471710205
Exciton, frame 3367 ran in:  11.800421953201294
Exciton, frame 3368 ran in:  11.91769552230835
Exciton, frame 3369 ran in:  12.016511917114258
Exciton, frame 3370 ran in:  12.16072964668274
Exciton, frame 3371 ran in:  11.836856365203857
Exciton, frame 3372 ran in:  11.903936386108398
Exciton, frame 3373 ran in:  11.77026629447937
Exciton, frame 3374 ran in:  11.768706560134888
Exciton, frame 3375 ran in:  11.823328256607056
Exciton, frame 3376 ran in:  11.838365077972412
Exciton, frame 3377 ran in:  11.595890998840332
Exciton, frame 3378 ran in:  11.757233142852783
Exciton, frame 3379 ran in:  12.476718664169312
Exciton, frame 3380 ran in:  11.771116733551025
Exciton, frame 3381 ran in:  12.216370344161987
Exciton, frame 3382 ran in:  11.995781183242798
Exciton, frame 3383 ran in:  11.790335655212402
Exciton, frame 3384 ran in:  11.325860738754272
Exciton, frame 3385 ran in:  12.219916820526123
Exciton, frame 3386 ran in:  11.90841269493103
Exciton, frame 3387 ran in:  11.969601392745972
Exciton, frame 3388 ran in:  11.879170894622803
Exciton, frame 3389 ran in:  11.727975845336914
Exciton, frame 3390 ran in:  11.85579514503479
Exciton, frame 3391 ran in:  11.730216264724731
Exciton, frame 3392 ran in:  11.60406231880188
Exciton, frame 3393 ran in:  11.418440103530884
Exciton, frame 3394 ran in:  11.842471599578857
Exciton, frame 3395 ran in:  11.920633316040039
Exciton, frame 3396 ran in:  11.92487382888794
Exciton, frame 3397 ran in:  12.509782791137695
Exciton, frame 3398 ran in:  12.065155982971191
Exciton, frame 3399 ran in:  12.051666975021362
Exciton, frame 3400 ran in:  12.025479078292847
Exciton, frame 3401 ran in:  11.609275341033936
Exciton, frame 3402 ran in:  11.924270391464233
Exciton, frame 3403 ran in:  11.665401935577393
Exciton, frame 3404 ran in:  11.712017297744751
Exciton, frame 3405 ran in:  11.776577711105347
Exciton, frame 3406 ran in:  11.949225902557373
Exciton, frame 3407 ran in:  12.016372919082642
Exciton, frame 3408 ran in:  12.043780088424683
Exciton, frame 3409 ran in:  11.929559707641602
Exciton, frame 3410 ran in:  12.058417320251465
Exciton, frame 3411 ran in:  12.158645629882812
Exciton, frame 3412 ran in:  12.128763437271118
Exciton, frame 3413 ran in:  11.85907244682312
Exciton, frame 3414 ran in:  12.059285879135132
Exciton, frame 3415 ran in:  11.744248628616333
Exciton, frame 3416 ran in:  11.69057559967041
Exciton, frame 3417 ran in:  11.674196243286133
Exciton, frame 3418 ran in:  11.725136041641235
Exciton, frame 3419 ran in:  11.916637182235718
Exciton, frame 3420 ran in:  11.74678373336792
Exciton, frame 3421 ran in:  11.90810775756836
Exciton, frame 3422 ran in:  11.692638158798218
Exciton, frame 3423 ran in:  11.864760160446167
Exciton, frame 3424 ran in:  11.73103404045105
Exciton, frame 3425 ran in:  11.649000406265259
Exciton, frame 3426 ran in:  11.501680135726929
Exciton, frame 3427 ran in:  11.55241346359253
Exciton, frame 3428 ran in:  12.092254400253296
Exciton, frame 3429 ran in:  11.842023134231567
Exciton, frame 3430 ran in:  11.744516611099243
Exciton, frame 3431 ran in:  12.110284805297852
Exciton, frame 3432 ran in:  11.815172910690308
Exciton, frame 3433 ran in:  11.693608283996582
Exciton, frame 3434 ran in:  11.613401174545288
Exciton, frame 3435 ran in:  11.814387559890747
Exciton, frame 3436 ran in:  11.456645727157593
Exciton, frame 3437 ran in:  11.855373620986938
Exciton, frame 3438 ran in:  12.01609754562378
Exciton, frame 3439 ran in:  11.611318111419678
Exciton, frame 3440 ran in:  12.109135866165161
Exciton, frame 3441 ran in:  12.277548551559448
Exciton, frame 3442 ran in:  12.201255559921265
Exciton, frame 3443 ran in:  11.439794301986694
Exciton, frame 3444 ran in:  11.994428396224976
Exciton, frame 3445 ran in:  11.87699294090271
Exciton, frame 3446 ran in:  11.728168487548828
Exciton, frame 3447 ran in:  11.868112802505493
Exciton, frame 3448 ran in:  11.834919691085815
Exciton, frame 3449 ran in:  11.611019611358643
Exciton, frame 3450 ran in:  11.658085107803345
Exciton, frame 3451 ran in:  12.296679973602295
Exciton, frame 3452 ran in:  11.78326678276062
Exciton, frame 3453 ran in:  11.74432373046875
Exciton, frame 3454 ran in:  11.558869123458862
Exciton, frame 3455 ran in:  11.825727462768555
Exciton, frame 3456 ran in:  11.655957698822021
Exciton, frame 3457 ran in:  11.702134609222412
Exciton, frame 3458 ran in:  11.617456436157227
Exciton, frame 3459 ran in:  11.799759864807129
Exciton, frame 3460 ran in:  11.733049631118774
Exciton, frame 3461 ran in:  11.720163583755493
Exciton, frame 3462 ran in:  11.920142412185669
Exciton, frame 3463 ran in:  11.62769103050232
Exciton, frame 3464 ran in:  11.740720748901367
Exciton, frame 3465 ran in:  11.97415041923523
Exciton, frame 3466 ran in:  11.736261129379272
Exciton, frame 3467 ran in:  11.64844012260437
Exciton, frame 3468 ran in:  12.171835899353027
Exciton, frame 3469 ran in:  11.467519998550415
Exciton, frame 3470 ran in:  11.80388331413269
Exciton, frame 3471 ran in:  11.784772634506226
Exciton, frame 3472 ran in:  11.65299105644226
Exciton, frame 3473 ran in:  12.217731952667236
Exciton, frame 3474 ran in:  11.705419540405273
Exciton, frame 3475 ran in:  11.804262399673462
Exciton, frame 3476 ran in:  11.796582698822021
Exciton, frame 3477 ran in:  11.700682640075684
Exciton, frame 3478 ran in:  11.93958568572998
Exciton, frame 3479 ran in:  11.912229776382446
Exciton, frame 3480 ran in:  12.087950468063354
Exciton, frame 3481 ran in:  11.830199241638184
Exciton, frame 3482 ran in:  11.860023975372314
Exciton, frame 3483 ran in:  11.569771528244019
Exciton, frame 3484 ran in:  11.637502431869507
Exciton, frame 3485 ran in:  11.965505599975586
Exciton, frame 3486 ran in:  11.793623447418213
Exciton, frame 3487 ran in:  11.649517059326172
Exciton, frame 3488 ran in:  11.626991510391235
Exciton, frame 3489 ran in:  12.053465843200684
Exciton, frame 3490 ran in:  11.56028699874878
Exciton, frame 3491 ran in:  11.847657203674316
Exciton, frame 3492 ran in:  12.056519985198975
Exciton, frame 3493 ran in:  12.023638248443604
Exciton, frame 3494 ran in:  11.782183170318604
Exciton, frame 3495 ran in:  11.628337860107422
Exciton, frame 3496 ran in:  11.945458173751831
Exciton, frame 3497 ran in:  12.009697914123535
Exciton, frame 3498 ran in:  11.635934591293335
Exciton, frame 3499 ran in:  11.73201060295105
Exciton, frame 3500 ran in:  11.637203454971313
Exciton, frame 3501 ran in:  11.98944878578186
Exciton, frame 3502 ran in:  12.031517744064331
Exciton, frame 3503 ran in:  11.949033260345459
Exciton, frame 3504 ran in:  12.073848247528076
Exciton, frame 3505 ran in:  11.7854745388031
Exciton, frame 3506 ran in:  11.873335599899292
Exciton, frame 3507 ran in:  11.860132932662964
Exciton, frame 3508 ran in:  11.891016006469727
Exciton, frame 3509 ran in:  11.801739931106567
Exciton, frame 3510 ran in:  11.603289127349854
Exciton, frame 3511 ran in:  12.027833461761475
Exciton, frame 3512 ran in:  11.737585067749023
Exciton, frame 3513 ran in:  11.80952763557434
Exciton, frame 3514 ran in:  12.233165502548218
Exciton, frame 3515 ran in:  11.742045879364014
Exciton, frame 3516 ran in:  11.727518081665039
Exciton, frame 3517 ran in:  11.912503957748413
Exciton, frame 3518 ran in:  11.925362348556519
Exciton, frame 3519 ran in:  11.834350347518921
Exciton, frame 3520 ran in:  11.708351850509644
Exciton, frame 3521 ran in:  11.766990423202515
Exciton, frame 3522 ran in:  12.037330150604248
Exciton, frame 3523 ran in:  11.702329874038696
Exciton, frame 3524 ran in:  11.784430265426636
