cpu-bind=MASK - bp1-compute068, task 4294967295 4294967295 [0]: mask 0xfffff0fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 38.513663 secs
Exciton, frame 1449 ran in:  11.855875492095947
Exciton, frame 1450 ran in:  11.966423511505127
Exciton, frame 1451 ran in:  12.300506353378296
Exciton, frame 1452 ran in:  12.6675283908844
Exciton, frame 1453 ran in:  12.041438341140747
Exciton, frame 1454 ran in:  12.33495044708252
Exciton, frame 1455 ran in:  12.08078932762146
Exciton, frame 1456 ran in:  12.06087613105774
Exciton, frame 1457 ran in:  11.847749710083008
Exciton, frame 1458 ran in:  11.943554639816284
Exciton, frame 1459 ran in:  12.67696762084961
Exciton, frame 1460 ran in:  12.44726276397705
Exciton, frame 1461 ran in:  12.369078636169434
Exciton, frame 1462 ran in:  11.921962976455688
Exciton, frame 1463 ran in:  12.22027039527893
Exciton, frame 1464 ran in:  12.157724380493164
Exciton, frame 1465 ran in:  12.155178308486938
Exciton, frame 1466 ran in:  12.462308883666992
Exciton, frame 1467 ran in:  11.981782913208008
Exciton, frame 1468 ran in:  12.092753171920776
Exciton, frame 1469 ran in:  12.752295970916748
Exciton, frame 1470 ran in:  12.64796257019043
Exciton, frame 1471 ran in:  11.78619647026062
Exciton, frame 1472 ran in:  12.059266567230225
Exciton, frame 1473 ran in:  12.275792837142944
Exciton, frame 1474 ran in:  12.013062238693237
Exciton, frame 1475 ran in:  12.389620542526245
Exciton, frame 1476 ran in:  11.86381983757019
Exciton, frame 1477 ran in:  12.274731397628784
Exciton, frame 1478 ran in:  12.179651737213135
Exciton, frame 1479 ran in:  12.175364017486572
Exciton, frame 1480 ran in:  12.243268966674805
Exciton, frame 1481 ran in:  11.674630641937256
Exciton, frame 1482 ran in:  11.828056573867798
Exciton, frame 1483 ran in:  11.957982063293457
Exciton, frame 1484 ran in:  12.792858839035034
Exciton, frame 1485 ran in:  12.102593660354614
Exciton, frame 1486 ran in:  12.610750198364258
Exciton, frame 1487 ran in:  12.23435091972351
Exciton, frame 1488 ran in:  12.223994970321655
Exciton, frame 1489 ran in:  12.235213041305542
Exciton, frame 1490 ran in:  12.393691539764404
Exciton, frame 1491 ran in:  12.008350133895874
Exciton, frame 1492 ran in:  11.929620742797852
Exciton, frame 1493 ran in:  12.371448278427124
Exciton, frame 1494 ran in:  13.083653688430786
Exciton, frame 1495 ran in:  12.014139175415039
Exciton, frame 1496 ran in:  12.3031325340271
Exciton, frame 1497 ran in:  12.6043062210083
Exciton, frame 1498 ran in:  12.741172790527344
Exciton, frame 1499 ran in:  11.74500322341919
Exciton, frame 1500 ran in:  11.917009592056274
Exciton, frame 1501 ran in:  12.936683654785156
Exciton, frame 1502 ran in:  12.009345054626465
Exciton, frame 1503 ran in:  11.91063904762268
Exciton, frame 1504 ran in:  12.219150066375732
Exciton, frame 1505 ran in:  12.228795289993286
Exciton, frame 1506 ran in:  11.879167318344116
Exciton, frame 1507 ran in:  12.06909441947937
Exciton, frame 1508 ran in:  12.269675493240356
Exciton, frame 1509 ran in:  12.349965810775757
Exciton, frame 1510 ran in:  11.991901636123657
Exciton, frame 1511 ran in:  12.126109600067139
Exciton, frame 1512 ran in:  12.067595958709717
Exciton, frame 1513 ran in:  12.263133525848389
Exciton, frame 1514 ran in:  12.55438756942749
Exciton, frame 1515 ran in:  12.092175722122192
Exciton, frame 1516 ran in:  11.931451320648193
Exciton, frame 1517 ran in:  12.168428897857666
Exciton, frame 1518 ran in:  12.47500991821289
Exciton, frame 1519 ran in:  12.174978733062744
Exciton, frame 1520 ran in:  12.29724669456482
Exciton, frame 1521 ran in:  12.402544736862183
Exciton, frame 1522 ran in:  11.991726636886597
Exciton, frame 1523 ran in:  12.008471012115479
Exciton, frame 1524 ran in:  12.201918363571167
Exciton, frame 1525 ran in:  11.997838497161865
Exciton, frame 1526 ran in:  12.111087083816528
Exciton, frame 1527 ran in:  12.663520097732544
Exciton, frame 1528 ran in:  11.848434209823608
Exciton, frame 1529 ran in:  12.21051549911499
Exciton, frame 1530 ran in:  12.12934398651123
Exciton, frame 1531 ran in:  11.91741156578064
