cpu-bind=MASK - bp1-compute130, task 4294967295 4294967295 [0]: mask 0x3bfdff003bfdff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 43.442608 secs
Exciton, frame 8488 ran in:  12.483490943908691
Exciton, frame 8489 ran in:  12.744741439819336
Exciton, frame 8490 ran in:  13.469712257385254
Exciton, frame 8491 ran in:  13.293333530426025
Exciton, frame 8492 ran in:  12.808135986328125
Exciton, frame 8493 ran in:  12.554121255874634
Exciton, frame 8494 ran in:  12.738275527954102
Exciton, frame 8495 ran in:  13.420685052871704
Exciton, frame 8496 ran in:  12.85851263999939
Exciton, frame 8497 ran in:  13.291826725006104
Exciton, frame 8498 ran in:  13.79206371307373
Exciton, frame 8499 ran in:  12.397728204727173
Exciton, frame 8500 ran in:  12.795544862747192
Exciton, frame 8501 ran in:  12.615402460098267
Exciton, frame 8502 ran in:  12.496132612228394
Exciton, frame 8503 ran in:  12.980380058288574
Exciton, frame 8504 ran in:  13.014214754104614
Exciton, frame 8505 ran in:  12.718056440353394
Exciton, frame 8506 ran in:  15.397269010543823
Exciton, frame 8507 ran in:  12.858669996261597
Exciton, frame 8508 ran in:  12.858648538589478
Exciton, frame 8509 ran in:  12.55310845375061
Exciton, frame 8510 ran in:  14.008829832077026
Exciton, frame 8511 ran in:  12.775119304656982
Exciton, frame 8512 ran in:  12.881872177124023
Exciton, frame 8513 ran in:  14.522353172302246
Exciton, frame 8514 ran in:  12.859710216522217
Exciton, frame 8515 ran in:  12.700641393661499
Exciton, frame 8516 ran in:  12.86820101737976
Exciton, frame 8517 ran in:  12.68567180633545
Exciton, frame 8518 ran in:  12.877028226852417
Exciton, frame 8519 ran in:  12.837366580963135
Exciton, frame 8520 ran in:  12.792902946472168
Exciton, frame 8521 ran in:  12.699527263641357
Exciton, frame 8522 ran in:  12.79661250114441
Exciton, frame 8523 ran in:  12.93109941482544
Exciton, frame 8524 ran in:  12.669504165649414
Exciton, frame 8525 ran in:  12.640155792236328
Exciton, frame 8526 ran in:  12.910358905792236
Exciton, frame 8527 ran in:  12.367063283920288
Exciton, frame 8528 ran in:  12.702929973602295
Exciton, frame 8529 ran in:  12.623014688491821
Exciton, frame 8530 ran in:  12.528385639190674
Exciton, frame 8531 ran in:  12.941102981567383
Exciton, frame 8532 ran in:  13.640485763549805
Exciton, frame 8533 ran in:  12.762957334518433
Exciton, frame 8534 ran in:  12.689844369888306
Exciton, frame 8535 ran in:  12.640660762786865
Exciton, frame 8536 ran in:  12.94736647605896
Exciton, frame 8537 ran in:  12.845154523849487
Exciton, frame 8538 ran in:  13.406203746795654
Exciton, frame 8539 ran in:  12.606902122497559
Exciton, frame 8540 ran in:  12.562925338745117
Exciton, frame 8541 ran in:  13.145087718963623
Exciton, frame 8542 ran in:  12.702356815338135
Exciton, frame 8543 ran in:  13.22463321685791
Exciton, frame 8544 ran in:  12.681390285491943
Exciton, frame 8545 ran in:  13.097826957702637
Exciton, frame 8546 ran in:  12.921028852462769
Exciton, frame 8547 ran in:  12.535025119781494
Exciton, frame 8548 ran in:  13.649071455001831
Exciton, frame 8549 ran in:  12.11797046661377
Exciton, frame 8550 ran in:  12.895451307296753
Exciton, frame 8551 ran in:  12.795682668685913
Exciton, frame 8552 ran in:  12.39129090309143
Exciton, frame 8553 ran in:  12.67867636680603
Exciton, frame 8554 ran in:  13.101216554641724
Exciton, frame 8555 ran in:  12.722360849380493
Exciton, frame 8556 ran in:  12.667350053787231
Exciton, frame 8557 ran in:  12.937270164489746
Exciton, frame 8558 ran in:  12.5791654586792
Exciton, frame 8559 ran in:  12.676425695419312
Exciton, frame 8560 ran in:  13.158169031143188
Exciton, frame 8561 ran in:  12.843940258026123
Exciton, frame 8562 ran in:  12.573142528533936
Exciton, frame 8563 ran in:  12.816393375396729
Exciton, frame 8564 ran in:  12.639032363891602
Exciton, frame 8565 ran in:  12.781516551971436
