cpu-bind=MASK - bp1-compute164, task 4294967295 4294967295 [0]: mask 0xd6dba6b6d6dba6b6 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 84.837916 secs
Exciton, frame 400 ran in:  13.728532314300537
Exciton, frame 401 ran in:  13.890298128128052
Exciton, frame 402 ran in:  13.70651125907898
Exciton, frame 403 ran in:  13.813247442245483
Exciton, frame 404 ran in:  13.658314943313599
Exciton, frame 405 ran in:  13.479437351226807
Exciton, frame 406 ran in:  13.770992994308472
Exciton, frame 407 ran in:  13.93558931350708
Exciton, frame 408 ran in:  13.745823383331299
Exciton, frame 409 ran in:  13.534490823745728
Exciton, frame 410 ran in:  13.66225814819336
Exciton, frame 411 ran in:  13.97017216682434
Exciton, frame 412 ran in:  14.093119144439697
Exciton, frame 413 ran in:  13.500284671783447
Exciton, frame 414 ran in:  13.493627071380615
Exciton, frame 415 ran in:  13.788256883621216
Exciton, frame 416 ran in:  13.537060260772705
Exciton, frame 417 ran in:  13.99141550064087
Exciton, frame 418 ran in:  13.71587324142456
Exciton, frame 419 ran in:  14.100742101669312
Exciton, frame 420 ran in:  14.013175964355469
Exciton, frame 421 ran in:  14.016226530075073
Exciton, frame 422 ran in:  13.872061252593994
Exciton, frame 423 ran in:  13.705459356307983
Exciton, frame 424 ran in:  13.818118572235107
Exciton, frame 425 ran in:  13.882961988449097
Exciton, frame 426 ran in:  13.446777820587158
Exciton, frame 427 ran in:  14.038655996322632
Exciton, frame 428 ran in:  13.739647626876831
Exciton, frame 429 ran in:  14.003509998321533
Exciton, frame 430 ran in:  13.815414667129517
Exciton, frame 431 ran in:  13.662640810012817
Exciton, frame 432 ran in:  13.818042039871216
Exciton, frame 433 ran in:  13.935070514678955
Exciton, frame 434 ran in:  13.805759906768799
Exciton, frame 435 ran in:  13.6161208152771
Exciton, frame 436 ran in:  13.68232798576355
Exciton, frame 437 ran in:  13.591642379760742
Exciton, frame 438 ran in:  13.446016550064087
Exciton, frame 439 ran in:  14.00388240814209
Exciton, frame 440 ran in:  13.881303071975708
Exciton, frame 441 ran in:  13.713409423828125
Exciton, frame 442 ran in:  13.906951427459717
Exciton, frame 443 ran in:  13.887706756591797
Exciton, frame 444 ran in:  13.658829927444458
Exciton, frame 445 ran in:  13.714008808135986
Exciton, frame 446 ran in:  14.09236216545105
Exciton, frame 447 ran in:  13.828143119812012
Exciton, frame 448 ran in:  13.866057634353638
Exciton, frame 449 ran in:  13.642473220825195
Exciton, frame 450 ran in:  14.146038055419922
Exciton, frame 451 ran in:  13.696223497390747
Exciton, frame 452 ran in:  13.831889867782593
Exciton, frame 453 ran in:  13.708245515823364
Exciton, frame 454 ran in:  13.752046823501587
Exciton, frame 455 ran in:  13.928056240081787
Exciton, frame 456 ran in:  13.780383348464966
Exciton, frame 457 ran in:  13.764451265335083
Exciton, frame 458 ran in:  13.710253953933716
Exciton, frame 459 ran in:  13.744117021560669
Exciton, frame 460 ran in:  13.663999557495117
Exciton, frame 461 ran in:  13.676082611083984
Exciton, frame 462 ran in:  13.862561464309692
Exciton, frame 463 ran in:  13.713266134262085
Exciton, frame 464 ran in:  13.889203310012817
Exciton, frame 465 ran in:  14.008433103561401
Exciton, frame 466 ran in:  13.899930715560913
Exciton, frame 467 ran in:  13.618673324584961
Exciton, frame 468 ran in:  13.775423288345337
Exciton, frame 469 ran in:  13.677000045776367
Exciton, frame 470 ran in:  13.798128604888916
Exciton, frame 471 ran in:  13.53401231765747
Exciton, frame 472 ran in:  13.839277029037476
Exciton, frame 473 ran in:  13.46009373664856
Exciton, frame 474 ran in:  13.91190767288208
Exciton, frame 475 ran in:  13.654542446136475
Exciton, frame 476 ran in:  13.766784429550171
Exciton, frame 477 ran in:  13.695625305175781
Exciton, frame 478 ran in:  13.70933747291565
Exciton, frame 479 ran in:  13.69901418685913
Exciton, frame 480 ran in:  13.886356353759766
Exciton, frame 481 ran in:  13.707210063934326
Exciton, frame 482 ran in:  13.985845565795898
Exciton, frame 483 ran in:  13.848248958587646
Exciton, frame 484 ran in:  13.467990398406982
Exciton, frame 485 ran in:  13.70954442024231
Exciton, frame 486 ran in:  13.973774433135986
Exciton, frame 487 ran in:  13.665569305419922
Exciton, frame 488 ran in:  13.455169916152954
Exciton, frame 489 ran in:  13.851082801818848
Exciton, frame 490 ran in:  13.89366340637207
Exciton, frame 491 ran in:  13.642788887023926
Exciton, frame 492 ran in:  14.005876541137695
Exciton, frame 493 ran in:  13.852591514587402
Exciton, frame 494 ran in:  13.869241952896118
Exciton, frame 495 ran in:  13.803839683532715
