cpu-bind=MASK - bp1-compute157, task 4294967295 4294967295 [0]: mask 0x1fbf6dd01fbf6dd set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 21.669063 secs
Exciton, frame 4480 ran in:  14.082182168960571
Exciton, frame 4481 ran in:  13.709087133407593
Exciton, frame 4482 ran in:  14.066545248031616
Exciton, frame 4483 ran in:  14.06286883354187
Exciton, frame 4484 ran in:  13.748115301132202
Exciton, frame 4485 ran in:  13.958729982376099
Exciton, frame 4486 ran in:  13.594960927963257
Exciton, frame 4487 ran in:  13.523494720458984
Exciton, frame 4488 ran in:  14.035851240158081
Exciton, frame 4489 ran in:  13.852942943572998
Exciton, frame 4490 ran in:  13.99097466468811
Exciton, frame 4491 ran in:  13.38691234588623
Exciton, frame 4492 ran in:  13.92335033416748
Exciton, frame 4493 ran in:  13.976168632507324
Exciton, frame 4494 ran in:  13.563331127166748
Exciton, frame 4495 ran in:  13.733151197433472
Exciton, frame 4496 ran in:  13.940123319625854
Exciton, frame 4497 ran in:  13.967098236083984
Exciton, frame 4498 ran in:  13.417751550674438
Exciton, frame 4499 ran in:  13.468070030212402
Exciton, frame 4500 ran in:  13.997379779815674
Exciton, frame 4501 ran in:  14.000129699707031
Exciton, frame 4502 ran in:  13.756725072860718
Exciton, frame 4503 ran in:  14.07542872428894
Exciton, frame 4504 ran in:  13.437392950057983
Exciton, frame 4505 ran in:  13.699743270874023
Exciton, frame 4506 ran in:  13.9351224899292
Exciton, frame 4507 ran in:  14.00783634185791
Exciton, frame 4508 ran in:  13.876074314117432
Exciton, frame 4509 ran in:  14.225303173065186
Exciton, frame 4510 ran in:  13.91719913482666
Exciton, frame 4511 ran in:  14.048852443695068
Exciton, frame 4512 ran in:  13.864399671554565
Exciton, frame 4513 ran in:  13.820968866348267
Exciton, frame 4514 ran in:  13.692713022232056
Exciton, frame 4515 ran in:  14.077749013900757
Exciton, frame 4516 ran in:  14.02881646156311
Exciton, frame 4517 ran in:  13.843861818313599
Exciton, frame 4518 ran in:  13.645097732543945
Exciton, frame 4519 ran in:  13.907617330551147
Exciton, frame 4520 ran in:  13.402493715286255
Exciton, frame 4521 ran in:  13.905070304870605
Exciton, frame 4522 ran in:  14.000975608825684
Exciton, frame 4523 ran in:  13.607291460037231
Exciton, frame 4524 ran in:  13.901596069335938
Exciton, frame 4525 ran in:  13.98418140411377
Exciton, frame 4526 ran in:  14.129897356033325
Exciton, frame 4527 ran in:  13.9275062084198
Exciton, frame 4528 ran in:  14.017733812332153
Exciton, frame 4529 ran in:  13.766929626464844
Exciton, frame 4530 ran in:  13.912522792816162
Exciton, frame 4531 ran in:  13.887073278427124
Exciton, frame 4532 ran in:  13.782351016998291
Exciton, frame 4533 ran in:  13.526941299438477
Exciton, frame 4534 ran in:  13.64478325843811
Exciton, frame 4535 ran in:  13.841595649719238
