cpu-bind=MASK - bp1-compute129, task 4294967295 4294967295 [0]: mask 0x7ffbbb007ffbbb set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 75.113663 secs
Exciton, frame 3454 ran in:  13.42824101448059
Exciton, frame 3455 ran in:  14.001478672027588
Exciton, frame 3456 ran in:  14.004157304763794
Exciton, frame 3457 ran in:  13.620903968811035
Exciton, frame 3458 ran in:  13.471631526947021
Exciton, frame 3459 ran in:  13.840153217315674
Exciton, frame 3460 ran in:  12.999800205230713
Exciton, frame 3461 ran in:  13.835831880569458
Exciton, frame 3462 ran in:  13.951477766036987
Exciton, frame 3463 ran in:  13.907410860061646
Exciton, frame 3464 ran in:  13.63990068435669
Exciton, frame 3465 ran in:  13.566296339035034
Exciton, frame 3466 ran in:  13.610351324081421
Exciton, frame 3467 ran in:  13.682446956634521
Exciton, frame 3468 ran in:  13.397170782089233
Exciton, frame 3469 ran in:  13.641451358795166
Exciton, frame 3470 ran in:  13.574516534805298
Exciton, frame 3471 ran in:  13.934858322143555
Exciton, frame 3472 ran in:  13.828807353973389
Exciton, frame 3473 ran in:  13.732006311416626
Exciton, frame 3474 ran in:  13.754901885986328
Exciton, frame 3475 ran in:  13.507037878036499
Exciton, frame 3476 ran in:  13.627049446105957
Exciton, frame 3477 ran in:  13.94419813156128
Exciton, frame 3478 ran in:  13.24133586883545
Exciton, frame 3479 ran in:  13.608041763305664
Exciton, frame 3480 ran in:  13.632259368896484
Exciton, frame 3481 ran in:  14.064611196517944
Exciton, frame 3482 ran in:  13.901415586471558
Exciton, frame 3483 ran in:  14.07584810256958
Exciton, frame 3484 ran in:  13.548398733139038
Exciton, frame 3485 ran in:  13.905833721160889
Exciton, frame 3486 ran in:  13.389011144638062
Exciton, frame 3487 ran in:  13.460511207580566
Exciton, frame 3488 ran in:  13.411188840866089
Exciton, frame 3489 ran in:  13.362896203994751
Exciton, frame 3490 ran in:  13.637230634689331
Exciton, frame 3491 ran in:  13.64061427116394
Exciton, frame 3492 ran in:  13.55242133140564
Exciton, frame 3493 ran in:  13.546348810195923
Exciton, frame 3494 ran in:  12.88392424583435
Exciton, frame 3495 ran in:  13.141501188278198
Exciton, frame 3496 ran in:  13.507203578948975
Exciton, frame 3497 ran in:  13.24793291091919
Exciton, frame 3498 ran in:  13.904422998428345
Exciton, frame 3499 ran in:  13.386335134506226
Exciton, frame 3500 ran in:  13.235993146896362
Exciton, frame 3501 ran in:  13.483577489852905
Exciton, frame 3502 ran in:  13.61370587348938
Exciton, frame 3503 ran in:  13.791813373565674
Exciton, frame 3504 ran in:  13.509668350219727
Exciton, frame 3505 ran in:  13.741672992706299
Exciton, frame 3506 ran in:  13.837241888046265
Exciton, frame 3507 ran in:  13.806770324707031
Exciton, frame 3508 ran in:  13.771248579025269
Exciton, frame 3509 ran in:  13.57839298248291
Exciton, frame 3510 ran in:  13.649377346038818
Exciton, frame 3511 ran in:  13.84530234336853
Exciton, frame 3512 ran in:  13.80982494354248
Exciton, frame 3513 ran in:  13.607221126556396
Exciton, frame 3514 ran in:  13.730361700057983
Exciton, frame 3515 ran in:  13.25112009048462
Exciton, frame 3516 ran in:  13.728927373886108
Exciton, frame 3517 ran in:  13.453388452529907
Exciton, frame 3518 ran in:  13.526966333389282
Exciton, frame 3519 ran in:  13.432344436645508
Exciton, frame 3520 ran in:  13.599521160125732
