cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0xfffff000000000000000000000000000fffff000000000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 46.143145 secs
Exciton, frame 6443 ran in:  21.647982597351074
Exciton, frame 6444 ran in:  18.888471364974976
Exciton, frame 6445 ran in:  18.563677072525024
Exciton, frame 6446 ran in:  18.987024068832397
Exciton, frame 6447 ran in:  23.52250838279724
Exciton, frame 6448 ran in:  20.704216718673706
Exciton, frame 6449 ran in:  20.28841257095337
Exciton, frame 6450 ran in:  17.172051906585693
Exciton, frame 6451 ran in:  22.545166492462158
Exciton, frame 6452 ran in:  22.609111309051514
Exciton, frame 6453 ran in:  17.05038356781006
Exciton, frame 6454 ran in:  22.917973279953003
Exciton, frame 6455 ran in:  23.04825472831726
Exciton, frame 6456 ran in:  21.470756769180298
Exciton, frame 6457 ran in:  21.73867893218994
Exciton, frame 6458 ran in:  22.496978998184204
Exciton, frame 6459 ran in:  19.221632957458496
Exciton, frame 6460 ran in:  20.57776641845703
Exciton, frame 6461 ran in:  22.61100745201111
Exciton, frame 6462 ran in:  21.686389923095703
Exciton, frame 6463 ran in:  21.762904167175293
Exciton, frame 6464 ran in:  20.98490858078003
Exciton, frame 6465 ran in:  21.889167308807373
Exciton, frame 6466 ran in:  18.994123458862305
Exciton, frame 6467 ran in:  19.10643482208252
Exciton, frame 6468 ran in:  22.29421305656433
Exciton, frame 6469 ran in:  19.574795246124268
Exciton, frame 6470 ran in:  21.677542209625244
Exciton, frame 6471 ran in:  21.98607850074768
Exciton, frame 6472 ran in:  22.504897832870483
Exciton, frame 6473 ran in:  22.994385719299316
Exciton, frame 6474 ran in:  21.862389087677002
Exciton, frame 6475 ran in:  22.267712593078613
Exciton, frame 6476 ran in:  21.307356357574463
Exciton, frame 6477 ran in:  17.34665274620056
Exciton, frame 6478 ran in:  22.767465591430664
Exciton, frame 6479 ran in:  21.97754406929016
Exciton, frame 6480 ran in:  21.639706134796143
Exciton, frame 6481 ran in:  21.614110231399536
Exciton, frame 6482 ran in:  21.962955713272095
Exciton, frame 6483 ran in:  23.09133553504944
Exciton, frame 6484 ran in:  17.050595998764038
Exciton, frame 6485 ran in:  18.10462784767151
Exciton, frame 6486 ran in:  20.776954412460327
Exciton, frame 6487 ran in:  21.85188937187195
Exciton, frame 6488 ran in:  17.08996081352234
Exciton, frame 6489 ran in:  16.90170168876648
Exciton, frame 6490 ran in:  22.348237991333008
Exciton, frame 6491 ran in:  21.95887017250061
Exciton, frame 6492 ran in:  22.094228506088257
Exciton, frame 6493 ran in:  19.896479845046997
Exciton, frame 6494 ran in:  21.571980476379395
Exciton, frame 6495 ran in:  22.095070123672485
Exciton, frame 6496 ran in:  21.602344274520874
Exciton, frame 6497 ran in:  22.70990228652954
