cpu-bind=MASK - bp1-compute158, task 4294967295 4294967295 [0]: mask 0x7f0f8e8f7f0f8e8f set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 22.897210 secs
Exciton, frame 18245 ran in:  14.260444164276123
Exciton, frame 18246 ran in:  14.317863702774048
Exciton, frame 18247 ran in:  14.244055032730103
Exciton, frame 18248 ran in:  14.487366676330566
Exciton, frame 18249 ran in:  14.584500312805176
Exciton, frame 18250 ran in:  14.181034564971924
Exciton, frame 18251 ran in:  14.426321744918823
Exciton, frame 18252 ran in:  14.21531629562378
Exciton, frame 18253 ran in:  14.156390190124512
Exciton, frame 18254 ran in:  14.174004793167114
Exciton, frame 18255 ran in:  14.544610261917114
Exciton, frame 18256 ran in:  14.640965700149536
Exciton, frame 18257 ran in:  14.248993873596191
Exciton, frame 18258 ran in:  14.224202871322632
Exciton, frame 18259 ran in:  14.166969537734985
Exciton, frame 18260 ran in:  14.359599351882935
Exciton, frame 18261 ran in:  14.449284791946411
Exciton, frame 18262 ran in:  14.174946308135986
Exciton, frame 18263 ran in:  14.106837511062622
Exciton, frame 18264 ran in:  14.259668827056885
Exciton, frame 18265 ran in:  14.489322185516357
Exciton, frame 18266 ran in:  14.296706676483154
Exciton, frame 18267 ran in:  14.330538511276245
Exciton, frame 18268 ran in:  14.081443786621094
Exciton, frame 18269 ran in:  14.28236985206604
Exciton, frame 18270 ran in:  14.135436058044434
Exciton, frame 18271 ran in:  14.403375148773193
Exciton, frame 18272 ran in:  14.30189824104309
Exciton, frame 18273 ran in:  14.093512058258057
Exciton, frame 18274 ran in:  14.314537286758423
Exciton, frame 18275 ran in:  14.549992561340332
Exciton, frame 18276 ran in:  14.09799575805664
Exciton, frame 18277 ran in:  14.54311227798462
Exciton, frame 18278 ran in:  14.105504274368286
Exciton, frame 18279 ran in:  14.452983379364014
Exciton, frame 18280 ran in:  14.521563291549683
Exciton, frame 18281 ran in:  14.563722133636475
Exciton, frame 18282 ran in:  14.16102147102356
Exciton, frame 18283 ran in:  14.450148344039917
Exciton, frame 18284 ran in:  14.196975946426392
Exciton, frame 18285 ran in:  14.219212770462036
Exciton, frame 18286 ran in:  14.243878841400146
Exciton, frame 18287 ran in:  14.305590152740479
Exciton, frame 18288 ran in:  14.198976993560791
Exciton, frame 18289 ran in:  13.9723482131958
Exciton, frame 18290 ran in:  14.438512086868286
Exciton, frame 18291 ran in:  14.234433889389038
Exciton, frame 18292 ran in:  14.194385051727295
Exciton, frame 18293 ran in:  14.63348388671875
Exciton, frame 18294 ran in:  14.194941759109497
Exciton, frame 18295 ran in:  14.338747024536133
Exciton, frame 18296 ran in:  14.255736589431763
Exciton, frame 18297 ran in:  14.584784030914307
Exciton, frame 18298 ran in:  14.060556888580322
Exciton, frame 18299 ran in:  14.219667911529541
Exciton, frame 18300 ran in:  14.177134037017822
Exciton, frame 18301 ran in:  14.289778709411621
Exciton, frame 18302 ran in:  14.173908233642578
Exciton, frame 18303 ran in:  14.244000673294067
Exciton, frame 18304 ran in:  14.179542541503906
Exciton, frame 18305 ran in:  14.147704362869263
Exciton, frame 18306 ran in:  14.50299072265625
Exciton, frame 18307 ran in:  14.257812023162842
Exciton, frame 18308 ran in:  14.316940307617188
Exciton, frame 18309 ran in:  14.265546083450317
Exciton, frame 18310 ran in:  14.250375270843506
Exciton, frame 18311 ran in:  14.24149751663208
Exciton, frame 18312 ran in:  14.173238515853882
Exciton, frame 18313 ran in:  14.203395366668701
Exciton, frame 18314 ran in:  14.24015474319458
Exciton, frame 18315 ran in:  14.294887065887451
Exciton, frame 18316 ran in:  14.295185327529907
Exciton, frame 18317 ran in:  14.395800590515137
Exciton, frame 18318 ran in:  14.259319067001343
Exciton, frame 18319 ran in:  14.013073444366455
Exciton, frame 18320 ran in:  14.139649391174316
Exciton, frame 18321 ran in:  14.310866832733154
Exciton, frame 18322 ran in:  14.483550548553467
Exciton, frame 18323 ran in:  14.131537199020386
Exciton, frame 18324 ran in:  14.465169906616211
Exciton, frame 18325 ran in:  14.167293787002563
Exciton, frame 18326 ran in:  14.142476320266724
Exciton, frame 18327 ran in:  14.263996601104736
Exciton, frame 18328 ran in:  14.097364664077759
Exciton, frame 18329 ran in:  14.312316179275513
Exciton, frame 18330 ran in:  14.358340978622437
Exciton, frame 18331 ran in:  14.10788869857788
Exciton, frame 18332 ran in:  14.145085096359253
Exciton, frame 18333 ran in:  13.899610042572021
Exciton, frame 18334 ran in:  14.378411531448364
Exciton, frame 18335 ran in:  14.269458532333374
Exciton, frame 18336 ran in:  14.583888530731201
Exciton, frame 18337 ran in:  14.388914346694946
Exciton, frame 18338 ran in:  14.435735940933228
Exciton, frame 18339 ran in:  14.279221296310425
Exciton, frame 18340 ran in:  14.402867794036865
Exciton, frame 18341 ran in:  14.244503259658813
Exciton, frame 18342 ran in:  14.375412702560425
Exciton, frame 18343 ran in:  14.238112211227417
Exciton, frame 18344 ran in:  14.219114780426025
Exciton, frame 18345 ran in:  14.15796422958374
Exciton, frame 18346 ran in:  14.233251094818115
Exciton, frame 18347 ran in:  14.257390022277832
Exciton, frame 18348 ran in:  14.152972221374512
Exciton, frame 18349 ran in:  14.348937034606934
Exciton, frame 18350 ran in:  14.269926309585571
Exciton, frame 18351 ran in:  14.502174854278564
Exciton, frame 18352 ran in:  14.041277647018433
Exciton, frame 18353 ran in:  14.345479965209961
Exciton, frame 18354 ran in:  14.19126558303833
Exciton, frame 18355 ran in:  14.455050230026245
Exciton, frame 18356 ran in:  14.301508665084839
Exciton, frame 18357 ran in:  14.144222736358643
Exciton, frame 18358 ran in:  13.87967562675476
Exciton, frame 18359 ran in:  14.45484972000122
Exciton, frame 18360 ran in:  14.314943075180054
Exciton, frame 18361 ran in:  14.322139978408813
Exciton, frame 18362 ran in:  14.17492413520813
Exciton, frame 18363 ran in:  14.19800066947937
Exciton, frame 18364 ran in:  14.255930185317993
Exciton, frame 18365 ran in:  14.338082313537598
Exciton, frame 18366 ran in:  14.480954647064209
Exciton, frame 18367 ran in:  14.329310417175293
Exciton, frame 18368 ran in:  14.131459474563599
