cpu-bind=MASK - bp1-compute153, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.747597 secs
Exciton, frame 33433 ran in:  12.05306625366211
Exciton, frame 33434 ran in:  12.04689335823059
Exciton, frame 33435 ran in:  11.975724220275879
Exciton, frame 33436 ran in:  12.037597894668579
Exciton, frame 33437 ran in:  12.091985702514648
Exciton, frame 33438 ran in:  11.827455997467041
Exciton, frame 33439 ran in:  12.141959190368652
Exciton, frame 33440 ran in:  12.497041463851929
Exciton, frame 33441 ran in:  12.09275507926941
Exciton, frame 33442 ran in:  11.990291118621826
Exciton, frame 33443 ran in:  12.034611940383911
Exciton, frame 33444 ran in:  11.776982069015503
Exciton, frame 33445 ran in:  12.221492528915405
Exciton, frame 33446 ran in:  12.103317260742188
Exciton, frame 33447 ran in:  12.01017713546753
Exciton, frame 33448 ran in:  11.802090167999268
Exciton, frame 33449 ran in:  11.548705339431763
Exciton, frame 33450 ran in:  13.003621578216553
Exciton, frame 33451 ran in:  11.89537000656128
Exciton, frame 33452 ran in:  12.077344417572021
Exciton, frame 33453 ran in:  11.969493865966797
Exciton, frame 33454 ran in:  12.178234577178955
Exciton, frame 33455 ran in:  12.129116773605347
Exciton, frame 33456 ran in:  11.728318452835083
Exciton, frame 33457 ran in:  11.786606311798096
Exciton, frame 33458 ran in:  11.664859056472778
Exciton, frame 33459 ran in:  11.836608409881592
Exciton, frame 33460 ran in:  11.624661922454834
Exciton, frame 33461 ran in:  11.941051721572876
Exciton, frame 33462 ran in:  12.196034669876099
Exciton, frame 33463 ran in:  11.632978439331055
Exciton, frame 33464 ran in:  11.879163026809692
Exciton, frame 33465 ran in:  12.063300371170044
Exciton, frame 33466 ran in:  11.862881660461426
Exciton, frame 33467 ran in:  12.263408899307251
Exciton, frame 33468 ran in:  11.765946388244629
Exciton, frame 33469 ran in:  12.012762546539307
Exciton, frame 33470 ran in:  11.818521976470947
Exciton, frame 33471 ran in:  11.91150689125061
Exciton, frame 33472 ran in:  12.101060152053833
Exciton, frame 33473 ran in:  12.145989894866943
Exciton, frame 33474 ran in:  11.91712212562561
Exciton, frame 33475 ran in:  11.759384155273438
Exciton, frame 33476 ran in:  11.939943075180054
Exciton, frame 33477 ran in:  12.274376153945923
Exciton, frame 33478 ran in:  12.421982765197754
Exciton, frame 33479 ran in:  12.051112413406372
Exciton, frame 33480 ran in:  12.9975426197052
Exciton, frame 33481 ran in:  12.270057201385498
Exciton, frame 33482 ran in:  11.695435285568237
Exciton, frame 33483 ran in:  11.918694734573364
Exciton, frame 33484 ran in:  12.045193433761597
Exciton, frame 33485 ran in:  11.889776229858398
Exciton, frame 33486 ran in:  11.777826309204102
Exciton, frame 33487 ran in:  11.90641975402832
Exciton, frame 33488 ran in:  11.77472186088562
Exciton, frame 33489 ran in:  11.803009510040283
Exciton, frame 33490 ran in:  11.91837739944458
Exciton, frame 33491 ran in:  11.922391653060913
Exciton, frame 33492 ran in:  11.98937201499939
Exciton, frame 33493 ran in:  12.195438146591187
Exciton, frame 33494 ran in:  11.699493646621704
Exciton, frame 33495 ran in:  12.035871505737305
Exciton, frame 33496 ran in:  12.432422876358032
Exciton, frame 33497 ran in:  12.006994009017944
Exciton, frame 33498 ran in:  11.717766284942627
Exciton, frame 33499 ran in:  12.017622709274292
Exciton, frame 33500 ran in:  11.639182090759277
Exciton, frame 33501 ran in:  11.813212871551514
Exciton, frame 33502 ran in:  11.766223669052124
Exciton, frame 33503 ran in:  12.396398544311523
Exciton, frame 33504 ran in:  11.850681781768799
Exciton, frame 33505 ran in:  11.974388122558594
Exciton, frame 33506 ran in:  12.168594121932983
Exciton, frame 33507 ran in:  11.821896076202393
Exciton, frame 33508 ran in:  12.197908401489258
Exciton, frame 33509 ran in:  12.041497707366943
Exciton, frame 33510 ran in:  12.092381954193115
Exciton, frame 33511 ran in:  12.124842166900635
Exciton, frame 33512 ran in:  12.101292848587036
Exciton, frame 33513 ran in:  11.796960830688477
Exciton, frame 33514 ran in:  11.5742506980896
Exciton, frame 33515 ran in:  12.012946367263794
Exciton, frame 33516 ran in:  11.932940483093262
Exciton, frame 33517 ran in:  11.924299001693726
Exciton, frame 33518 ran in:  12.502955675125122
Exciton, frame 33519 ran in:  11.885800838470459
Exciton, frame 33520 ran in:  11.978981733322144
Exciton, frame 33521 ran in:  12.399911880493164
Exciton, frame 33522 ran in:  11.965060234069824
Exciton, frame 33523 ran in:  11.65758490562439
Exciton, frame 33524 ran in:  11.93263840675354
Exciton, frame 33525 ran in:  11.774227619171143
Exciton, frame 33526 ran in:  12.081909894943237
Exciton, frame 33527 ran in:  12.038824796676636
Exciton, frame 33528 ran in:  11.738286018371582
Exciton, frame 33529 ran in:  11.82144546508789
Exciton, frame 33530 ran in:  11.608201265335083
Exciton, frame 33531 ran in:  11.856282949447632
Exciton, frame 33532 ran in:  12.344449520111084
Exciton, frame 33533 ran in:  12.003438472747803
Exciton, frame 33534 ran in:  11.721287727355957
Exciton, frame 33535 ran in:  12.56665825843811
Exciton, frame 33536 ran in:  11.859628915786743
Exciton, frame 33537 ran in:  12.095728158950806
Exciton, frame 33538 ran in:  11.872451782226562
Exciton, frame 33539 ran in:  11.956732273101807
Exciton, frame 33540 ran in:  12.166190385818481
Exciton, frame 33541 ran in:  11.95602035522461
Exciton, frame 33542 ran in:  12.034311771392822
Exciton, frame 33543 ran in:  11.931730270385742
Exciton, frame 33544 ran in:  12.201335906982422
Exciton, frame 33545 ran in:  11.68407416343689
Exciton, frame 33546 ran in:  11.928157329559326
Exciton, frame 33547 ran in:  11.896654844284058
Exciton, frame 33548 ran in:  11.857778072357178
Exciton, frame 33549 ran in:  11.850671291351318
Exciton, frame 33550 ran in:  12.129336595535278
Exciton, frame 33551 ran in:  11.895464897155762
Exciton, frame 33552 ran in:  11.96364450454712
Exciton, frame 33553 ran in:  11.842122077941895
Exciton, frame 33554 ran in:  11.619661808013916
Exciton, frame 33555 ran in:  11.908326148986816
Exciton, frame 33556 ran in:  11.950605392456055
Exciton, frame 33557 ran in:  11.988345384597778
Exciton, frame 33558 ran in:  11.96079134941101
Exciton, frame 33559 ran in:  11.772134065628052
Exciton, frame 33560 ran in:  11.688161849975586
Exciton, frame 33561 ran in:  11.88317322731018
Exciton, frame 33562 ran in:  11.769538402557373
Exciton, frame 33563 ran in:  12.196155786514282
Exciton, frame 33564 ran in:  11.77708387374878
Exciton, frame 33565 ran in:  11.999135494232178
Exciton, frame 33566 ran in:  11.939810276031494
