cpu-bind=MASK - bp1-compute095, task 4294967295 4294967295 [0]: mask 0x3fcfff3fcfff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 22.683531 secs
Exciton, frame 39504 ran in:  11.93547534942627
Exciton, frame 39505 ran in:  12.014748573303223
Exciton, frame 39506 ran in:  11.534646034240723
Exciton, frame 39507 ran in:  11.803699970245361
Exciton, frame 39508 ran in:  11.85318660736084
Exciton, frame 39509 ran in:  12.077268362045288
Exciton, frame 39510 ran in:  12.114654064178467
Exciton, frame 39511 ran in:  12.210935831069946
Exciton, frame 39512 ran in:  11.730263710021973
Exciton, frame 39513 ran in:  11.69255542755127
Exciton, frame 39514 ran in:  12.009445667266846
Exciton, frame 39515 ran in:  11.794310808181763
Exciton, frame 39516 ran in:  11.73163390159607
Exciton, frame 39517 ran in:  12.301304578781128
Exciton, frame 39518 ran in:  11.766463279724121
Exciton, frame 39519 ran in:  12.030908346176147
Exciton, frame 39520 ran in:  11.775310039520264
Exciton, frame 39521 ran in:  11.54499101638794
Exciton, frame 39522 ran in:  12.128679037094116
Exciton, frame 39523 ran in:  11.864184141159058
Exciton, frame 39524 ran in:  12.185879945755005
Exciton, frame 39525 ran in:  11.686788082122803
Exciton, frame 39526 ran in:  11.824432849884033
Exciton, frame 39527 ran in:  12.380560398101807
Exciton, frame 39528 ran in:  11.98488736152649
Exciton, frame 39529 ran in:  11.962790727615356
Exciton, frame 39530 ran in:  11.84858512878418
Exciton, frame 39531 ran in:  12.654193639755249
Exciton, frame 39532 ran in:  11.792325019836426
Exciton, frame 39533 ran in:  11.677917957305908
Exciton, frame 39534 ran in:  11.895896196365356
Exciton, frame 39535 ran in:  12.037709712982178
Exciton, frame 39536 ran in:  11.659619569778442
Exciton, frame 39537 ran in:  12.032092809677124
Exciton, frame 39538 ran in:  11.817222595214844
Exciton, frame 39539 ran in:  11.935643672943115
Exciton, frame 39540 ran in:  12.191415786743164
Exciton, frame 39541 ran in:  11.661462306976318
Exciton, frame 39542 ran in:  11.8743577003479
Exciton, frame 39543 ran in:  12.370066404342651
