cpu-bind=MASK - bp1-compute139, task 4294967295 4294967295 [0]: mask 0x3f3fff003f3fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 18.103444 secs
Exciton, frame 87399 ran in:  12.854423761367798
Exciton, frame 87400 ran in:  13.16026258468628
Exciton, frame 87401 ran in:  13.285459041595459
Exciton, frame 87402 ran in:  13.343990087509155
Exciton, frame 87403 ran in:  13.162947654724121
Exciton, frame 87404 ran in:  13.196983337402344
Exciton, frame 87405 ran in:  13.310823202133179
Exciton, frame 87406 ran in:  13.035134553909302
Exciton, frame 87407 ran in:  13.028255462646484
Exciton, frame 87408 ran in:  13.4168381690979
Exciton, frame 87409 ran in:  13.514493703842163
Exciton, frame 87410 ran in:  13.3904447555542
Exciton, frame 87411 ran in:  13.001989603042603
Exciton, frame 87412 ran in:  13.230003595352173
Exciton, frame 87413 ran in:  13.084629535675049
Exciton, frame 87414 ran in:  13.184351921081543
Exciton, frame 87415 ran in:  13.375941276550293
Exciton, frame 87416 ran in:  12.945725917816162
Exciton, frame 87417 ran in:  13.081163167953491
Exciton, frame 87418 ran in:  13.207996129989624
Exciton, frame 87419 ran in:  12.647485971450806
Exciton, frame 87420 ran in:  13.08479380607605
Exciton, frame 87421 ran in:  13.037972688674927
Exciton, frame 87422 ran in:  13.001717805862427
Exciton, frame 87423 ran in:  13.211814403533936
Exciton, frame 87424 ran in:  13.062455654144287
Exciton, frame 87425 ran in:  12.542733192443848
Exciton, frame 87426 ran in:  12.96751856803894
Exciton, frame 87427 ran in:  12.888519525527954
Exciton, frame 87428 ran in:  12.894185304641724
Exciton, frame 87429 ran in:  12.984318256378174
Exciton, frame 87430 ran in:  13.02248501777649
Exciton, frame 87431 ran in:  12.8583824634552
Exciton, frame 87432 ran in:  13.2251136302948
Exciton, frame 87433 ran in:  13.520366907119751
Exciton, frame 87434 ran in:  13.435962200164795
Exciton, frame 87435 ran in:  13.113284587860107
Exciton, frame 87436 ran in:  13.260855674743652
Exciton, frame 87437 ran in:  12.913346529006958
Exciton, frame 87438 ran in:  13.09603214263916
Exciton, frame 87439 ran in:  13.023184299468994
Exciton, frame 87440 ran in:  12.838139533996582
Exciton, frame 87441 ran in:  12.919507503509521
Exciton, frame 87442 ran in:  13.086399555206299
Exciton, frame 87443 ran in:  12.97867202758789
Exciton, frame 87444 ran in:  13.142985105514526
Exciton, frame 87445 ran in:  13.3282151222229
Exciton, frame 87446 ran in:  13.221345663070679
Exciton, frame 87447 ran in:  13.058429479598999
Exciton, frame 87448 ran in:  12.863664865493774
Exciton, frame 87449 ran in:  13.094408512115479
Exciton, frame 87450 ran in:  13.21477222442627
Exciton, frame 87451 ran in:  13.02433466911316
Exciton, frame 87452 ran in:  12.969998359680176
Exciton, frame 87453 ran in:  13.566404581069946
Exciton, frame 87454 ran in:  13.18010950088501
Exciton, frame 87455 ran in:  12.561478614807129
Exciton, frame 87456 ran in:  13.21542477607727
Exciton, frame 87457 ran in:  13.11814832687378
Exciton, frame 87458 ran in:  13.147972822189331
Exciton, frame 87459 ran in:  13.334437608718872
Exciton, frame 87460 ran in:  13.351720333099365
Exciton, frame 87461 ran in:  12.89771318435669
Exciton, frame 87462 ran in:  13.330474615097046
Exciton, frame 87463 ran in:  13.071542739868164
Exciton, frame 87464 ran in:  12.780369758605957
Exciton, frame 87465 ran in:  13.235544681549072
Exciton, frame 87466 ran in:  13.536225318908691
Exciton, frame 87467 ran in:  13.131816387176514
Exciton, frame 87468 ran in:  13.142006397247314
Exciton, frame 87469 ran in:  12.843222379684448
Exciton, frame 87470 ran in:  13.151432037353516
Exciton, frame 87471 ran in:  13.016370058059692
Exciton, frame 87472 ran in:  13.156163215637207
Exciton, frame 87473 ran in:  12.627745628356934
Exciton, frame 87474 ran in:  12.601649045944214
Exciton, frame 87475 ran in:  13.05432677268982
Exciton, frame 87476 ran in:  13.099395036697388
Exciton, frame 87477 ran in:  12.966401100158691
Exciton, frame 87478 ran in:  13.28070068359375
Exciton, frame 87479 ran in:  13.17640495300293
Exciton, frame 87480 ran in:  13.016057014465332
Exciton, frame 87481 ran in:  13.27053427696228
Exciton, frame 87482 ran in:  13.137839078903198
Exciton, frame 87483 ran in:  13.184216976165771
Exciton, frame 87484 ran in:  13.26045560836792
