cpu-bind=MASK - bp1-compute060, task 4294967295 4294967295 [0]: mask 0x7fffe57fffe5 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 18.767935 secs
Exciton, frame 9327 ran in:  12.404985189437866
Exciton, frame 9328 ran in:  12.874541759490967
Exciton, frame 9329 ran in:  12.320942401885986
Exciton, frame 9330 ran in:  12.526423931121826
Exciton, frame 9331 ran in:  12.356564044952393
Exciton, frame 9332 ran in:  12.231534481048584
Exciton, frame 9333 ran in:  12.108721256256104
Exciton, frame 9334 ran in:  12.481480598449707
Exciton, frame 9335 ran in:  12.3859281539917
Exciton, frame 9336 ran in:  12.770115613937378
Exciton, frame 9337 ran in:  12.73989200592041
Exciton, frame 9338 ran in:  12.445511102676392
Exciton, frame 9339 ran in:  12.245896100997925
Exciton, frame 9340 ran in:  12.392457008361816
Exciton, frame 9341 ran in:  12.21301555633545
Exciton, frame 9342 ran in:  12.45405101776123
Exciton, frame 9343 ran in:  13.031900882720947
Exciton, frame 9344 ran in:  12.792859077453613
Exciton, frame 9345 ran in:  12.318861484527588
Exciton, frame 9346 ran in:  12.677429437637329
Exciton, frame 9347 ran in:  12.377828359603882
Exciton, frame 9348 ran in:  12.685362815856934
Exciton, frame 9349 ran in:  12.558379173278809
Exciton, frame 9350 ran in:  11.91676640510559
Exciton, frame 9351 ran in:  11.957102060317993
Exciton, frame 9352 ran in:  12.219873189926147
Exciton, frame 9353 ran in:  12.41923451423645
Exciton, frame 9354 ran in:  12.597741603851318
Exciton, frame 9355 ran in:  12.237836837768555
Exciton, frame 9356 ran in:  12.17608118057251
Exciton, frame 9357 ran in:  12.4998140335083
Exciton, frame 9358 ran in:  12.262499809265137
Exciton, frame 9359 ran in:  12.314431190490723
Exciton, frame 9360 ran in:  12.303378105163574
Exciton, frame 9361 ran in:  12.769290924072266
Exciton, frame 9362 ran in:  12.899723529815674
Exciton, frame 9363 ran in:  12.972908973693848
Exciton, frame 9364 ran in:  12.098584413528442
Exciton, frame 9365 ran in:  12.215941190719604
Exciton, frame 9366 ran in:  12.529451608657837
Exciton, frame 9367 ran in:  12.504293203353882
Exciton, frame 9368 ran in:  12.29568862915039
Exciton, frame 9369 ran in:  12.528209924697876
Exciton, frame 9370 ran in:  12.16409707069397
Exciton, frame 9371 ran in:  12.444048643112183
Exciton, frame 9372 ran in:  12.116745471954346
Exciton, frame 9373 ran in:  12.145387172698975
Exciton, frame 9374 ran in:  12.034002304077148
Exciton, frame 9375 ran in:  12.210293292999268
Exciton, frame 9376 ran in:  12.271553754806519
Exciton, frame 9377 ran in:  12.003101587295532
Exciton, frame 9378 ran in:  12.41869068145752
Exciton, frame 9379 ran in:  12.185729503631592
Exciton, frame 9380 ran in:  12.123721837997437
Exciton, frame 9381 ran in:  12.497845649719238
Exciton, frame 9382 ran in:  12.319621562957764
Exciton, frame 9383 ran in:  12.279881238937378
Exciton, frame 9384 ran in:  12.783483982086182
Exciton, frame 9385 ran in:  12.591885566711426
Exciton, frame 9386 ran in:  13.094416856765747
Exciton, frame 9387 ran in:  12.747530221939087
Exciton, frame 9388 ran in:  12.048712015151978
Exciton, frame 9389 ran in:  12.458975553512573
Exciton, frame 9390 ran in:  12.134602546691895
Exciton, frame 9391 ran in:  12.483429670333862
Exciton, frame 9392 ran in:  12.896320343017578
Exciton, frame 9393 ran in:  12.259442806243896
Exciton, frame 9394 ran in:  12.376508474349976
Exciton, frame 9395 ran in:  12.509232997894287
Exciton, frame 9396 ran in:  12.064689874649048
Exciton, frame 9397 ran in:  12.021844387054443
Exciton, frame 9398 ran in:  12.31820821762085
Exciton, frame 9399 ran in:  12.037309169769287
Exciton, frame 9400 ran in:  12.197779417037964
Exciton, frame 9401 ran in:  12.720685482025146
Exciton, frame 9402 ran in:  12.365530967712402
Exciton, frame 9403 ran in:  12.210500240325928
Exciton, frame 9404 ran in:  12.158483266830444
Exciton, frame 9405 ran in:  12.315206289291382
Exciton, frame 9406 ran in:  12.301685094833374
Exciton, frame 9407 ran in:  12.45365858078003
Exciton, frame 9408 ran in:  12.705017805099487
Exciton, frame 9409 ran in:  12.631260395050049
Exciton, frame 9410 ran in:  12.162972211837769
Exciton, frame 9411 ran in:  12.658111572265625
Exciton, frame 9412 ran in:  12.281713247299194
Exciton, frame 9413 ran in:  12.062091588973999
Exciton, frame 9414 ran in:  12.337736368179321
Exciton, frame 9415 ran in:  12.414849281311035
Exciton, frame 9416 ran in:  12.677637577056885
Exciton, frame 9417 ran in:  12.53526782989502
Exciton, frame 9418 ran in:  12.36255431175232
Exciton, frame 9419 ran in:  12.53690218925476
Exciton, frame 9420 ran in:  12.22610855102539
Exciton, frame 9421 ran in:  12.310076713562012
Exciton, frame 9422 ran in:  12.350234746932983
Exciton, frame 9423 ran in:  12.682968854904175
Exciton, frame 9424 ran in:  12.818920612335205
Exciton, frame 9425 ran in:  12.332215547561646
Exciton, frame 9426 ran in:  12.15385365486145
Exciton, frame 9427 ran in:  12.977567195892334
Exciton, frame 9428 ran in:  12.996465682983398
Exciton, frame 9429 ran in:  12.377566576004028
Exciton, frame 9430 ran in:  12.228948593139648
Exciton, frame 9431 ran in:  11.989980459213257
Exciton, frame 9432 ran in:  12.28269362449646
Exciton, frame 9433 ran in:  12.430837631225586
Exciton, frame 9434 ran in:  12.71475601196289
Exciton, frame 9435 ran in:  12.351936101913452
Exciton, frame 9436 ran in:  12.558717012405396
Exciton, frame 9437 ran in:  12.092667579650879
Exciton, frame 9438 ran in:  12.65989065170288
Exciton, frame 9439 ran in:  12.062375545501709
Exciton, frame 9440 ran in:  12.45339560508728
Exciton, frame 9441 ran in:  12.220540285110474
Exciton, frame 9442 ran in:  12.448947191238403
Exciton, frame 9443 ran in:  12.40833330154419
Exciton, frame 9444 ran in:  12.17937183380127
Exciton, frame 9445 ran in:  13.029905080795288
Exciton, frame 9446 ran in:  12.707483530044556
Exciton, frame 9447 ran in:  12.457749605178833
Exciton, frame 9448 ran in:  12.156863927841187
Exciton, frame 9449 ran in:  12.086769104003906
Exciton, frame 9450 ran in:  12.404788494110107
Exciton, frame 9451 ran in:  12.4602632522583
Exciton, frame 9452 ran in:  12.458831310272217
Exciton, frame 9453 ran in:  12.18801736831665
