cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0xf000000007f9fe000000000000000000f000000007f9fe000000000000000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 14.798286 secs
Exciton, frame 114485 ran in:  16.44492816925049
Exciton, frame 114486 ran in:  16.47734308242798
Exciton, frame 114487 ran in:  16.832536935806274
Exciton, frame 114488 ran in:  16.663662910461426
Exciton, frame 114489 ran in:  16.6593656539917
Exciton, frame 114490 ran in:  16.549457788467407
Exciton, frame 114491 ran in:  16.567841291427612
Exciton, frame 114492 ran in:  16.485634803771973
Exciton, frame 114493 ran in:  16.437993049621582
Exciton, frame 114494 ran in:  16.640109062194824
Exciton, frame 114495 ran in:  16.65674662590027
Exciton, frame 114496 ran in:  16.599369764328003
Exciton, frame 114497 ran in:  16.57741928100586
Exciton, frame 114498 ran in:  16.765525102615356
Exciton, frame 114499 ran in:  16.558790922164917
Exciton, frame 114500 ran in:  16.48948073387146
Exciton, frame 114501 ran in:  16.627521514892578
Exciton, frame 114502 ran in:  16.26268720626831
Exciton, frame 114503 ran in:  16.754005432128906
Exciton, frame 114504 ran in:  16.23537516593933
Exciton, frame 114505 ran in:  16.496312856674194
Exciton, frame 114506 ran in:  16.323801517486572
Exciton, frame 114507 ran in:  16.249519109725952
Exciton, frame 114508 ran in:  16.628429412841797
Exciton, frame 114509 ran in:  16.59123945236206
Exciton, frame 114510 ran in:  16.666391849517822
Exciton, frame 114511 ran in:  16.35661268234253
Exciton, frame 114512 ran in:  16.78792691230774
Exciton, frame 114513 ran in:  16.54901623725891
Exciton, frame 114514 ran in:  16.350001096725464
Exciton, frame 114515 ran in:  16.556459188461304
Exciton, frame 114516 ran in:  16.557542324066162
Exciton, frame 114517 ran in:  16.50276827812195
Exciton, frame 114518 ran in:  16.14458155632019
Exciton, frame 114519 ran in:  16.5653977394104
Exciton, frame 114520 ran in:  16.41608691215515
Exciton, frame 114521 ran in:  16.62987518310547
Exciton, frame 114522 ran in:  16.50198221206665
Exciton, frame 114523 ran in:  16.62989592552185
Exciton, frame 114524 ran in:  16.694692611694336
Exciton, frame 114525 ran in:  16.359991788864136
Exciton, frame 114526 ran in:  16.074864864349365
Exciton, frame 114527 ran in:  16.037644624710083
Exciton, frame 114528 ran in:  16.24714994430542
Exciton, frame 114529 ran in:  16.487863779067993
Exciton, frame 114530 ran in:  16.540201902389526
Exciton, frame 114531 ran in:  16.58832621574402
Exciton, frame 114532 ran in:  16.370912551879883
Exciton, frame 114533 ran in:  16.55621027946472
Exciton, frame 114534 ran in:  16.496651649475098
Exciton, frame 114535 ran in:  16.84627079963684
Exciton, frame 114536 ran in:  16.821022748947144
Exciton, frame 114537 ran in:  16.69555425643921
Exciton, frame 114538 ran in:  16.418933153152466
Exciton, frame 114539 ran in:  16.458788633346558
Exciton, frame 114540 ran in:  16.037588119506836
Exciton, frame 114541 ran in:  16.599600315093994
Exciton, frame 114542 ran in:  16.538559675216675
Exciton, frame 114543 ran in:  16.659921407699585
Exciton, frame 114544 ran in:  16.640677213668823
Exciton, frame 114545 ran in:  16.67171049118042
Exciton, frame 114546 ran in:  16.445467948913574
Exciton, frame 114547 ran in:  16.272722482681274
Exciton, frame 114548 ran in:  16.621914625167847
Exciton, frame 114549 ran in:  16.71929693222046
Exciton, frame 114550 ran in:  16.441811323165894
Exciton, frame 114551 ran in:  16.488117456436157
Exciton, frame 114552 ran in:  16.596864223480225
Exciton, frame 114553 ran in:  16.742444276809692
Exciton, frame 114554 ran in:  16.539480686187744
Exciton, frame 114555 ran in:  16.389625072479248
Exciton, frame 114556 ran in:  16.544163942337036
Exciton, frame 114557 ran in:  16.566162586212158
Exciton, frame 114558 ran in:  16.71047353744507
Exciton, frame 114559 ran in:  16.49042057991028
Exciton, frame 114560 ran in:  16.616507053375244
Exciton, frame 114561 ran in:  16.544707775115967
Exciton, frame 114562 ran in:  16.39212727546692
