cpu-bind=MASK - bp1-compute139, task 4294967295 4294967295 [0]: mask 0xff0fff00ff0fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.398987 secs
Exciton, frame 129243 ran in:  13.244826316833496
Exciton, frame 129244 ran in:  12.856062889099121
Exciton, frame 129245 ran in:  13.433347702026367
Exciton, frame 129246 ran in:  13.57234811782837
Exciton, frame 129247 ran in:  13.313937902450562
Exciton, frame 129248 ran in:  12.985182285308838
Exciton, frame 129249 ran in:  13.380778074264526
Exciton, frame 129250 ran in:  12.90660309791565
Exciton, frame 129251 ran in:  13.431976318359375
Exciton, frame 129252 ran in:  13.415663957595825
Exciton, frame 129253 ran in:  12.921123266220093
Exciton, frame 129254 ran in:  12.969131469726562
Exciton, frame 129255 ran in:  12.719830751419067
Exciton, frame 129256 ran in:  12.990551471710205
Exciton, frame 129257 ran in:  12.88529109954834
Exciton, frame 129258 ran in:  13.875216722488403
Exciton, frame 129259 ran in:  13.264876365661621
Exciton, frame 129260 ran in:  13.094250202178955
Exciton, frame 129261 ran in:  12.672264099121094
Exciton, frame 129262 ran in:  12.839028120040894
Exciton, frame 129263 ran in:  12.89277172088623
Exciton, frame 129264 ran in:  12.733155012130737
Exciton, frame 129265 ran in:  12.945197820663452
Exciton, frame 129266 ran in:  12.382491111755371
Exciton, frame 129267 ran in:  12.864789247512817
Exciton, frame 129268 ran in:  12.512120723724365
Exciton, frame 129269 ran in:  12.902857303619385
Exciton, frame 129270 ran in:  12.782205581665039
Exciton, frame 129271 ran in:  12.658615350723267
Exciton, frame 129272 ran in:  12.5445876121521
Exciton, frame 129273 ran in:  12.963428258895874
Exciton, frame 129274 ran in:  12.58240795135498
Exciton, frame 129275 ran in:  12.504429340362549
Exciton, frame 129276 ran in:  12.752479553222656
Exciton, frame 129277 ran in:  12.439160585403442
Exciton, frame 129278 ran in:  12.61501145362854
Exciton, frame 129279 ran in:  12.958479642868042
Exciton, frame 129280 ran in:  12.900427341461182
Exciton, frame 129281 ran in:  12.791830062866211
Exciton, frame 129282 ran in:  12.5851469039917
Exciton, frame 129283 ran in:  13.064624309539795
Exciton, frame 129284 ran in:  12.479746580123901
Exciton, frame 129285 ran in:  12.57120156288147
Exciton, frame 129286 ran in:  12.884953022003174
Exciton, frame 129287 ran in:  12.733582973480225
Exciton, frame 129288 ran in:  12.855923652648926
Exciton, frame 129289 ran in:  12.49888277053833
Exciton, frame 129290 ran in:  12.744934797286987
Exciton, frame 129291 ran in:  12.495543241500854
Exciton, frame 129292 ran in:  12.849083185195923
Exciton, frame 129293 ran in:  13.291641235351562
Exciton, frame 129294 ran in:  12.884042978286743
Exciton, frame 129295 ran in:  12.811082363128662
Exciton, frame 129296 ran in:  13.220461368560791
Exciton, frame 129297 ran in:  13.17363953590393
Exciton, frame 129298 ran in:  13.033158302307129
Exciton, frame 129299 ran in:  13.250210523605347
Exciton, frame 129300 ran in:  13.326991081237793
Exciton, frame 129301 ran in:  12.886589050292969
Exciton, frame 129302 ran in:  12.86622166633606
Exciton, frame 129303 ran in:  12.984421730041504
Exciton, frame 129304 ran in:  12.773781061172485
Exciton, frame 129305 ran in:  13.135503768920898
Exciton, frame 129306 ran in:  13.262181997299194
Exciton, frame 129307 ran in:  12.959063291549683
Exciton, frame 129308 ran in:  13.131769180297852
Exciton, frame 129309 ran in:  13.299038887023926
Exciton, frame 129310 ran in:  13.216946601867676
Exciton, frame 129311 ran in:  12.869237661361694
