cpu-bind=MASK - bp1-compute090, task 4294967295 4294967295 [0]: mask 0x7fa7ff7fa7ff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 16.488590 secs
Exciton, frame 30287 ran in:  12.887943267822266
Exciton, frame 30288 ran in:  12.551203966140747
Exciton, frame 30289 ran in:  12.71362590789795
Exciton, frame 30290 ran in:  12.77318000793457
Exciton, frame 30291 ran in:  12.759963989257812
Exciton, frame 30292 ran in:  12.938483476638794
Exciton, frame 30293 ran in:  12.802900791168213
Exciton, frame 30294 ran in:  12.940310001373291
Exciton, frame 30295 ran in:  12.974034070968628
Exciton, frame 30296 ran in:  12.965234994888306
Exciton, frame 30297 ran in:  12.89862847328186
Exciton, frame 30298 ran in:  13.103796243667603
Exciton, frame 30299 ran in:  12.810872793197632
Exciton, frame 30300 ran in:  12.832294702529907
Exciton, frame 30301 ran in:  12.959371328353882
Exciton, frame 30302 ran in:  12.631007194519043
Exciton, frame 30303 ran in:  12.702559471130371
Exciton, frame 30304 ran in:  12.831895112991333
Exciton, frame 30305 ran in:  12.990587949752808
Exciton, frame 30306 ran in:  12.857621431350708
Exciton, frame 30307 ran in:  12.885844945907593
Exciton, frame 30308 ran in:  12.894685983657837
Exciton, frame 30309 ran in:  12.889028787612915
Exciton, frame 30310 ran in:  12.844006299972534
Exciton, frame 30311 ran in:  12.844178438186646
Exciton, frame 30312 ran in:  12.981382369995117
Exciton, frame 30313 ran in:  12.862329006195068
Exciton, frame 30314 ran in:  12.889591455459595
Exciton, frame 30315 ran in:  12.681033849716187
Exciton, frame 30316 ran in:  12.813023805618286
Exciton, frame 30317 ran in:  12.75907015800476
Exciton, frame 30318 ran in:  12.878010749816895
Exciton, frame 30319 ran in:  12.666821956634521
Exciton, frame 30320 ran in:  13.076911449432373
Exciton, frame 30321 ran in:  12.925817251205444
Exciton, frame 30322 ran in:  13.022029876708984
Exciton, frame 30323 ran in:  12.935714483261108
Exciton, frame 30324 ran in:  12.795491933822632
Exciton, frame 30325 ran in:  12.741966247558594
Exciton, frame 30326 ran in:  12.913305759429932
Exciton, frame 30327 ran in:  12.572815895080566
Exciton, frame 30328 ran in:  12.900617599487305
Exciton, frame 30329 ran in:  12.856598615646362
Exciton, frame 30330 ran in:  12.965597152709961
Exciton, frame 30331 ran in:  12.920593023300171
Exciton, frame 30332 ran in:  12.904119968414307
Exciton, frame 30333 ran in:  12.827014684677124
Exciton, frame 30334 ran in:  12.940260171890259
Exciton, frame 30335 ran in:  12.890023231506348
Exciton, frame 30336 ran in:  12.794013500213623
Exciton, frame 30337 ran in:  12.767765522003174
Exciton, frame 30338 ran in:  12.784823894500732
Exciton, frame 30339 ran in:  12.987548112869263
Exciton, frame 30340 ran in:  13.019964456558228
Exciton, frame 30341 ran in:  12.866742372512817
Exciton, frame 30342 ran in:  12.678754329681396
Exciton, frame 30343 ran in:  12.873917579650879
Exciton, frame 30344 ran in:  12.86584758758545
Exciton, frame 30345 ran in:  12.878414869308472
Exciton, frame 30346 ran in:  12.739607572555542
Exciton, frame 30347 ran in:  13.014243125915527
Exciton, frame 30348 ran in:  12.841874837875366
Exciton, frame 30349 ran in:  13.015369892120361
