cpu-bind=MASK - bp1-compute089, task 4294967295 4294967295 [0]: mask 0xffe7f5ffe7f5 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 17.070396 secs
Exciton, frame 42266 ran in:  12.504426956176758
Exciton, frame 42267 ran in:  12.541116714477539
Exciton, frame 42268 ran in:  12.47490906715393
Exciton, frame 42269 ran in:  12.202879905700684
Exciton, frame 42270 ran in:  12.152488231658936
Exciton, frame 42271 ran in:  12.722736358642578
Exciton, frame 42272 ran in:  13.083351135253906
Exciton, frame 42273 ran in:  12.935979843139648
Exciton, frame 42274 ran in:  12.915038347244263
Exciton, frame 42275 ran in:  12.387427568435669
Exciton, frame 42276 ran in:  12.706830263137817
Exciton, frame 42277 ran in:  12.387059926986694
Exciton, frame 42278 ran in:  12.704751253128052
Exciton, frame 42279 ran in:  12.740751266479492
Exciton, frame 42280 ran in:  12.34536099433899
Exciton, frame 42281 ran in:  12.347959995269775
Exciton, frame 42282 ran in:  12.157168626785278
Exciton, frame 42283 ran in:  12.645115613937378
Exciton, frame 42284 ran in:  12.981833457946777
Exciton, frame 42285 ran in:  12.313071489334106
Exciton, frame 42286 ran in:  12.648480892181396
Exciton, frame 42287 ran in:  12.926844120025635
Exciton, frame 42288 ran in:  12.141661167144775
Exciton, frame 42289 ran in:  12.81754755973816
Exciton, frame 42290 ran in:  12.457140922546387
Exciton, frame 42291 ran in:  13.11426854133606
Exciton, frame 42292 ran in:  12.982414722442627
Exciton, frame 42293 ran in:  12.740657329559326
Exciton, frame 42294 ran in:  12.763807535171509
Exciton, frame 42295 ran in:  12.387495040893555
Exciton, frame 42296 ran in:  12.868406057357788
Exciton, frame 42297 ran in:  12.424118995666504
Exciton, frame 42298 ran in:  12.245047092437744
Exciton, frame 42299 ran in:  12.603198051452637
Exciton, frame 42300 ran in:  12.409427404403687
Exciton, frame 42301 ran in:  12.53832221031189
Exciton, frame 42302 ran in:  12.403680324554443
Exciton, frame 42303 ran in:  12.916540384292603
Exciton, frame 42304 ran in:  12.549986839294434
Exciton, frame 42305 ran in:  12.421619415283203
Exciton, frame 42306 ran in:  12.381715297698975
Exciton, frame 42307 ran in:  12.396208763122559
Exciton, frame 42308 ran in:  12.92327070236206
Exciton, frame 42309 ran in:  12.763281106948853
Exciton, frame 42310 ran in:  12.478207111358643
Exciton, frame 42311 ran in:  12.512352228164673
Exciton, frame 42312 ran in:  12.868540048599243
Exciton, frame 42313 ran in:  13.035281658172607
Exciton, frame 42314 ran in:  12.556776762008667
Exciton, frame 42315 ran in:  12.523250341415405
Exciton, frame 42316 ran in:  12.16314172744751
Exciton, frame 42317 ran in:  12.549264192581177
Exciton, frame 42318 ran in:  12.868728399276733
Exciton, frame 42319 ran in:  12.964292526245117
Exciton, frame 42320 ran in:  12.384294509887695
Exciton, frame 42321 ran in:  12.22245454788208
Exciton, frame 42322 ran in:  12.52473258972168
Exciton, frame 42323 ran in:  13.049337148666382
Exciton, frame 42324 ran in:  12.058380842208862
Exciton, frame 42325 ran in:  12.493364334106445
Exciton, frame 42326 ran in:  12.832283735275269
Exciton, frame 42327 ran in:  12.400981903076172
Exciton, frame 42328 ran in:  12.870190143585205
Exciton, frame 42329 ran in:  12.612196922302246
Exciton, frame 42330 ran in:  13.203344583511353
Exciton, frame 42331 ran in:  12.921891689300537
Exciton, frame 42332 ran in:  12.983036279678345
Exciton, frame 42333 ran in:  13.177098035812378
Exciton, frame 42334 ran in:  12.847935199737549
Exciton, frame 42335 ran in:  13.206110715866089
Exciton, frame 42336 ran in:  13.095659017562866
Exciton, frame 42337 ran in:  12.898436069488525
Exciton, frame 42338 ran in:  13.250813007354736
Exciton, frame 42339 ran in:  13.203847885131836
Exciton, frame 42340 ran in:  13.066368818283081
Exciton, frame 42341 ran in:  13.190478801727295
Exciton, frame 42342 ran in:  12.964095830917358
Exciton, frame 42343 ran in:  13.379193544387817
Exciton, frame 42344 ran in:  13.165974855422974
Exciton, frame 42345 ran in:  13.286360025405884
Exciton, frame 42346 ran in:  13.021535158157349
Exciton, frame 42347 ran in:  12.994731664657593
Exciton, frame 42348 ran in:  12.868316888809204
Exciton, frame 42349 ran in:  13.12988829612732
Exciton, frame 42350 ran in:  13.17550253868103
Exciton, frame 42351 ran in:  12.628301620483398
Exciton, frame 42352 ran in:  12.853902816772461
Exciton, frame 42353 ran in:  13.0998375415802
Exciton, frame 42354 ran in:  13.069326162338257
Exciton, frame 42355 ran in:  13.068577289581299
Exciton, frame 42356 ran in:  13.081603288650513
Exciton, frame 42357 ran in:  12.922848463058472
Exciton, frame 42358 ran in:  12.901269435882568
Exciton, frame 42359 ran in:  12.810531854629517
Exciton, frame 42360 ran in:  13.141557931900024
Exciton, frame 42361 ran in:  13.17185354232788
Exciton, frame 42362 ran in:  13.229049682617188
Exciton, frame 42363 ran in:  13.272385120391846
Exciton, frame 42364 ran in:  12.875816345214844
Exciton, frame 42365 ran in:  13.037805557250977
Exciton, frame 42366 ran in:  13.177909135818481
Exciton, frame 42367 ran in:  12.719513416290283
Exciton, frame 42368 ran in:  12.766357898712158
Exciton, frame 42369 ran in:  13.468269109725952
Exciton, frame 42370 ran in:  13.269792556762695
Exciton, frame 42371 ran in:  13.041791439056396
Exciton, frame 42372 ran in:  13.46936821937561
Exciton, frame 42373 ran in:  13.332250118255615
Exciton, frame 42374 ran in:  13.289812803268433
Exciton, frame 42375 ran in:  12.891054391860962
Exciton, frame 42376 ran in:  12.91495680809021
Exciton, frame 42377 ran in:  12.955622911453247
Exciton, frame 42378 ran in:  12.929445266723633
Exciton, frame 42379 ran in:  13.282416343688965
Exciton, frame 42380 ran in:  12.794376134872437
Exciton, frame 42381 ran in:  12.846378326416016
Exciton, frame 42382 ran in:  13.175500631332397
Exciton, frame 42383 ran in:  12.955561399459839
Exciton, frame 42384 ran in:  13.143583297729492
Exciton, frame 42385 ran in:  13.264922142028809
Exciton, frame 42386 ran in:  12.962388753890991
Exciton, frame 42387 ran in:  13.353114604949951
Exciton, frame 42388 ran in:  13.010347366333008
Exciton, frame 42389 ran in:  12.746639251708984
Exciton, frame 42390 ran in:  13.218610048294067
Exciton, frame 42391 ran in:  13.49129056930542
Exciton, frame 42392 ran in:  13.021143913269043
Exciton, frame 42393 ran in:  13.31467580795288
Exciton, frame 42394 ran in:  13.09604525566101
Exciton, frame 42395 ran in:  13.251131057739258
Exciton, frame 42396 ran in:  12.94716501235962
Exciton, frame 42397 ran in:  13.540209770202637
Exciton, frame 42398 ran in:  12.494742393493652
Exciton, frame 42399 ran in:  13.123212337493896
Exciton, frame 42400 ran in:  12.644601583480835
Exciton, frame 42401 ran in:  13.369916677474976
Exciton, frame 42402 ran in:  12.716244459152222
Exciton, frame 42403 ran in:  12.973122119903564
Exciton, frame 42404 ran in:  13.108291625976562
Exciton, frame 42405 ran in:  12.721346378326416
Exciton, frame 42406 ran in:  13.106925964355469
Exciton, frame 42407 ran in:  13.105753898620605
Exciton, frame 42408 ran in:  13.14456582069397
Exciton, frame 42409 ran in:  13.319260358810425
Exciton, frame 42410 ran in:  13.035075664520264
Exciton, frame 42411 ran in:  13.263744115829468
Exciton, frame 42412 ran in:  13.063759088516235
Exciton, frame 42413 ran in:  13.30082631111145
Exciton, frame 42414 ran in:  13.038461923599243
Exciton, frame 42415 ran in:  13.042741775512695
Exciton, frame 42416 ran in:  13.217401027679443
Exciton, frame 42417 ran in:  13.09555983543396
Exciton, frame 42418 ran in:  12.663717985153198
Exciton, frame 42419 ran in:  12.842958927154541
Exciton, frame 42420 ran in:  13.181035995483398
Exciton, frame 42421 ran in:  13.007226705551147
Exciton, frame 42422 ran in:  13.324144840240479
Exciton, frame 42423 ran in:  13.222923994064331
Exciton, frame 42424 ran in:  13.361293315887451
Exciton, frame 42425 ran in:  13.126531839370728
Exciton, frame 42426 ran in:  13.09429931640625
Exciton, frame 42427 ran in:  13.143359184265137
Exciton, frame 42428 ran in:  13.2067551612854
Exciton, frame 42429 ran in:  13.33631181716919
Exciton, frame 42430 ran in:  13.642142057418823
Exciton, frame 42431 ran in:  13.402095556259155
Exciton, frame 42432 ran in:  13.403999328613281
Exciton, frame 42433 ran in:  13.52270221710205
Exciton, frame 42434 ran in:  12.98522138595581
Exciton, frame 42435 ran in:  13.612025022506714
Exciton, frame 42436 ran in:  13.069577693939209
Exciton, frame 42437 ran in:  13.073303937911987
Exciton, frame 42438 ran in:  13.354970455169678
Exciton, frame 42439 ran in:  13.27573823928833
Exciton, frame 42440 ran in:  13.06691575050354
Exciton, frame 42441 ran in:  13.088696718215942
