cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0x1ffffe000000000000000000000000001ffffe00000000000000000000000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 16.122433 secs
Exciton, frame 54257 ran in:  15.324485063552856
Exciton, frame 54258 ran in:  16.006075143814087
Exciton, frame 54259 ran in:  15.68100881576538
Exciton, frame 54260 ran in:  15.792558908462524
Exciton, frame 54261 ran in:  15.7325918674469
Exciton, frame 54262 ran in:  15.114684581756592
Exciton, frame 54263 ran in:  15.827647686004639
Exciton, frame 54264 ran in:  15.720032453536987
Exciton, frame 54265 ran in:  16.260260581970215
Exciton, frame 54266 ran in:  16.193186283111572
Exciton, frame 54267 ran in:  16.342800617218018
Exciton, frame 54268 ran in:  14.794902563095093
Exciton, frame 54269 ran in:  15.336153507232666
Exciton, frame 54270 ran in:  15.658382415771484
Exciton, frame 54271 ran in:  15.735669136047363
Exciton, frame 54272 ran in:  16.081055164337158
Exciton, frame 54273 ran in:  15.95787262916565
Exciton, frame 54274 ran in:  16.31471538543701
Exciton, frame 54275 ran in:  15.833056688308716
Exciton, frame 54276 ran in:  16.103940725326538
Exciton, frame 54277 ran in:  16.058377265930176
Exciton, frame 54278 ran in:  15.558993577957153
Exciton, frame 54279 ran in:  15.928220272064209
Exciton, frame 54280 ran in:  15.853235960006714
Exciton, frame 54281 ran in:  16.67892861366272
Exciton, frame 54282 ran in:  15.300191640853882
Exciton, frame 54283 ran in:  16.802595138549805
Exciton, frame 54284 ran in:  16.222715377807617
Exciton, frame 54285 ran in:  15.90674877166748
Exciton, frame 54286 ran in:  15.81069302558899
Exciton, frame 54287 ran in:  16.403788328170776
Exciton, frame 54288 ran in:  16.731661558151245
Exciton, frame 54289 ran in:  15.156571865081787
Exciton, frame 54290 ran in:  15.90540099143982
Exciton, frame 54291 ran in:  16.533403158187866
Exciton, frame 54292 ran in:  16.187200784683228
Exciton, frame 54293 ran in:  15.316112995147705
Exciton, frame 54294 ran in:  15.522754907608032
Exciton, frame 54295 ran in:  15.580387353897095
Exciton, frame 54296 ran in:  16.233971118927002
Exciton, frame 54297 ran in:  15.954452753067017
Exciton, frame 54298 ran in:  15.605997323989868
Exciton, frame 54299 ran in:  15.674879312515259
Exciton, frame 54300 ran in:  15.602921962738037
Exciton, frame 54301 ran in:  15.335282802581787
Exciton, frame 54302 ran in:  16.122995138168335
Exciton, frame 54303 ran in:  15.847181797027588
Exciton, frame 54304 ran in:  16.511418342590332
Exciton, frame 54305 ran in:  16.488698720932007
Exciton, frame 54306 ran in:  16.695032119750977
Exciton, frame 54307 ran in:  16.49224066734314
Exciton, frame 54308 ran in:  15.437560081481934
Exciton, frame 54309 ran in:  15.40174412727356
Exciton, frame 54310 ran in:  15.482208728790283
Exciton, frame 54311 ran in:  15.568447828292847
Exciton, frame 54312 ran in:  15.54602861404419
Exciton, frame 54313 ran in:  16.175745725631714
Exciton, frame 54314 ran in:  15.877441883087158
Exciton, frame 54315 ran in:  15.592850923538208
Exciton, frame 54316 ran in:  14.55748987197876
Exciton, frame 54317 ran in:  16.2771418094635
Exciton, frame 54318 ran in:  15.718181610107422
Exciton, frame 54319 ran in:  15.422296524047852
Exciton, frame 54320 ran in:  15.565998554229736
Exciton, frame 54321 ran in:  16.0212185382843
Exciton, frame 54322 ran in:  14.883352994918823
Exciton, frame 54323 ran in:  16.076690912246704
Exciton, frame 54324 ran in:  15.570396423339844
Exciton, frame 54325 ran in:  15.992866039276123
Exciton, frame 54326 ran in:  17.38214874267578
Exciton, frame 54327 ran in:  16.35392665863037
Exciton, frame 54328 ran in:  16.584563493728638
Exciton, frame 54329 ran in:  16.47654414176941
Exciton, frame 54330 ran in:  14.90596866607666
Exciton, frame 54331 ran in:  15.403116464614868
Exciton, frame 54332 ran in:  15.666317462921143
Exciton, frame 54333 ran in:  16.634846925735474
Exciton, frame 54334 ran in:  16.843814373016357
Exciton, frame 54335 ran in:  16.011382341384888
Exciton, frame 54336 ran in:  16.10299015045166
Exciton, frame 54337 ran in:  15.349263906478882
Exciton, frame 54338 ran in:  15.239155292510986
Exciton, frame 54339 ran in:  15.857826709747314
Exciton, frame 54340 ran in:  15.712550163269043
Exciton, frame 54341 ran in:  15.603964805603027
Exciton, frame 54342 ran in:  15.764294147491455
Exciton, frame 54343 ran in:  15.805068731307983
Exciton, frame 54344 ran in:  15.051341533660889
Exciton, frame 54345 ran in:  14.599517822265625
Exciton, frame 54346 ran in:  15.458159923553467
Exciton, frame 54347 ran in:  15.609522819519043
Exciton, frame 54348 ran in:  15.611725807189941
Exciton, frame 54349 ran in:  14.564592838287354
Exciton, frame 54350 ran in:  15.508151292800903
Exciton, frame 54351 ran in:  15.721245765686035
Exciton, frame 54352 ran in:  16.01632571220398
Exciton, frame 54353 ran in:  15.63809609413147
Exciton, frame 54354 ran in:  16.13238787651062
Exciton, frame 54355 ran in:  16.19028949737549
Exciton, frame 54356 ran in:  15.816143274307251
Exciton, frame 54357 ran in:  16.555206537246704
Exciton, frame 54358 ran in:  16.729609489440918
Exciton, frame 54359 ran in:  16.692384243011475
Exciton, frame 54360 ran in:  16.162383556365967
Exciton, frame 54361 ran in:  15.265428066253662
Exciton, frame 54362 ran in:  15.337981939315796
Exciton, frame 54363 ran in:  16.26878547668457
Exciton, frame 54364 ran in:  15.962284088134766
Exciton, frame 54365 ran in:  15.084772109985352
Exciton, frame 54366 ran in:  15.545814752578735
Exciton, frame 54367 ran in:  15.200116157531738
Exciton, frame 54368 ran in:  15.336523056030273
Exciton, frame 54369 ran in:  15.608746767044067
Exciton, frame 54370 ran in:  15.881319522857666
Exciton, frame 54371 ran in:  16.206836938858032
Exciton, frame 54372 ran in:  16.70892572402954
Exciton, frame 54373 ran in:  15.791122674942017
Exciton, frame 54374 ran in:  14.963740348815918
Exciton, frame 54375 ran in:  15.270618200302124
Exciton, frame 54376 ran in:  15.553120613098145
Exciton, frame 54377 ran in:  15.9319748878479
Exciton, frame 54378 ran in:  15.089745283126831
Exciton, frame 54379 ran in:  16.108274698257446
Exciton, frame 54380 ran in:  15.197831153869629
Exciton, frame 54381 ran in:  15.962693452835083
Exciton, frame 54382 ran in:  15.572034120559692
Exciton, frame 54383 ran in:  15.52777099609375
Exciton, frame 54384 ran in:  16.25971293449402
Exciton, frame 54385 ran in:  15.840574979782104
Exciton, frame 54386 ran in:  15.645320653915405
Exciton, frame 54387 ran in:  15.203381776809692
Exciton, frame 54388 ran in:  14.651595830917358
Exciton, frame 54389 ran in:  15.397628784179688
Exciton, frame 54390 ran in:  15.240414142608643
Exciton, frame 54391 ran in:  15.74697732925415
Exciton, frame 54392 ran in:  16.011900901794434
Exciton, frame 54393 ran in:  15.255210876464844
Exciton, frame 54394 ran in:  15.042883396148682
Exciton, frame 54395 ran in:  15.92716646194458
Exciton, frame 54396 ran in:  15.616710901260376
Exciton, frame 54397 ran in:  15.800361394882202
Exciton, frame 54398 ran in:  15.943471193313599
Exciton, frame 54399 ran in:  16.16530680656433
Exciton, frame 54400 ran in:  16.04682421684265
Exciton, frame 54401 ran in:  14.949430227279663
Exciton, frame 54402 ran in:  15.757365226745605
Exciton, frame 54403 ran in:  15.730346441268921
Exciton, frame 54404 ran in:  15.386966466903687
Exciton, frame 54405 ran in:  15.712078332901001
Exciton, frame 54406 ran in:  15.470625638961792
Exciton, frame 54407 ran in:  16.300492525100708
Exciton, frame 54408 ran in:  15.448764324188232
Exciton, frame 54409 ran in:  16.745388984680176
Exciton, frame 54410 ran in:  15.564090013504028
Exciton, frame 54411 ran in:  16.288840293884277
Exciton, frame 54412 ran in:  16.11532497406006
Exciton, frame 54413 ran in:  15.970555305480957
Exciton, frame 54414 ran in:  15.926502704620361
Exciton, frame 54415 ran in:  15.682520151138306
Exciton, frame 54416 ran in:  15.921493768692017
Exciton, frame 54417 ran in:  15.031060695648193
Exciton, frame 54418 ran in:  15.667840957641602
Exciton, frame 54419 ran in:  16.410127878189087
Exciton, frame 54420 ran in:  16.881531476974487
Exciton, frame 54421 ran in:  15.687588930130005
Exciton, frame 54422 ran in:  15.514284133911133
Exciton, frame 54423 ran in:  15.802828788757324
Exciton, frame 54424 ran in:  16.126149654388428
Exciton, frame 54425 ran in:  15.142640113830566
Exciton, frame 54426 ran in:  15.855235576629639
Exciton, frame 54427 ran in:  15.870569705963135
Exciton, frame 54428 ran in:  14.44901704788208
Exciton, frame 54429 ran in:  15.934893608093262
Exciton, frame 54430 ran in:  14.970192670822144
Exciton, frame 54431 ran in:  16.18911075592041
Exciton, frame 54432 ran in:  15.921287536621094
Exciton, frame 54433 ran in:  14.79815673828125
Exciton, frame 54434 ran in:  15.999573469161987
Exciton, frame 54435 ran in:  15.264498949050903
Exciton, frame 54436 ran in:  16.07267165184021
Exciton, frame 54437 ran in:  15.826720952987671
Exciton, frame 54438 ran in:  15.43903660774231
Exciton, frame 54439 ran in:  16.04701042175293
Exciton, frame 54440 ran in:  16.036548137664795
Exciton, frame 54441 ran in:  15.784073114395142
Exciton, frame 54442 ran in:  15.605614423751831
Exciton, frame 54443 ran in:  16.129664182662964
Exciton, frame 54444 ran in:  15.451595306396484
Exciton, frame 54445 ran in:  16.577086448669434
Exciton, frame 54446 ran in:  16.466500997543335
Exciton, frame 54447 ran in:  16.48226547241211
Exciton, frame 54448 ran in:  15.866221904754639
Exciton, frame 54449 ran in:  14.772046089172363
Exciton, frame 54450 ran in:  15.210304021835327
Exciton, frame 54451 ran in:  15.447396039962769
Exciton, frame 54452 ran in:  15.021698236465454
Exciton, frame 54453 ran in:  15.141512155532837
Exciton, frame 54454 ran in:  15.184412479400635
Exciton, frame 54455 ran in:  15.352728843688965
Exciton, frame 54456 ran in:  16.694477558135986
Exciton, frame 54457 ran in:  15.247005462646484
Exciton, frame 54458 ran in:  15.140950202941895
Exciton, frame 54459 ran in:  16.06394100189209
Exciton, frame 54460 ran in:  15.302854299545288
Exciton, frame 54461 ran in:  16.643110036849976
Exciton, frame 54462 ran in:  14.734587669372559
Exciton, frame 54463 ran in:  15.03452205657959
Exciton, frame 54464 ran in:  15.93381953239441
Exciton, frame 54465 ran in:  14.66030740737915
Exciton, frame 54466 ran in:  15.695549488067627
Exciton, frame 54467 ran in:  15.613762855529785
Exciton, frame 54468 ran in:  15.85171365737915
Exciton, frame 54469 ran in:  15.527604341506958
Exciton, frame 54470 ran in:  15.750866174697876
Exciton, frame 54471 ran in:  15.900011539459229
Exciton, frame 54472 ran in:  16.178380727767944
Exciton, frame 54473 ran in:  15.7377290725708
Exciton, frame 54474 ran in:  16.389643669128418
Exciton, frame 54475 ran in:  16.028494834899902
Exciton, frame 54476 ran in:  16.005057334899902
Exciton, frame 54477 ran in:  15.417495012283325
Exciton, frame 54478 ran in:  15.762157201766968
Exciton, frame 54479 ran in:  15.751919031143188
Exciton, frame 54480 ran in:  16.071088790893555
Exciton, frame 54481 ran in:  17.101074695587158
Exciton, frame 54482 ran in:  16.07591223716736
Exciton, frame 54483 ran in:  16.672560214996338
Exciton, frame 54484 ran in:  15.915570974349976
Exciton, frame 54485 ran in:  15.864606857299805
Exciton, frame 54486 ran in:  15.23449444770813
Exciton, frame 54487 ran in:  16.108728408813477
Exciton, frame 54488 ran in:  14.587817192077637
Exciton, frame 54489 ran in:  15.698570489883423
Exciton, frame 54490 ran in:  15.426221132278442
Exciton, frame 54491 ran in:  15.560385942459106
Exciton, frame 54492 ran in:  14.864445447921753
Exciton, frame 54493 ran in:  15.732395887374878
Exciton, frame 54494 ran in:  15.779598236083984
Exciton, frame 54495 ran in:  16.500651836395264
Exciton, frame 54496 ran in:  15.693310022354126
Exciton, frame 54497 ran in:  15.640091180801392
Exciton, frame 54498 ran in:  16.077298164367676
Exciton, frame 54499 ran in:  16.751299381256104
Exciton, frame 54500 ran in:  15.599366426467896
Exciton, frame 54501 ran in:  15.541354179382324
Exciton, frame 54502 ran in:  16.452945947647095
Exciton, frame 54503 ran in:  15.847783327102661
Exciton, frame 54504 ran in:  15.644800186157227
Exciton, frame 54505 ran in:  14.738858461380005
Exciton, frame 54506 ran in:  15.712326049804688
Exciton, frame 54507 ran in:  15.190850973129272
Exciton, frame 54508 ran in:  15.757782220840454
Exciton, frame 54509 ran in:  15.680999279022217
Exciton, frame 54510 ran in:  14.1857008934021
Exciton, frame 54511 ran in:  15.742578268051147
Exciton, frame 54512 ran in:  15.776551246643066
Exciton, frame 54513 ran in:  15.913819789886475
Exciton, frame 54514 ran in:  16.86536741256714
Exciton, frame 54515 ran in:  15.520152568817139
Exciton, frame 54516 ran in:  16.15180993080139
Exciton, frame 54517 ran in:  15.788218021392822
Exciton, frame 54518 ran in:  15.341955661773682
Exciton, frame 54519 ran in:  16.73538303375244
Exciton, frame 54520 ran in:  16.216866493225098
Exciton, frame 54521 ran in:  16.050658464431763
Exciton, frame 54522 ran in:  16.33916449546814
Exciton, frame 54523 ran in:  16.341089963912964
Exciton, frame 54524 ran in:  16.113136053085327
Exciton, frame 54525 ran in:  16.85890793800354
Exciton, frame 54526 ran in:  16.437175512313843
Exciton, frame 54527 ran in:  15.171746969223022
Exciton, frame 54528 ran in:  15.41473126411438
Exciton, frame 54529 ran in:  14.975251197814941
Exciton, frame 54530 ran in:  15.672443151473999
Exciton, frame 54531 ran in:  15.401657581329346
Exciton, frame 54532 ran in:  15.945972681045532
Exciton, frame 54533 ran in:  15.512541055679321
Exciton, frame 54534 ran in:  15.970292568206787
Exciton, frame 54535 ran in:  15.069618225097656
Exciton, frame 54536 ran in:  15.934994220733643
Exciton, frame 54537 ran in:  16.061958074569702
Exciton, frame 54538 ran in:  15.37245512008667
Exciton, frame 54539 ran in:  16.195859670639038
Exciton, frame 54540 ran in:  15.737217426300049
Exciton, frame 54541 ran in:  15.558764219284058
Exciton, frame 54542 ran in:  15.855143308639526
Exciton, frame 54543 ran in:  15.935006380081177
Exciton, frame 54544 ran in:  15.00382947921753
Exciton, frame 54545 ran in:  15.598626136779785
