cpu-bind=MASK - bp1-compute155, task 4294967295 4294967295 [0]: mask 0xf000fffff000ffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.743730 secs
Exciton, frame 3240 ran in:  11.991092681884766
Exciton, frame 3241 ran in:  12.048022508621216
Exciton, frame 3242 ran in:  12.09834599494934
Exciton, frame 3243 ran in:  12.301010608673096
Exciton, frame 3244 ran in:  12.05786657333374
Exciton, frame 3245 ran in:  12.083410024642944
Exciton, frame 3246 ran in:  11.841533660888672
Exciton, frame 3247 ran in:  12.32607626914978
Exciton, frame 3248 ran in:  11.707154035568237
Exciton, frame 3249 ran in:  12.114862442016602
Exciton, frame 3250 ran in:  12.377413272857666
Exciton, frame 3251 ran in:  11.901753187179565
Exciton, frame 3252 ran in:  11.885813236236572
Exciton, frame 3253 ran in:  11.860206127166748
Exciton, frame 3254 ran in:  12.37935996055603
Exciton, frame 3255 ran in:  12.63610029220581
Exciton, frame 3256 ran in:  12.267486810684204
Exciton, frame 3257 ran in:  11.864012479782104
Exciton, frame 3258 ran in:  11.997039318084717
Exciton, frame 3259 ran in:  12.314157247543335
Exciton, frame 3260 ran in:  11.854610443115234
Exciton, frame 3261 ran in:  11.934059858322144
Exciton, frame 3262 ran in:  12.067620992660522
Exciton, frame 3263 ran in:  11.942410230636597
Exciton, frame 3264 ran in:  12.27125358581543
Exciton, frame 3265 ran in:  11.90795350074768
Exciton, frame 3266 ran in:  11.997836828231812
Exciton, frame 3267 ran in:  11.832127094268799
Exciton, frame 3268 ran in:  12.074014902114868
Exciton, frame 3269 ran in:  12.035881280899048
Exciton, frame 3270 ran in:  12.360921621322632
Exciton, frame 3271 ran in:  11.955950736999512
Exciton, frame 3272 ran in:  11.923036098480225
Exciton, frame 3273 ran in:  11.92490839958191
Exciton, frame 3274 ran in:  12.266217947006226
Exciton, frame 3275 ran in:  12.219791650772095
Exciton, frame 3276 ran in:  12.449498176574707
Exciton, frame 3277 ran in:  12.477704286575317
Exciton, frame 3278 ran in:  11.935967683792114
Exciton, frame 3279 ran in:  11.892518043518066
Exciton, frame 3280 ran in:  11.888429880142212
Exciton, frame 3281 ran in:  11.540419578552246
Exciton, frame 3282 ran in:  12.387906312942505
Exciton, frame 3283 ran in:  11.881030797958374
Exciton, frame 3284 ran in:  11.813866138458252
Exciton, frame 3285 ran in:  11.654261350631714
Exciton, frame 3286 ran in:  11.685064792633057
Exciton, frame 3287 ran in:  11.689570903778076
Exciton, frame 3288 ran in:  11.818587303161621
Exciton, frame 3289 ran in:  11.844013929367065
Exciton, frame 3290 ran in:  12.381003618240356
Exciton, frame 3291 ran in:  12.11075735092163
Exciton, frame 3292 ran in:  11.811672925949097
Exciton, frame 3293 ran in:  12.141046524047852
Exciton, frame 3294 ran in:  11.951690912246704
Exciton, frame 3295 ran in:  12.2094407081604
Exciton, frame 3296 ran in:  11.693412780761719
Exciton, frame 3297 ran in:  11.699237823486328
Exciton, frame 3298 ran in:  12.13403844833374
Exciton, frame 3299 ran in:  11.899145364761353
Exciton, frame 3300 ran in:  11.887758731842041
Exciton, frame 3301 ran in:  12.006733655929565
Exciton, frame 3302 ran in:  12.080686330795288
Exciton, frame 3303 ran in:  11.955380916595459
Exciton, frame 3304 ran in:  12.328258514404297
Exciton, frame 3305 ran in:  12.015172004699707
Exciton, frame 3306 ran in:  12.057037115097046
Exciton, frame 3307 ran in:  11.860558271408081
Exciton, frame 3308 ran in:  12.100520372390747
Exciton, frame 3309 ran in:  12.182311773300171
Exciton, frame 3310 ran in:  12.00846552848816
Exciton, frame 3311 ran in:  12.034215927124023
Exciton, frame 3312 ran in:  11.860304355621338
Exciton, frame 3313 ran in:  11.908116817474365
Exciton, frame 3314 ran in:  11.601184129714966
Exciton, frame 3315 ran in:  11.892430305480957
Exciton, frame 3316 ran in:  11.732789993286133
Exciton, frame 3317 ran in:  11.970208168029785
Exciton, frame 3318 ran in:  12.38336443901062
Exciton, frame 3319 ran in:  12.080782651901245
Exciton, frame 3320 ran in:  11.544013023376465
Exciton, frame 3321 ran in:  11.977514266967773
Exciton, frame 3322 ran in:  11.904123306274414
Exciton, frame 3323 ran in:  12.190700054168701
Exciton, frame 3324 ran in:  11.940314531326294
Exciton, frame 3325 ran in:  12.141602993011475
Exciton, frame 3326 ran in:  11.642328023910522
Exciton, frame 3327 ran in:  12.011436939239502
Exciton, frame 3328 ran in:  12.346297979354858
Exciton, frame 3329 ran in:  11.994037628173828
Exciton, frame 3330 ran in:  11.941680431365967
Exciton, frame 3331 ran in:  12.02352523803711
Exciton, frame 3332 ran in:  11.938798189163208
Exciton, frame 3333 ran in:  11.858301639556885
Exciton, frame 3334 ran in:  11.885460376739502
Exciton, frame 3335 ran in:  12.043975830078125
Exciton, frame 3336 ran in:  11.79447889328003
Exciton, frame 3337 ran in:  11.93259310722351
Exciton, frame 3338 ran in:  11.94807243347168
Exciton, frame 3339 ran in:  11.869210720062256
Exciton, frame 3340 ran in:  11.937003135681152
Exciton, frame 3341 ran in:  11.872293710708618
Exciton, frame 3342 ran in:  12.083055257797241
Exciton, frame 3343 ran in:  12.010729312896729
Exciton, frame 3344 ran in:  11.95406198501587
Exciton, frame 3345 ran in:  11.855315685272217
Exciton, frame 3346 ran in:  11.815441370010376
Exciton, frame 3347 ran in:  12.023326873779297
Exciton, frame 3348 ran in:  11.928941249847412
Exciton, frame 3349 ran in:  11.963801383972168
Exciton, frame 3350 ran in:  12.357237577438354
Exciton, frame 3351 ran in:  12.236339807510376
Exciton, frame 3352 ran in:  11.842185974121094
Exciton, frame 3353 ran in:  11.889275550842285
Exciton, frame 3354 ran in:  12.370633363723755
Exciton, frame 3355 ran in:  12.100846767425537
Exciton, frame 3356 ran in:  12.17227840423584
Exciton, frame 3357 ran in:  11.95450496673584
Exciton, frame 3358 ran in:  11.786964178085327
Exciton, frame 3359 ran in:  11.957016229629517
Exciton, frame 3360 ran in:  12.478971481323242
Exciton, frame 3361 ran in:  12.078680992126465
Exciton, frame 3362 ran in:  11.924785137176514
Exciton, frame 3363 ran in:  12.18308711051941
Exciton, frame 3364 ran in:  11.741140365600586
Exciton, frame 3365 ran in:  11.872607946395874
Exciton, frame 3366 ran in:  11.687066555023193
Exciton, frame 3367 ran in:  12.639912366867065
Exciton, frame 3368 ran in:  11.802684783935547
Exciton, frame 3369 ran in:  12.029466390609741
Exciton, frame 3370 ran in:  11.849004745483398
Exciton, frame 3371 ran in:  11.715959310531616
Exciton, frame 3372 ran in:  12.09724497795105
Exciton, frame 3373 ran in:  11.902698278427124
Exciton, frame 3374 ran in:  12.154685258865356
Exciton, frame 3375 ran in:  12.147766828536987
Exciton, frame 3376 ran in:  11.934031009674072
Exciton, frame 3377 ran in:  12.017072200775146
Exciton, frame 3378 ran in:  12.34705400466919
Exciton, frame 3379 ran in:  11.893718957901001
Exciton, frame 3380 ran in:  11.877642154693604
Exciton, frame 3381 ran in:  12.027169227600098
Exciton, frame 3382 ran in:  11.680794954299927
Exciton, frame 3383 ran in:  11.972618103027344
Exciton, frame 3384 ran in:  11.829280376434326
Exciton, frame 3385 ran in:  11.48769998550415
Exciton, frame 3386 ran in:  11.811095476150513
Exciton, frame 3387 ran in:  11.902491807937622
Exciton, frame 3388 ran in:  11.753900527954102
Exciton, frame 3389 ran in:  11.697181701660156
Exciton, frame 3390 ran in:  11.789780855178833
Exciton, frame 3391 ran in:  12.061629056930542
Exciton, frame 3392 ran in:  11.876759052276611
Exciton, frame 3393 ran in:  11.893126964569092
Exciton, frame 3394 ran in:  11.963097095489502
Exciton, frame 3395 ran in:  11.81096076965332
Exciton, frame 3396 ran in:  12.296486139297485
Exciton, frame 3397 ran in:  11.518460273742676
Exciton, frame 3398 ran in:  11.929271697998047
Exciton, frame 3399 ran in:  11.887300729751587
Exciton, frame 3400 ran in:  11.84911584854126
Exciton, frame 3401 ran in:  11.757367610931396
Exciton, frame 3402 ran in:  11.906338691711426
Exciton, frame 3403 ran in:  11.79250431060791
Exciton, frame 3404 ran in:  11.861310720443726
Exciton, frame 3405 ran in:  11.851235389709473
Exciton, frame 3406 ran in:  11.858763217926025
Exciton, frame 3407 ran in:  12.00955605506897
Exciton, frame 3408 ran in:  12.203593969345093
Exciton, frame 3409 ran in:  12.01602840423584
Exciton, frame 3410 ran in:  11.797311067581177
Exciton, frame 3411 ran in:  12.085691928863525
Exciton, frame 3412 ran in:  11.798235654830933
Exciton, frame 3413 ran in:  11.928367137908936
Exciton, frame 3414 ran in:  11.801388025283813
Exciton, frame 3415 ran in:  11.858113765716553
Exciton, frame 3416 ran in:  11.650357007980347
Exciton, frame 3417 ran in:  11.929902791976929
Exciton, frame 3418 ran in:  11.62158489227295
Exciton, frame 3419 ran in:  12.081199169158936
Exciton, frame 3420 ran in:  11.608327627182007
Exciton, frame 3421 ran in:  12.131046056747437
Exciton, frame 3422 ran in:  11.977501153945923
Exciton, frame 3423 ran in:  12.013057708740234
Exciton, frame 3424 ran in:  12.074732303619385
Exciton, frame 3425 ran in:  12.261061668395996
Exciton, frame 3426 ran in:  11.778932809829712
Exciton, frame 3427 ran in:  12.00022578239441
Exciton, frame 3428 ran in:  11.966612339019775
Exciton, frame 3429 ran in:  11.873351812362671
Exciton, frame 3430 ran in:  12.058486700057983
Exciton, frame 3431 ran in:  11.82370924949646
Exciton, frame 3432 ran in:  12.408362865447998
Exciton, frame 3433 ran in:  12.01623272895813
Exciton, frame 3434 ran in:  12.160062313079834
Exciton, frame 3435 ran in:  11.934083223342896
Exciton, frame 3436 ran in:  11.94310975074768
Exciton, frame 3437 ran in:  11.764019966125488
