cpu-bind=MASK - bp1-compute038, task 4294967295 4294967295 [0]: mask 0xff0fffff0fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.268157 secs
Exciton, frame 147407 ran in:  12.131023406982422
Exciton, frame 147408 ran in:  11.301164627075195
Exciton, frame 147409 ran in:  11.228827238082886
Exciton, frame 147410 ran in:  10.953935861587524
Exciton, frame 147411 ran in:  11.380249500274658
Exciton, frame 147412 ran in:  10.963442087173462
Exciton, frame 147413 ran in:  10.923420429229736
Exciton, frame 147414 ran in:  11.265079498291016
Exciton, frame 147415 ran in:  10.973034143447876
Exciton, frame 147416 ran in:  11.302215576171875
Exciton, frame 147417 ran in:  10.99703860282898
Exciton, frame 147418 ran in:  11.040239095687866
Exciton, frame 147419 ran in:  11.295501470565796
Exciton, frame 147420 ran in:  11.228653192520142
Exciton, frame 147421 ran in:  10.90329384803772
Exciton, frame 147422 ran in:  10.972423315048218
Exciton, frame 147423 ran in:  11.00126314163208
Exciton, frame 147424 ran in:  11.141189098358154
Exciton, frame 147425 ran in:  10.96611213684082
Exciton, frame 147426 ran in:  11.084915161132812
Exciton, frame 147427 ran in:  10.876554727554321
Exciton, frame 147428 ran in:  11.381575584411621
Exciton, frame 147429 ran in:  10.858136892318726
Exciton, frame 147430 ran in:  11.005382061004639
Exciton, frame 147431 ran in:  11.151897192001343
Exciton, frame 147432 ran in:  10.884707689285278
Exciton, frame 147433 ran in:  11.23965859413147
Exciton, frame 147434 ran in:  11.220986604690552
Exciton, frame 147435 ran in:  11.46263861656189
Exciton, frame 147436 ran in:  11.192718267440796
Exciton, frame 147437 ran in:  11.084675788879395
Exciton, frame 147438 ran in:  10.806729316711426
Exciton, frame 147439 ran in:  10.996148586273193
Exciton, frame 147440 ran in:  10.582780838012695
Exciton, frame 147441 ran in:  10.722885131835938
Exciton, frame 147442 ran in:  10.835747718811035
Exciton, frame 147443 ran in:  11.046786546707153
Exciton, frame 147444 ran in:  10.82936692237854
Exciton, frame 147445 ran in:  10.750871419906616
Exciton, frame 147446 ran in:  11.561214208602905
Exciton, frame 147447 ran in:  11.222082614898682
Exciton, frame 147448 ran in:  11.329518556594849
Exciton, frame 147449 ran in:  11.512720108032227
Exciton, frame 147450 ran in:  10.867084503173828
Exciton, frame 147451 ran in:  10.535186290740967
Exciton, frame 147452 ran in:  10.507728099822998
Exciton, frame 147453 ran in:  10.844624996185303
Exciton, frame 147454 ran in:  11.448657751083374
Exciton, frame 147455 ran in:  11.030142307281494
Exciton, frame 147456 ran in:  11.151965618133545
Exciton, frame 147457 ran in:  11.492090463638306
Exciton, frame 147458 ran in:  11.005003452301025
Exciton, frame 147459 ran in:  10.974485397338867
Exciton, frame 147460 ran in:  11.348919153213501
Exciton, frame 147461 ran in:  11.180347204208374
Exciton, frame 147462 ran in:  10.975594758987427
Exciton, frame 147463 ran in:  11.358639478683472
Exciton, frame 147464 ran in:  10.724623918533325
Exciton, frame 147465 ran in:  11.106996059417725
Exciton, frame 147466 ran in:  11.05571699142456
Exciton, frame 147467 ran in:  10.85177493095398
Exciton, frame 147468 ran in:  11.032972574234009
Exciton, frame 147469 ran in:  11.381845712661743
Exciton, frame 147470 ran in:  10.717865228652954
Exciton, frame 147471 ran in:  11.452112913131714
Exciton, frame 147472 ran in:  11.170798778533936
Exciton, frame 147473 ran in:  11.34123969078064
Exciton, frame 147474 ran in:  11.085594892501831
Exciton, frame 147475 ran in:  11.150940418243408
Exciton, frame 147476 ran in:  11.065384864807129
Exciton, frame 147477 ran in:  11.045008420944214
Exciton, frame 147478 ran in:  10.758277654647827
Exciton, frame 147479 ran in:  11.426602125167847
Exciton, frame 147480 ran in:  11.783104658126831
Exciton, frame 147481 ran in:  11.165432929992676
Exciton, frame 147482 ran in:  10.995463609695435
Exciton, frame 147483 ran in:  11.192241191864014
Exciton, frame 147484 ran in:  11.320557832717896
Exciton, frame 147485 ran in:  10.961928367614746
Exciton, frame 147486 ran in:  11.426184177398682
Exciton, frame 147487 ran in:  11.741145849227905
Exciton, frame 147488 ran in:  11.129962921142578
Exciton, frame 147489 ran in:  10.802810668945312
Exciton, frame 147490 ran in:  11.383535861968994
Exciton, frame 147491 ran in:  10.7476487159729
Exciton, frame 147492 ran in:  11.206014156341553
Exciton, frame 147493 ran in:  11.009016513824463
Exciton, frame 147494 ran in:  10.95370602607727
Exciton, frame 147495 ran in:  10.684592247009277
Exciton, frame 147496 ran in:  10.962340354919434
Exciton, frame 147497 ran in:  11.029298067092896
Exciton, frame 147498 ran in:  11.144864797592163
Exciton, frame 147499 ran in:  10.939793586730957
Exciton, frame 147500 ran in:  11.107869386672974
Exciton, frame 147501 ran in:  11.092212200164795
Exciton, frame 147502 ran in:  11.275707006454468
Exciton, frame 147503 ran in:  10.990110397338867
Exciton, frame 147504 ran in:  12.078373908996582
Exciton, frame 147505 ran in:  11.194659233093262
Exciton, frame 147506 ran in:  11.329455375671387
Exciton, frame 147507 ran in:  11.142085075378418
Exciton, frame 147508 ran in:  11.517612218856812
Exciton, frame 147509 ran in:  11.177969694137573
Exciton, frame 147510 ran in:  11.572656393051147
Exciton, frame 147511 ran in:  11.198638439178467
Exciton, frame 147512 ran in:  11.322283267974854
Exciton, frame 147513 ran in:  10.990533828735352
Exciton, frame 147514 ran in:  11.205651760101318
Exciton, frame 147515 ran in:  10.96495270729065
Exciton, frame 147516 ran in:  11.00969934463501
Exciton, frame 147517 ran in:  12.067894697189331
Exciton, frame 147518 ran in:  10.901426315307617
Exciton, frame 147519 ran in:  10.907705307006836
Exciton, frame 147520 ran in:  10.995566606521606
Exciton, frame 147521 ran in:  11.224622011184692
Exciton, frame 147522 ran in:  11.437208890914917
Exciton, frame 147523 ran in:  11.175303936004639
Exciton, frame 147524 ran in:  11.20989727973938
Exciton, frame 147525 ran in:  10.983650207519531
Exciton, frame 147526 ran in:  10.991394519805908
Exciton, frame 147527 ran in:  10.845438718795776
Exciton, frame 147528 ran in:  11.297765254974365
Exciton, frame 147529 ran in:  11.103777408599854
Exciton, frame 147530 ran in:  11.318334102630615
Exciton, frame 147531 ran in:  10.93051552772522
Exciton, frame 147532 ran in:  10.704225540161133
Exciton, frame 147533 ran in:  11.023027658462524
Exciton, frame 147534 ran in:  11.017186880111694
Exciton, frame 147535 ran in:  11.808797121047974
Exciton, frame 147536 ran in:  11.47161054611206
Exciton, frame 147537 ran in:  10.79451298713684
Exciton, frame 147538 ran in:  10.996110439300537
Exciton, frame 147539 ran in:  10.983069896697998
Exciton, frame 147540 ran in:  10.868157148361206
Exciton, frame 147541 ran in:  10.974215507507324
Exciton, frame 147542 ran in:  10.819918632507324
Exciton, frame 147543 ran in:  10.949060440063477
Exciton, frame 147544 ran in:  11.091110944747925
Exciton, frame 147545 ran in:  10.525886535644531
Exciton, frame 147546 ran in:  10.906708002090454
Exciton, frame 147547 ran in:  11.0667405128479
Exciton, frame 147548 ran in:  11.056050062179565
Exciton, frame 147549 ran in:  10.986834287643433
Exciton, frame 147550 ran in:  10.846535205841064
Exciton, frame 147551 ran in:  10.701897382736206
Exciton, frame 147552 ran in:  11.103312730789185
Exciton, frame 147553 ran in:  11.054374933242798
Exciton, frame 147554 ran in:  11.252877235412598
Exciton, frame 147555 ran in:  10.645628690719604
Exciton, frame 147556 ran in:  11.174796342849731
