cpu-bind=MASK - bp1-compute065, task 4294967295 4294967295 [0]: mask 0xffdfdcffdfdc set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 23.691583 secs
Exciton, frame 48229 ran in:  12.864901781082153
Exciton, frame 48230 ran in:  12.962055206298828
Exciton, frame 48231 ran in:  12.652242660522461
Exciton, frame 48232 ran in:  12.944809675216675
Exciton, frame 48233 ran in:  12.874763250350952
Exciton, frame 48234 ran in:  13.223366260528564
Exciton, frame 48235 ran in:  12.890085935592651
Exciton, frame 48236 ran in:  12.515695810317993
Exciton, frame 48237 ran in:  13.166711568832397
Exciton, frame 48238 ran in:  12.639020919799805
Exciton, frame 48239 ran in:  12.547291994094849
Exciton, frame 48240 ran in:  13.192179203033447
Exciton, frame 48241 ran in:  13.123064994812012
Exciton, frame 48242 ran in:  13.19617748260498
Exciton, frame 48243 ran in:  12.860382795333862
Exciton, frame 48244 ran in:  12.962760210037231
Exciton, frame 48245 ran in:  12.686024904251099
Exciton, frame 48246 ran in:  12.632551670074463
Exciton, frame 48247 ran in:  12.614746332168579
Exciton, frame 48248 ran in:  12.676365852355957
Exciton, frame 48249 ran in:  13.085383653640747
Exciton, frame 48250 ran in:  12.89299750328064
Exciton, frame 48251 ran in:  13.01371431350708
Exciton, frame 48252 ran in:  12.785341262817383
Exciton, frame 48253 ran in:  12.928476333618164
Exciton, frame 48254 ran in:  12.792270183563232
Exciton, frame 48255 ran in:  13.197059154510498
Exciton, frame 48256 ran in:  13.100053787231445
Exciton, frame 48257 ran in:  13.088693857192993
Exciton, frame 48258 ran in:  12.930169343948364
Exciton, frame 48259 ran in:  12.33984375
Exciton, frame 48260 ran in:  12.96234941482544
Exciton, frame 48261 ran in:  13.335835695266724
Exciton, frame 48262 ran in:  13.029139280319214
Exciton, frame 48263 ran in:  12.738455295562744
Exciton, frame 48264 ran in:  12.730428695678711
Exciton, frame 48265 ran in:  12.87647533416748
Exciton, frame 48266 ran in:  13.09682846069336
Exciton, frame 48267 ran in:  13.115861415863037
Exciton, frame 48268 ran in:  12.8038489818573
Exciton, frame 48269 ran in:  12.539427995681763
Exciton, frame 48270 ran in:  12.429548263549805
Exciton, frame 48271 ran in:  12.190426111221313
Exciton, frame 48272 ran in:  12.318878412246704
Exciton, frame 48273 ran in:  12.504772901535034
Exciton, frame 48274 ran in:  13.182993650436401
Exciton, frame 48275 ran in:  11.893565893173218
Exciton, frame 48276 ran in:  13.365273714065552
Exciton, frame 48277 ran in:  12.762365102767944
Exciton, frame 48278 ran in:  12.713284730911255
Exciton, frame 48279 ran in:  12.372823476791382
Exciton, frame 48280 ran in:  13.504414558410645
Exciton, frame 48281 ran in:  12.698009252548218
Exciton, frame 48282 ran in:  12.916295051574707
Exciton, frame 48283 ran in:  12.90986943244934
Exciton, frame 48284 ran in:  12.486623048782349
Exciton, frame 48285 ran in:  13.429710149765015
Exciton, frame 48286 ran in:  12.785570621490479
Exciton, frame 48287 ran in:  12.968394994735718
Exciton, frame 48288 ran in:  12.68016266822815
Exciton, frame 48289 ran in:  12.409022808074951
Exciton, frame 48290 ran in:  13.252209663391113
Exciton, frame 48291 ran in:  12.113526821136475
Exciton, frame 48292 ran in:  12.146672487258911
Exciton, frame 48293 ran in:  12.566760778427124
Exciton, frame 48294 ran in:  13.014286994934082
Exciton, frame 48295 ran in:  12.698145151138306
Exciton, frame 48296 ran in:  13.058910131454468
Exciton, frame 48297 ran in:  12.990658044815063
Exciton, frame 48298 ran in:  12.705241680145264
Exciton, frame 48299 ran in:  12.491393804550171
Exciton, frame 48300 ran in:  12.334356546401978
Exciton, frame 48301 ran in:  13.307637691497803
Exciton, frame 48302 ran in:  12.908645868301392
Exciton, frame 48303 ran in:  13.13417387008667
Exciton, frame 48304 ran in:  12.970202207565308
Exciton, frame 48305 ran in:  12.791868925094604
Exciton, frame 48306 ran in:  12.89447569847107
