cpu-bind=MASK - bp1-compute126, task 4294967295 4294967295 [0]: mask 0xff9edfff9edf set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 23.997831 secs
Exciton, frame 99532 ran in:  12.879669904708862
Exciton, frame 99533 ran in:  13.091625690460205
Exciton, frame 99534 ran in:  13.157555341720581
Exciton, frame 99535 ran in:  13.146728515625
Exciton, frame 99536 ran in:  13.092503547668457
Exciton, frame 99537 ran in:  13.196619510650635
Exciton, frame 99538 ran in:  13.079251289367676
Exciton, frame 99539 ran in:  13.077714443206787
Exciton, frame 99540 ran in:  13.079084396362305
Exciton, frame 99541 ran in:  13.07735562324524
Exciton, frame 99542 ran in:  12.715186595916748
Exciton, frame 99543 ran in:  12.782813310623169
Exciton, frame 99544 ran in:  13.0321524143219
Exciton, frame 99545 ran in:  13.058154106140137
Exciton, frame 99546 ran in:  13.054100275039673
Exciton, frame 99547 ran in:  12.702317953109741
Exciton, frame 99548 ran in:  12.899146556854248
Exciton, frame 99549 ran in:  12.867068767547607
Exciton, frame 99550 ran in:  13.244727611541748
Exciton, frame 99551 ran in:  13.163618803024292
Exciton, frame 99552 ran in:  13.360997676849365
Exciton, frame 99553 ran in:  13.04234266281128
Exciton, frame 99554 ran in:  12.839479684829712
Exciton, frame 99555 ran in:  12.829107999801636
Exciton, frame 99556 ran in:  13.126749753952026
Exciton, frame 99557 ran in:  12.941113948822021
Exciton, frame 99558 ran in:  12.91815185546875
Exciton, frame 99559 ran in:  12.784159660339355
Exciton, frame 99560 ran in:  12.937482118606567
Exciton, frame 99561 ran in:  13.163007497787476
Exciton, frame 99562 ran in:  12.881082534790039
Exciton, frame 99563 ran in:  12.779942989349365
Exciton, frame 99564 ran in:  13.000564813613892
Exciton, frame 99565 ran in:  13.127928495407104
Exciton, frame 99566 ran in:  12.828298568725586
