cpu-bind=MASK - bp1-compute093, task 4294967295 4294967295 [0]: mask 0xf78ffff78fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 19.090245 secs
Exciton, frame 36373 ran in:  11.994768619537354
Exciton, frame 36374 ran in:  11.845269918441772
Exciton, frame 36375 ran in:  11.758049726486206
Exciton, frame 36376 ran in:  12.258825063705444
Exciton, frame 36377 ran in:  11.846040725708008
Exciton, frame 36378 ran in:  12.133348226547241
Exciton, frame 36379 ran in:  12.14479374885559
Exciton, frame 36380 ran in:  12.305174827575684
Exciton, frame 36381 ran in:  11.715957403182983
Exciton, frame 36382 ran in:  11.954925060272217
Exciton, frame 36383 ran in:  12.052978038787842
Exciton, frame 36384 ran in:  11.978067874908447
Exciton, frame 36385 ran in:  12.146706342697144
Exciton, frame 36386 ran in:  11.888939142227173
Exciton, frame 36387 ran in:  11.934778451919556
Exciton, frame 36388 ran in:  11.806824684143066
Exciton, frame 36389 ran in:  11.89911413192749
Exciton, frame 36390 ran in:  11.962340831756592
Exciton, frame 36391 ran in:  11.702441453933716
Exciton, frame 36392 ran in:  12.029417753219604
Exciton, frame 36393 ran in:  12.27971863746643
Exciton, frame 36394 ran in:  12.125873327255249
Exciton, frame 36395 ran in:  11.823489904403687
Exciton, frame 36396 ran in:  12.099979639053345
Exciton, frame 36397 ran in:  12.01491093635559
Exciton, frame 36398 ran in:  12.489604234695435
Exciton, frame 36399 ran in:  12.268277645111084
Exciton, frame 36400 ran in:  12.191397428512573
Exciton, frame 36401 ran in:  11.606417894363403
Exciton, frame 36402 ran in:  11.926749467849731
Exciton, frame 36403 ran in:  12.140425205230713
Exciton, frame 36404 ran in:  12.046945810317993
Exciton, frame 36405 ran in:  11.979999542236328
Exciton, frame 36406 ran in:  11.737670183181763
Exciton, frame 36407 ran in:  11.696916818618774
Exciton, frame 36408 ran in:  12.513734579086304
Exciton, frame 36409 ran in:  11.957829713821411
Exciton, frame 36410 ran in:  11.729694843292236
Exciton, frame 36411 ran in:  11.986775398254395
Exciton, frame 36412 ran in:  12.550535917282104
Exciton, frame 36413 ran in:  12.084516763687134
Exciton, frame 36414 ran in:  12.121492385864258
Exciton, frame 36415 ran in:  12.004598379135132
Exciton, frame 36416 ran in:  11.850270986557007
Exciton, frame 36417 ran in:  12.164883852005005
Exciton, frame 36418 ran in:  12.13008427619934
Exciton, frame 36419 ran in:  11.79661250114441
Exciton, frame 36420 ran in:  11.419303178787231
Exciton, frame 36421 ran in:  12.173339128494263
Exciton, frame 36422 ran in:  12.04320216178894
Exciton, frame 36423 ran in:  12.710639953613281
Exciton, frame 36424 ran in:  11.890094995498657
Exciton, frame 36425 ran in:  12.224905252456665
Exciton, frame 36426 ran in:  11.932199478149414
Exciton, frame 36427 ran in:  12.268839597702026
Exciton, frame 36428 ran in:  11.835277080535889
Exciton, frame 36429 ran in:  13.301653861999512
Exciton, frame 36430 ran in:  12.45834994316101
Exciton, frame 36431 ran in:  12.250818490982056
Exciton, frame 36432 ran in:  12.125062227249146
Exciton, frame 36433 ran in:  11.828181982040405
Exciton, frame 36434 ran in:  12.092270374298096
Exciton, frame 36435 ran in:  12.003303527832031
Exciton, frame 36436 ran in:  11.741478204727173
Exciton, frame 36437 ran in:  12.366554975509644
Exciton, frame 36438 ran in:  11.595011234283447
Exciton, frame 36439 ran in:  12.14335584640503
Exciton, frame 36440 ran in:  11.919301509857178
Exciton, frame 36441 ran in:  12.202453851699829
Exciton, frame 36442 ran in:  11.96369743347168
Exciton, frame 36443 ran in:  11.980533838272095
Exciton, frame 36444 ran in:  11.850790977478027
Exciton, frame 36445 ran in:  12.208658933639526
Exciton, frame 36446 ran in:  12.073508262634277
Exciton, frame 36447 ran in:  12.648561239242554
Exciton, frame 36448 ran in:  11.74611783027649
Exciton, frame 36449 ran in:  11.758486270904541
Exciton, frame 36450 ran in:  12.375509977340698
Exciton, frame 36451 ran in:  12.087275981903076
Exciton, frame 36452 ran in:  11.892098665237427
Exciton, frame 36453 ran in:  12.05729627609253
Exciton, frame 36454 ran in:  12.134288787841797
Exciton, frame 36455 ran in:  12.415539503097534
Exciton, frame 36456 ran in:  11.934585809707642
Exciton, frame 36457 ran in:  12.036286354064941
Exciton, frame 36458 ran in:  11.701915979385376
Exciton, frame 36459 ran in:  12.133434772491455
Exciton, frame 36460 ran in:  11.863054513931274
Exciton, frame 36461 ran in:  11.803597450256348
Exciton, frame 36462 ran in:  12.258950471878052
Exciton, frame 36463 ran in:  11.841572999954224
Exciton, frame 36464 ran in:  11.769465684890747
Exciton, frame 36465 ran in:  11.88472294807434
Exciton, frame 36466 ran in:  12.039732694625854
Exciton, frame 36467 ran in:  12.26435661315918
Exciton, frame 36468 ran in:  12.096086025238037
Exciton, frame 36469 ran in:  12.535965919494629
Exciton, frame 36470 ran in:  12.137224674224854
Exciton, frame 36471 ran in:  11.727923393249512
Exciton, frame 36472 ran in:  12.41516923904419
Exciton, frame 36473 ran in:  12.07889199256897
Exciton, frame 36474 ran in:  11.798489570617676
Exciton, frame 36475 ran in:  11.786863088607788
Exciton, frame 36476 ran in:  11.976430416107178
Exciton, frame 36477 ran in:  12.131159782409668
Exciton, frame 36478 ran in:  11.904595613479614
Exciton, frame 36479 ran in:  12.121824502944946
Exciton, frame 36480 ran in:  12.23422622680664
Exciton, frame 36481 ran in:  11.444605588912964
Exciton, frame 36482 ran in:  12.096792936325073
Exciton, frame 36483 ran in:  12.050701379776001
Exciton, frame 36484 ran in:  12.055309534072876
Exciton, frame 36485 ran in:  12.436125755310059
Exciton, frame 36486 ran in:  12.244205236434937
Exciton, frame 36487 ran in:  12.123775243759155
Exciton, frame 36488 ran in:  11.770053386688232
Exciton, frame 36489 ran in:  11.938565969467163
Exciton, frame 36490 ran in:  11.86890435218811
Exciton, frame 36491 ran in:  11.79195499420166
Exciton, frame 36492 ran in:  12.127606391906738
Exciton, frame 36493 ran in:  11.706591844558716
Exciton, frame 36494 ran in:  11.95211386680603
Exciton, frame 36495 ran in:  11.81194257736206
Exciton, frame 36496 ran in:  11.754538297653198
Exciton, frame 36497 ran in:  11.98909306526184
Exciton, frame 36498 ran in:  12.08478593826294
Exciton, frame 36499 ran in:  11.836394309997559
Exciton, frame 36500 ran in:  12.170717477798462
Exciton, frame 36501 ran in:  12.153682470321655
Exciton, frame 36502 ran in:  11.470409631729126
Exciton, frame 36503 ran in:  11.649726867675781
Exciton, frame 36504 ran in:  11.866423845291138
Exciton, frame 36505 ran in:  11.955551862716675
Exciton, frame 36506 ran in:  11.844502449035645
Exciton, frame 36507 ran in:  11.833341598510742
Exciton, frame 36508 ran in:  12.551423072814941
Exciton, frame 36509 ran in:  11.542832851409912
Exciton, frame 36510 ran in:  11.858852624893188
Exciton, frame 36511 ran in:  12.005289316177368
Exciton, frame 36512 ran in:  12.211284875869751
Exciton, frame 36513 ran in:  11.84524941444397
Exciton, frame 36514 ran in:  12.028647899627686
Exciton, frame 36515 ran in:  12.395212888717651
Exciton, frame 36516 ran in:  11.892361164093018
Exciton, frame 36517 ran in:  12.2758948802948
Exciton, frame 36518 ran in:  11.924656867980957
Exciton, frame 36519 ran in:  12.09229326248169
Exciton, frame 36520 ran in:  12.017616033554077
Exciton, frame 36521 ran in:  12.28476357460022
Exciton, frame 36522 ran in:  11.988853454589844
Exciton, frame 36523 ran in:  12.705336093902588
Exciton, frame 36524 ran in:  12.271208763122559
Exciton, frame 36525 ran in:  11.830343246459961
Exciton, frame 36526 ran in:  12.204336881637573
Exciton, frame 36527 ran in:  11.81498408317566
Exciton, frame 36528 ran in:  12.205231666564941
Exciton, frame 36529 ran in:  12.035448789596558
Exciton, frame 36530 ran in:  11.708701372146606
Exciton, frame 36531 ran in:  12.108240842819214
Exciton, frame 36532 ran in:  11.996790170669556
Exciton, frame 36533 ran in:  11.982261657714844
Exciton, frame 36534 ran in:  11.913839101791382
Exciton, frame 36535 ran in:  11.797251462936401
Exciton, frame 36536 ran in:  11.873130798339844
Exciton, frame 36537 ran in:  12.933942079544067
Exciton, frame 36538 ran in:  12.30243968963623
Exciton, frame 36539 ran in:  12.100664854049683
Exciton, frame 36540 ran in:  11.970082998275757
Exciton, frame 36541 ran in:  11.938953399658203
Exciton, frame 36542 ran in:  12.010945796966553
Exciton, frame 36543 ran in:  12.109422445297241
Exciton, frame 36544 ran in:  11.879082679748535
Exciton, frame 36545 ran in:  11.69737195968628
Exciton, frame 36546 ran in:  12.113377809524536
Exciton, frame 36547 ran in:  11.854694128036499
Exciton, frame 36548 ran in:  11.88111686706543
Exciton, frame 36549 ran in:  12.128348112106323
Exciton, frame 36550 ran in:  12.068278074264526
Exciton, frame 36551 ran in:  12.039902210235596
Exciton, frame 36552 ran in:  11.876780271530151
Exciton, frame 36553 ran in:  12.079921960830688
Exciton, frame 36554 ran in:  12.151491165161133
Exciton, frame 36555 ran in:  11.987509965896606
Exciton, frame 36556 ran in:  12.001558065414429
Exciton, frame 36557 ran in:  11.929415225982666
Exciton, frame 36558 ran in:  11.895143270492554
Exciton, frame 36559 ran in:  11.916216850280762
Exciton, frame 36560 ran in:  12.180278539657593
Exciton, frame 36561 ran in:  11.697866916656494
Exciton, frame 36562 ran in:  12.522306680679321
Exciton, frame 36563 ran in:  11.93981671333313
Exciton, frame 36564 ran in:  11.715675830841064
Exciton, frame 36565 ran in:  11.866890668869019
Exciton, frame 36566 ran in:  13.31318712234497
