cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0x107f9fe0000000013000000000000000107f9fe000000001300000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 13.874515 secs
Exciton, frame 60353 ran in:  17.32999873161316
Exciton, frame 60354 ran in:  17.940306663513184
Exciton, frame 60355 ran in:  18.720794677734375
Exciton, frame 60356 ran in:  18.777926206588745
Exciton, frame 60357 ran in:  17.40531587600708
Exciton, frame 60358 ran in:  17.866334915161133
Exciton, frame 60359 ran in:  18.119361639022827
Exciton, frame 60360 ran in:  18.12878680229187
Exciton, frame 60361 ran in:  18.453483819961548
Exciton, frame 60362 ran in:  17.214908838272095
Exciton, frame 60363 ran in:  17.407082319259644
Exciton, frame 60364 ran in:  18.666810750961304
Exciton, frame 60365 ran in:  17.731082916259766
Exciton, frame 60366 ran in:  18.31323552131653
Exciton, frame 60367 ran in:  18.79722261428833
Exciton, frame 60368 ran in:  16.903658866882324
Exciton, frame 60369 ran in:  17.64897871017456
Exciton, frame 60370 ran in:  16.69463038444519
Exciton, frame 60371 ran in:  17.83779549598694
Exciton, frame 60372 ran in:  18.421448230743408
Exciton, frame 60373 ran in:  16.332252502441406
Exciton, frame 60374 ran in:  16.342744827270508
Exciton, frame 60375 ran in:  17.28244400024414
Exciton, frame 60376 ran in:  17.4097797870636
Exciton, frame 60377 ran in:  17.50769591331482
Exciton, frame 60378 ran in:  17.347333908081055
Exciton, frame 60379 ran in:  18.913840532302856
Exciton, frame 60380 ran in:  18.415990114212036
Exciton, frame 60381 ran in:  16.14240860939026
Exciton, frame 60382 ran in:  22.88132929801941
Exciton, frame 60383 ran in:  17.644760608673096
Exciton, frame 60384 ran in:  17.261540412902832
Exciton, frame 60385 ran in:  17.058887004852295
Exciton, frame 60386 ran in:  17.510568141937256
Exciton, frame 60387 ran in:  17.045227527618408
Exciton, frame 60388 ran in:  17.58064103126526
Exciton, frame 60389 ran in:  16.205859661102295
Exciton, frame 60390 ran in:  17.217103719711304
Exciton, frame 60391 ran in:  16.909363746643066
Exciton, frame 60392 ran in:  17.91952919960022
Exciton, frame 60393 ran in:  15.682410478591919
Exciton, frame 60394 ran in:  17.237192630767822
Exciton, frame 60395 ran in:  18.17672324180603
Exciton, frame 60396 ran in:  19.171082735061646
Exciton, frame 60397 ran in:  17.540030479431152
Exciton, frame 60398 ran in:  16.88998794555664
Exciton, frame 60399 ran in:  17.34967803955078
Exciton, frame 60400 ran in:  17.95111322402954
Exciton, frame 60401 ran in:  19.13560938835144
Exciton, frame 60402 ran in:  18.567113876342773
Exciton, frame 60403 ran in:  17.06154990196228
Exciton, frame 60404 ran in:  18.741312503814697
Exciton, frame 60405 ran in:  16.444778203964233
Exciton, frame 60406 ran in:  16.38203763961792
Exciton, frame 60407 ran in:  16.970092296600342
Exciton, frame 60408 ran in:  16.708584547042847
Exciton, frame 60409 ran in:  17.224469661712646
Exciton, frame 60410 ran in:  17.888518571853638
Exciton, frame 60411 ran in:  18.122212648391724
Exciton, frame 60412 ran in:  18.3977370262146
Exciton, frame 60413 ran in:  17.56417989730835
Exciton, frame 60414 ran in:  17.10698938369751
Exciton, frame 60415 ran in:  16.224085330963135
Exciton, frame 60416 ran in:  17.507413387298584
Exciton, frame 60417 ran in:  18.687222480773926
Exciton, frame 60418 ran in:  18.5773823261261
Exciton, frame 60419 ran in:  17.23057532310486
Exciton, frame 60420 ran in:  16.620773553848267
Exciton, frame 60421 ran in:  17.672897815704346
Exciton, frame 60422 ran in:  17.83642554283142
Exciton, frame 60423 ran in:  17.064340829849243
Exciton, frame 60424 ran in:  18.73941445350647
Exciton, frame 60425 ran in:  18.851569890975952
Exciton, frame 60426 ran in:  17.346246242523193
Exciton, frame 60427 ran in:  17.772919178009033
Exciton, frame 60428 ran in:  18.11863613128662
Exciton, frame 60429 ran in:  19.25109076499939
Exciton, frame 60430 ran in:  17.926323890686035
Exciton, frame 60431 ran in:  16.42179822921753
Exciton, frame 60432 ran in:  17.207812786102295
Exciton, frame 60433 ran in:  19.087112188339233
Exciton, frame 60434 ran in:  17.560220956802368
Exciton, frame 60435 ran in:  18.192461013793945
Exciton, frame 60436 ran in:  15.959040403366089
Exciton, frame 60437 ran in:  16.397642850875854
Exciton, frame 60438 ran in:  18.129465579986572
Exciton, frame 60439 ran in:  16.080940008163452
Exciton, frame 60440 ran in:  17.84050989151001
Exciton, frame 60441 ran in:  18.00665807723999
Exciton, frame 60442 ran in:  17.50653338432312
Exciton, frame 60443 ran in:  20.875417947769165
Exciton, frame 60444 ran in:  17.139819860458374
Exciton, frame 60445 ran in:  17.786962747573853
Exciton, frame 60446 ran in:  17.44241499900818
Exciton, frame 60447 ran in:  19.08001184463501
Exciton, frame 60448 ran in:  17.699034214019775
Exciton, frame 60449 ran in:  18.331680297851562
Exciton, frame 60450 ran in:  18.153094053268433
Exciton, frame 60451 ran in:  18.74589467048645
Exciton, frame 60452 ran in:  17.41943073272705
Exciton, frame 60453 ran in:  18.57129693031311
Exciton, frame 60454 ran in:  18.690412044525146
Exciton, frame 60455 ran in:  18.864108562469482
Exciton, frame 60456 ran in:  17.63903498649597
Exciton, frame 60457 ran in:  18.9018452167511
Exciton, frame 60458 ran in:  18.72342848777771
Exciton, frame 60459 ran in:  16.197684288024902
Exciton, frame 60460 ran in:  16.528309106826782
Exciton, frame 60461 ran in:  17.56034231185913
Exciton, frame 60462 ran in:  18.143214225769043
Exciton, frame 60463 ran in:  17.664824724197388
Exciton, frame 60464 ran in:  17.335535764694214
Exciton, frame 60465 ran in:  18.534533262252808
Exciton, frame 60466 ran in:  18.214877605438232
Exciton, frame 60467 ran in:  17.826107263565063
Exciton, frame 60468 ran in:  18.893255472183228
Exciton, frame 60469 ran in:  16.105449438095093
Exciton, frame 60470 ran in:  22.470869779586792
Exciton, frame 60471 ran in:  18.718217134475708
Exciton, frame 60472 ran in:  18.532320737838745
Exciton, frame 60473 ran in:  18.68471598625183
Exciton, frame 60474 ran in:  18.641965866088867
Exciton, frame 60475 ran in:  18.18092441558838
Exciton, frame 60476 ran in:  16.056678295135498
Exciton, frame 60477 ran in:  18.268222332000732
Exciton, frame 60478 ran in:  18.8410165309906
Exciton, frame 60479 ran in:  18.970385313034058
Exciton, frame 60480 ran in:  17.681941270828247
Exciton, frame 60481 ran in:  17.41410756111145
Exciton, frame 60482 ran in:  16.41142463684082
Exciton, frame 60483 ran in:  18.766262769699097
Exciton, frame 60484 ran in:  17.63263702392578
Exciton, frame 60485 ran in:  17.501352787017822
Exciton, frame 60486 ran in:  18.64306402206421
Exciton, frame 60487 ran in:  17.160626649856567
Exciton, frame 60488 ran in:  17.292097330093384
Exciton, frame 60489 ran in:  17.55182147026062
Exciton, frame 60490 ran in:  18.384453058242798
Exciton, frame 60491 ran in:  18.781068086624146
Exciton, frame 60492 ran in:  18.685422897338867
Exciton, frame 60493 ran in:  19.517428636550903
Exciton, frame 60494 ran in:  18.369735717773438
Exciton, frame 60495 ran in:  17.816320419311523
Exciton, frame 60496 ran in:  18.8328697681427
Exciton, frame 60497 ran in:  19.105874061584473
Exciton, frame 60498 ran in:  17.627724409103394
Exciton, frame 60499 ran in:  18.70672917366028
Exciton, frame 60500 ran in:  18.287979125976562
Exciton, frame 60501 ran in:  17.33002233505249
Exciton, frame 60502 ran in:  18.837014198303223
Exciton, frame 60503 ran in:  18.227733612060547
Exciton, frame 60504 ran in:  17.379036903381348
Exciton, frame 60505 ran in:  18.055649757385254
Exciton, frame 60506 ran in:  16.013856649398804
Exciton, frame 60507 ran in:  17.455207109451294
Exciton, frame 60508 ran in:  18.34652829170227
Exciton, frame 60509 ran in:  17.17706823348999
Exciton, frame 60510 ran in:  18.499213457107544
Exciton, frame 60511 ran in:  16.610832452774048
Exciton, frame 60512 ran in:  18.257575511932373
Exciton, frame 60513 ran in:  18.230288982391357
Exciton, frame 60514 ran in:  17.975414037704468
Exciton, frame 60515 ran in:  16.497070789337158
Exciton, frame 60516 ran in:  17.58516526222229
Exciton, frame 60517 ran in:  18.651672840118408
Exciton, frame 60518 ran in:  18.07111096382141
Exciton, frame 60519 ran in:  17.838188648223877
Exciton, frame 60520 ran in:  18.15595316886902
Exciton, frame 60521 ran in:  17.408973455429077
Exciton, frame 60522 ran in:  17.458906888961792
Exciton, frame 60523 ran in:  18.59561777114868
Exciton, frame 60524 ran in:  17.77602243423462
Exciton, frame 60525 ran in:  16.65426278114319
Exciton, frame 60526 ran in:  18.098606824874878
Exciton, frame 60527 ran in:  17.96182942390442
Exciton, frame 60528 ran in:  18.99535632133484
Exciton, frame 60529 ran in:  17.79089903831482
Exciton, frame 60530 ran in:  18.409278631210327
Exciton, frame 60531 ran in:  17.950153589248657
Exciton, frame 60532 ran in:  16.840675830841064
Exciton, frame 60533 ran in:  17.7149875164032
Exciton, frame 60534 ran in:  16.21569585800171
Exciton, frame 60535 ran in:  17.079599380493164
Exciton, frame 60536 ran in:  18.34696388244629
Exciton, frame 60537 ran in:  18.98148512840271
Exciton, frame 60538 ran in:  16.035746812820435
Exciton, frame 60539 ran in:  19.2385196685791
Exciton, frame 60540 ran in:  17.4874050617218
Exciton, frame 60541 ran in:  16.51210308074951
Exciton, frame 60542 ran in:  17.556368350982666
Exciton, frame 60543 ran in:  18.859180212020874
Exciton, frame 60544 ran in:  17.12736177444458
Exciton, frame 60545 ran in:  14.980052709579468
Exciton, frame 60546 ran in:  16.365652561187744
Exciton, frame 60547 ran in:  15.90697693824768
Exciton, frame 60548 ran in:  16.902876377105713
Exciton, frame 60549 ran in:  14.124934911727905
Exciton, frame 60550 ran in:  17.253515005111694
Exciton, frame 60551 ran in:  18.589112997055054
Exciton, frame 60552 ran in:  17.07624912261963
Exciton, frame 60553 ran in:  18.898751497268677
Exciton, frame 60554 ran in:  18.132387161254883
Exciton, frame 60555 ran in:  18.458702087402344
Exciton, frame 60556 ran in:  17.156108140945435
Exciton, frame 60557 ran in:  15.043346405029297
Exciton, frame 60558 ran in:  17.945859670639038
Exciton, frame 60559 ran in:  17.17802143096924
Exciton, frame 60560 ran in:  17.820151567459106
Exciton, frame 60561 ran in:  16.54864478111267
Exciton, frame 60562 ran in:  18.62149143218994
