cpu-bind=MASK - bp1-compute184, task 4294967295 4294967295 [0]: mask 0x1ffffe001ffffe set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 14.885451 secs
Exciton, frame 343 ran in:  12.329492568969727
Exciton, frame 344 ran in:  12.156055688858032
Exciton, frame 345 ran in:  12.112512111663818
Exciton, frame 346 ran in:  12.238547325134277
Exciton, frame 347 ran in:  12.330951690673828
Exciton, frame 348 ran in:  12.17214846611023
Exciton, frame 349 ran in:  12.150760412216187
Exciton, frame 350 ran in:  12.07152795791626
Exciton, frame 351 ran in:  11.724461317062378
Exciton, frame 352 ran in:  11.085047245025635
Exciton, frame 353 ran in:  10.961832284927368
Exciton, frame 354 ran in:  11.264378547668457
Exciton, frame 355 ran in:  11.4041748046875
Exciton, frame 356 ran in:  11.56875991821289
Exciton, frame 357 ran in:  11.431086540222168
Exciton, frame 358 ran in:  11.937156915664673
Exciton, frame 359 ran in:  10.685726165771484
Exciton, frame 360 ran in:  11.37031364440918
Exciton, frame 361 ran in:  11.510361433029175
Exciton, frame 362 ran in:  11.490708589553833
Exciton, frame 363 ran in:  11.34210205078125
Exciton, frame 364 ran in:  12.087055206298828
Exciton, frame 365 ran in:  12.041956424713135
Exciton, frame 366 ran in:  11.696435451507568
Exciton, frame 367 ran in:  12.430025815963745
Exciton, frame 368 ran in:  12.239642858505249
Exciton, frame 369 ran in:  11.465156316757202
Exciton, frame 370 ran in:  11.080760955810547
Exciton, frame 371 ran in:  11.602092504501343
Exciton, frame 372 ran in:  11.054733991622925
Exciton, frame 373 ran in:  11.528986930847168
Exciton, frame 374 ran in:  11.316713333129883
Exciton, frame 375 ran in:  11.31921935081482
Exciton, frame 376 ran in:  11.765090703964233
Exciton, frame 377 ran in:  10.737446546554565
Exciton, frame 378 ran in:  12.064597129821777
Exciton, frame 379 ran in:  12.19037675857544
Exciton, frame 380 ran in:  11.687513589859009
Exciton, frame 381 ran in:  12.137390851974487
Exciton, frame 382 ran in:  10.875925064086914
Exciton, frame 383 ran in:  10.92319917678833
Exciton, frame 384 ran in:  11.40691614151001
Exciton, frame 385 ran in:  11.847856521606445
Exciton, frame 386 ran in:  11.491101741790771
Exciton, frame 387 ran in:  11.450244903564453
Exciton, frame 388 ran in:  11.326723098754883
Exciton, frame 389 ran in:  12.5670485496521
Exciton, frame 390 ran in:  12.3406400680542
Exciton, frame 391 ran in:  12.037932872772217
Exciton, frame 392 ran in:  12.271406888961792
Exciton, frame 393 ran in:  11.536603450775146
Exciton, frame 394 ran in:  11.420385360717773
Exciton, frame 395 ran in:  11.45922303199768
Exciton, frame 396 ran in:  11.529349327087402
Exciton, frame 397 ran in:  11.56221890449524
Exciton, frame 398 ran in:  11.471184015274048
Exciton, frame 399 ran in:  11.967391967773438
Exciton, frame 400 ran in:  11.375449180603027
Exciton, frame 401 ran in:  11.40233302116394
Exciton, frame 402 ran in:  11.928213357925415
Exciton, frame 403 ran in:  10.630154848098755
Exciton, frame 404 ran in:  11.92504596710205
Exciton, frame 405 ran in:  12.15694546699524
Exciton, frame 406 ran in:  12.001237154006958
Exciton, frame 407 ran in:  11.862785816192627
Exciton, frame 408 ran in:  12.213551044464111
Exciton, frame 409 ran in:  11.670566320419312
Exciton, frame 410 ran in:  10.656164169311523
Exciton, frame 411 ran in:  12.001101732254028
Exciton, frame 412 ran in:  10.287343740463257
Exciton, frame 413 ran in:  11.713907957077026
Exciton, frame 414 ran in:  11.923306465148926
Exciton, frame 415 ran in:  11.774500131607056
Exciton, frame 416 ran in:  11.883827209472656
Exciton, frame 417 ran in:  12.183584690093994
Exciton, frame 418 ran in:  10.848372220993042
Exciton, frame 419 ran in:  11.575588941574097
Exciton, frame 420 ran in:  12.085068941116333
Exciton, frame 421 ran in:  11.833496570587158
Exciton, frame 422 ran in:  11.827323913574219
Exciton, frame 423 ran in:  10.47484540939331
Exciton, frame 424 ran in:  11.686873197555542
Exciton, frame 425 ran in:  11.989104747772217
Exciton, frame 426 ran in:  12.091352224349976
Exciton, frame 427 ran in:  11.602356195449829
Exciton, frame 428 ran in:  11.936724424362183
Exciton, frame 429 ran in:  12.194371700286865
Exciton, frame 430 ran in:  11.916847467422485
Exciton, frame 431 ran in:  11.792454481124878
Exciton, frame 432 ran in:  11.716618299484253
Exciton, frame 433 ran in:  11.841267824172974
Exciton, frame 434 ran in:  11.974609136581421
Exciton, frame 435 ran in:  11.698066473007202
Exciton, frame 436 ran in:  11.796958684921265
Exciton, frame 437 ran in:  12.161079168319702
Exciton, frame 438 ran in:  11.895920038223267
Exciton, frame 439 ran in:  11.631691932678223
Exciton, frame 440 ran in:  12.145217418670654
Exciton, frame 441 ran in:  10.704236268997192
Exciton, frame 442 ran in:  13.223320960998535
Exciton, frame 443 ran in:  13.472186088562012
Exciton, frame 444 ran in:  12.84510612487793
Exciton, frame 445 ran in:  11.79642915725708
Exciton, frame 446 ran in:  11.99967622756958
Exciton, frame 447 ran in:  12.290323734283447
Exciton, frame 448 ran in:  11.382262706756592
Exciton, frame 449 ran in:  11.934756517410278
Exciton, frame 450 ran in:  12.839665651321411
Exciton, frame 451 ran in:  10.981798887252808
Exciton, frame 452 ran in:  11.982548952102661
Exciton, frame 453 ran in:  12.338658809661865
Exciton, frame 454 ran in:  13.092357635498047
Exciton, frame 455 ran in:  12.135725259780884
Exciton, frame 456 ran in:  11.399934530258179
Exciton, frame 457 ran in:  11.298867225646973
Exciton, frame 458 ran in:  12.62369418144226
Exciton, frame 459 ran in:  13.175374507904053
Exciton, frame 460 ran in:  11.395689964294434
Exciton, frame 461 ran in:  12.809739828109741
Exciton, frame 462 ran in:  13.12505316734314
Exciton, frame 463 ran in:  13.139621257781982
Exciton, frame 464 ran in:  11.395284652709961
Exciton, frame 465 ran in:  11.330954790115356
Exciton, frame 466 ran in:  13.243505716323853
Exciton, frame 467 ran in:  12.132176637649536
Exciton, frame 468 ran in:  11.595245361328125
Exciton, frame 469 ran in:  12.979144096374512
Exciton, frame 470 ran in:  11.23556399345398
Exciton, frame 471 ran in:  11.555078029632568
Exciton, frame 472 ran in:  12.845440864562988
Exciton, frame 473 ran in:  11.87600064277649
Exciton, frame 474 ran in:  13.468215465545654
Exciton, frame 475 ran in:  12.633496046066284
Exciton, frame 476 ran in:  11.161712884902954
Exciton, frame 477 ran in:  11.894063472747803
Exciton, frame 478 ran in:  11.394970655441284
Exciton, frame 479 ran in:  12.4672372341156
Exciton, frame 480 ran in:  12.655521154403687
Exciton, frame 481 ran in:  13.311164379119873
Exciton, frame 482 ran in:  12.16992735862732
Exciton, frame 483 ran in:  11.831655740737915
Exciton, frame 484 ran in:  12.267216682434082
Exciton, frame 485 ran in:  13.663242101669312
Exciton, frame 486 ran in:  12.640424251556396
Exciton, frame 487 ran in:  13.609589099884033
Exciton, frame 488 ran in:  13.028988361358643
Exciton, frame 489 ran in:  11.21691370010376
Exciton, frame 490 ran in:  12.775022029876709
Exciton, frame 491 ran in:  11.320040702819824
Exciton, frame 492 ran in:  13.089529752731323
Exciton, frame 493 ran in:  12.450770139694214
Exciton, frame 494 ran in:  13.132850170135498
Exciton, frame 495 ran in:  11.349097728729248
Exciton, frame 496 ran in:  13.225114583969116
Exciton, frame 497 ran in:  11.092256307601929
Exciton, frame 498 ran in:  13.725159406661987
Exciton, frame 499 ran in:  12.195996284484863
Exciton, frame 500 ran in:  12.727948665618896
Exciton, frame 501 ran in:  12.669994592666626
Exciton, frame 502 ran in:  13.42558240890503
Exciton, frame 503 ran in:  13.794562578201294
Exciton, frame 504 ran in:  13.643012762069702
Exciton, frame 505 ran in:  13.67566704750061
Exciton, frame 506 ran in:  13.814971208572388
Exciton, frame 507 ran in:  13.486950635910034
Exciton, frame 508 ran in:  12.77420687675476
Exciton, frame 509 ran in:  13.609152793884277
Exciton, frame 510 ran in:  10.689139127731323
Exciton, frame 511 ran in:  12.188822746276855
Exciton, frame 512 ran in:  13.17727279663086
Exciton, frame 513 ran in:  11.340585231781006
Exciton, frame 514 ran in:  12.577393531799316
Exciton, frame 515 ran in:  13.514262199401855
Exciton, frame 516 ran in:  12.512372493743896
Exciton, frame 517 ran in:  12.210658073425293
Exciton, frame 518 ran in:  10.638752222061157
Exciton, frame 519 ran in:  13.492135763168335
Exciton, frame 520 ran in:  13.47839641571045
Exciton, frame 521 ran in:  11.22722053527832
Exciton, frame 522 ran in:  11.239401817321777
Exciton, frame 523 ran in:  12.913002729415894
Exciton, frame 524 ran in:  13.633947372436523
Exciton, frame 525 ran in:  13.477889060974121
Exciton, frame 526 ran in:  12.386494636535645
Exciton, frame 527 ran in:  13.38769006729126
Exciton, frame 528 ran in:  12.92936396598816
Exciton, frame 529 ran in:  13.290957927703857
Exciton, frame 530 ran in:  13.167212009429932
Exciton, frame 531 ran in:  12.833210229873657
Exciton, frame 532 ran in:  11.267765760421753
Exciton, frame 533 ran in:  12.987313985824585
Exciton, frame 534 ran in:  11.089085102081299
Exciton, frame 535 ran in:  13.316279172897339
Exciton, frame 536 ran in:  11.44701600074768
Exciton, frame 537 ran in:  13.185880184173584
Exciton, frame 538 ran in:  10.750114679336548
Exciton, frame 539 ran in:  13.090444326400757
Exciton, frame 540 ran in:  12.813984394073486
Exciton, frame 541 ran in:  13.254846572875977
Exciton, frame 542 ran in:  13.47359013557434
Exciton, frame 543 ran in:  13.99783182144165
Exciton, frame 544 ran in:  13.951060771942139
Exciton, frame 545 ran in:  10.360455989837646
Exciton, frame 546 ran in:  14.048996210098267
Exciton, frame 547 ran in:  13.010456562042236
Exciton, frame 548 ran in:  13.282034158706665
Exciton, frame 549 ran in:  13.560441732406616
Exciton, frame 550 ran in:  12.739834785461426
Exciton, frame 551 ran in:  11.268497228622437
Exciton, frame 552 ran in:  11.797722816467285
Exciton, frame 553 ran in:  12.659375429153442
Exciton, frame 554 ran in:  13.604378700256348
Exciton, frame 555 ran in:  12.433720827102661
Exciton, frame 556 ran in:  13.13765835762024
Exciton, frame 557 ran in:  11.758260250091553
Exciton, frame 558 ran in:  10.852551937103271
